dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,is_significant,metric
csuite_large_backdoor,20,-0.0078819444444444,-0.0102083333333332,-0.0055069444444443,2.976165207386652e-12,2.3225052277776084e-11,True,k_marginal_tvd
csuite_large_backdoor,50,-0.01475,-0.0174861111111111,-0.012,1.664918203797768e-16,1.3319345630382145e-15,True,k_marginal_tvd
csuite_large_backdoor,100,-0.0173819444444444,-0.0200416666666667,-0.014736111111111,1.2963867474103772e-17,1.0371093979283018e-16,True,k_marginal_tvd
csuite_large_backdoor,200,-0.019267361111111,-0.0216041666666668,-0.0165138888888889,8.211953519100431e-18,6.569562815280345e-17,True,k_marginal_tvd
csuite_large_backdoor,500,-0.0046388888888888,-0.0071388888888889,-0.0028333333333333,8.991374017655867e-11,4.4956870088279334e-10,True,k_marginal_tvd
csuite_nonlin_simpson,20,-0.0499999999999999,-0.0597083333333333,-0.0405416666666667,6.599532558531077e-17,5.279626046824863e-16,True,k_marginal_tvd
csuite_nonlin_simpson,50,-0.0785,-0.0837499999999999,-0.0729583333333333,6.841263469253291e-18,5.473010775402633e-17,True,k_marginal_tvd
csuite_nonlin_simpson,100,-0.0899166666666667,-0.093875,-0.085625,4.139373908714419e-18,3.3114991269715346e-17,True,k_marginal_tvd
csuite_nonlin_simpson,200,-0.0964166666666667,-0.0993333333333332,-0.0935,1.2566140849304739e-17,1.0052912679443791e-16,True,k_marginal_tvd
csuite_nonlin_simpson,500,-0.1054166666666667,-0.1080833333333333,-0.1026249999999999,4.266082629108709e-18,3.4128661032869666e-17,True,k_marginal_tvd
csuite_symprod_simpson,20,-0.0132499999999999,-0.0245833333333332,-0.0055833333333333,6.67174563337839e-06,3.335872816689195e-05,True,k_marginal_tvd
csuite_symprod_simpson,50,-0.0334583333333333,-0.05925,-0.0180416666666667,1.9189421119080688e-09,1.2107108878694113e-08,True,k_marginal_tvd
csuite_symprod_simpson,100,-0.0285833333333333,-0.0466249999999999,-0.0179583333333333,1.1779346774409254e-06,8.245542742086477e-06,True,k_marginal_tvd
csuite_symprod_simpson,200,-0.0193749999999999,-0.0287916666666667,-0.0008749999999999,0.0063925482522997,0.0383552895137982,True,k_marginal_tvd
csuite_symprod_simpson,500,-0.0345833333333333,-0.0530833333333334,0.0109166666666666,0.5,1.0,False,k_marginal_tvd
csuite_weak_arrows,20,-0.0096180555555555,-0.0125277777777778,-0.0069097222222221,2.606272864935285e-13,2.0850182919482277e-12,True,k_marginal_tvd
csuite_weak_arrows,50,-0.0173680555555555,-0.0201527777777777,-0.0142569444444444,1.416683979982244e-17,1.1333471839857952e-16,True,k_marginal_tvd
csuite_weak_arrows,100,-0.0160868055555555,-0.0188194444444444,-0.0133958333333333,9.559150060462109e-18,7.647320048369686e-17,True,k_marginal_tvd
csuite_weak_arrows,200,-0.0202395833333333,-0.0227986111111112,-0.0176041666666666,6.841655374239066e-18,5.473324299391253e-17,True,k_marginal_tvd
csuite_weak_arrows,500,-0.0195347222222223,-0.0223402777777777,-0.0167152777777778,5.946367921481246e-17,4.757094337184998e-16,True,k_marginal_tvd
