dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,is_significant,metric
csuite_large_backdoor,20,-0.6135131747090478,-0.7352968965726893,-0.4933599168243221,2.0952890243957208e-17,1.6762312195165766e-16,True,correlation_matrix_difference
csuite_large_backdoor,50,-1.1107974103834626,-1.2399463601566474,-0.9675455691788688,2.604975543905349e-17,2.083980435124279e-16,True,correlation_matrix_difference
csuite_large_backdoor,100,-1.125329541727941,-1.2756631368257276,-0.9751155710300716,1.2181190987082889e-17,9.744952789666311e-17,True,correlation_matrix_difference
csuite_large_backdoor,200,-1.2740126345645972,-1.3934276993587746,-1.1482055874362604,6.63627794821511e-18,5.3090223585720875e-17,True,correlation_matrix_difference
csuite_large_backdoor,500,-0.2159287294341976,-0.4467698041834248,-0.1038944150526254,8.232477831710522e-09,5.7627344821973664e-08,True,correlation_matrix_difference
csuite_nonlin_simpson,20,-1.2525218921088657,-1.4082838907176782,-1.085228151269824,2.4346076186802e-17,1.94768609494416e-16,True,correlation_matrix_difference
csuite_nonlin_simpson,50,-1.532277816909033,-1.5802614212376218,-1.47976627277802,6.63627794821511e-18,5.3090223585720875e-17,True,correlation_matrix_difference
csuite_nonlin_simpson,100,-1.5992926997819394,-1.6320880179413533,-1.561909626424228,3.89655984509591e-18,3.117247876076728e-17,True,correlation_matrix_difference
csuite_nonlin_simpson,200,-1.653362003096622,-1.6826945685863492,-1.6190146250298376,1.2181190987082889e-17,9.744952789666311e-17,True,correlation_matrix_difference
csuite_nonlin_simpson,500,-1.6861590860593334,-1.706271340231346,-1.6650539163074494,4.139373908714419e-18,3.3114991269715346e-17,True,correlation_matrix_difference
csuite_symprod_simpson,20,7.115659667956964e-05,-0.091408133347877,0.0735777054604275,0.9957589719180716,1.0,False,correlation_matrix_difference
csuite_symprod_simpson,50,-0.0377399899875808,-0.6823554411673615,0.0281042652450548,0.1492444868892723,0.7462224344463618,False,correlation_matrix_difference
csuite_symprod_simpson,100,0.0228172384763664,-0.0470985769090705,0.0808711594689759,0.2509955956196812,1.0,False,correlation_matrix_difference
csuite_symprod_simpson,200,0.0301372470610469,-0.0233166251776723,0.1006090167800202,0.1286004483699798,1.0,False,correlation_matrix_difference
csuite_symprod_simpson,500,0.0315066889345845,-0.0286495621982204,0.2013902534043168,1.0,1.0,False,correlation_matrix_difference
csuite_weak_arrows,20,-0.743648341180058,-0.8779176653577236,-0.6050153161712634,4.6041751652443625e-17,3.68334013219549e-16,True,correlation_matrix_difference
csuite_weak_arrows,50,-1.2835812860669755,-1.4604513235484442,-1.1034122538864506,7.271412365071686e-18,5.08998865555018e-17,True,correlation_matrix_difference
csuite_weak_arrows,100,-1.272185453458826,-1.4163732332917172,-1.1202738720330048,5.697220948724935e-18,4.5577767589799476e-17,True,correlation_matrix_difference
csuite_weak_arrows,200,-1.498962360119344,-1.6276929553627943,-1.3556394268688077,5.697220948724935e-18,4.5577767589799476e-17,True,correlation_matrix_difference
csuite_weak_arrows,500,-1.4857296910435118,-1.61547686353929,-1.3564411460658756,5.756164773620479e-17,4.604931818896383e-16,True,correlation_matrix_difference
