dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,is_significant,metric
csuite_large_backdoor,20,-0.019875,-0.026875,-0.0128749999999999,3.0199932679070004e-11,1.8119959607442e-10,True,nnaa
csuite_large_backdoor,50,-0.039,-0.0459999999999998,-0.0321249999999999,8.119530891525937e-17,6.295473622077811e-16,True,nnaa
csuite_large_backdoor,100,-0.0411249999999999,-0.0488749999999998,-0.03375,3.826304805592725e-17,3.060865904127441e-16,True,nnaa
csuite_large_backdoor,200,-0.0418125,-0.0487499999999999,-0.03525,1.3329850375764626e-17,1.0346498192213239e-16,True,nnaa
csuite_large_backdoor,500,-0.0067499999999999,-0.014875,-0.0004999999999999,0.003725871227229,0.0260810985906035,True,nnaa
csuite_nonlin_simpson,20,-0.0433749999999999,-0.0518749999999999,-0.0344999999999999,2.787907684552538e-16,2.230326147642031e-15,True,nnaa
csuite_nonlin_simpson,50,-0.076125,-0.0813749999999999,-0.07,6.2393073741231985e-18,4.991445899298559e-17,True,nnaa
csuite_nonlin_simpson,100,-0.093,-0.0981249999999999,-0.08775,3.893263967270894e-18,3.1146111738167154e-17,True,nnaa
csuite_nonlin_simpson,200,-0.1047499999999999,-0.1089999999999999,-0.1003749999999999,1.2177539581117353e-17,9.739111368798856e-17,True,nnaa
csuite_nonlin_simpson,500,-0.1175,-0.12125,-0.113625,4.135412227745387e-18,3.30832978219631e-17,True,nnaa
csuite_symprod_simpson,20,-0.0158749999999999,-0.0288749999999999,-0.0072499999999999,1.4028255834497128e-06,8.416953500698277e-06,True,nnaa
csuite_symprod_simpson,50,-0.0406249999999999,-0.0782499999999999,-0.021625,3.6812782055638573e-09,2.9450225644510855e-08,True,nnaa
csuite_symprod_simpson,100,-0.0404999999999999,-0.05775,-0.0257499999999999,4.4730203489794154e-08,3.382260789067865e-07,True,nnaa
csuite_symprod_simpson,200,-0.0205,-0.037875,-0.0032499999999999,0.0016869753599166,0.0134958028793334,True,nnaa
csuite_symprod_simpson,500,-0.0357499999999999,-0.0607499999999999,0.02075,0.5,1.0,False,nnaa
csuite_weak_arrows,20,-0.033375,-0.0416249999999999,-0.02575,4.0571547583778117e-16,3.2457238067022493e-15,True,nnaa
csuite_weak_arrows,50,-0.0545,-0.0637499999999999,-0.04475,1.774405115637161e-17,1.4195240925097283e-16,True,nnaa
csuite_weak_arrows,100,-0.046,-0.0549999999999999,-0.03825,1.3135183890660516e-17,9.194628723462362e-17,True,nnaa
csuite_weak_arrows,200,-0.055625,-0.0642499999999999,-0.047625,7.490608218132656e-18,5.812806390559702e-17,True,nnaa
csuite_weak_arrows,500,-0.055375,-0.0638749999999999,-0.04675,1.1914750490731878e-16,8.340325343512315e-16,True,nnaa
