dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,is_significant
csuite_large_backdoor,20,-0.6132164340049864,-0.7326384585543655,-0.4949262880351018,2.1591462812861053e-17,1.6762312195165766e-16,correlation_matrix_difference,True
csuite_large_backdoor,50,-1.1169230369559204,-1.24199148421482,-0.9738046452167356,2.604975543905349e-17,2.083980435124279e-16,correlation_matrix_difference,True
csuite_large_backdoor,100,-1.140882123046532,-1.290523813491652,-0.9907498199106728,1.2181190987082889e-17,9.744952789666311e-17,correlation_matrix_difference,True
csuite_large_backdoor,200,-1.3008791816136664,-1.4139509570820057,-1.1752573901826404,6.63627794821511e-18,5.3090223585720875e-17,correlation_matrix_difference,True
csuite_large_backdoor,500,-0.2367952664991574,-0.480543510001338,-0.1113152356178661,5.873323856458887e-09,4.69865908516711e-08,correlation_matrix_difference,True
csuite_nonlin_simpson,20,-1.2525218921088657,-1.4110442925296334,-1.0813415640539392,2.4346076186802e-17,1.94768609494416e-16,correlation_matrix_difference,True
csuite_nonlin_simpson,50,-1.5313679874206072,-1.5807473947815511,-1.4763959797033452,6.63627794821511e-18,5.3090223585720875e-17,correlation_matrix_difference,True
csuite_nonlin_simpson,100,-1.60111233262471,-1.6348999727254774,-1.563942018694635,3.89655984509591e-18,3.117247876076728e-17,correlation_matrix_difference,True
csuite_nonlin_simpson,200,-1.6510663077496617,-1.6812673380810246,-1.615763921025355,1.2181190987082889e-17,9.744952789666311e-17,correlation_matrix_difference,True
csuite_nonlin_simpson,500,-1.6861590860593334,-1.7064847628601918,-1.6646870961621207,4.139373908714419e-18,3.3114991269715346e-17,correlation_matrix_difference,True
csuite_symprod_simpson,20,7.115659667956964e-05,-0.091408133347877,0.0735777054604275,0.9957589719180716,1.0,correlation_matrix_difference,False
csuite_symprod_simpson,50,-0.0372837141259773,-0.6806836879631977,0.0297741406645497,0.1674399504461408,0.7462224344463618,correlation_matrix_difference,False
csuite_symprod_simpson,100,0.0228172384763664,-0.0470985769090705,0.0808711594689759,0.2509955956196812,1.0,correlation_matrix_difference,False
csuite_symprod_simpson,200,0.0301372470610469,-0.0233166251776723,0.1006090167800202,0.1286004483699798,1.0,correlation_matrix_difference,False
csuite_symprod_simpson,500,0.0315066889345845,-0.0286495621982204,0.2013902534043168,1.0,1.0,correlation_matrix_difference,False
csuite_weak_arrows,20,-0.743648341180058,-0.8797945800013274,-0.6022114024117858,4.6041751652443625e-17,3.68334013219549e-16,correlation_matrix_difference,True
csuite_weak_arrows,50,-1.2869525647912214,-1.462149932440378,-1.1020650451448917,6.055964751718372e-18,4.844771801374698e-17,correlation_matrix_difference,True
csuite_weak_arrows,100,-1.2827005876883806,-1.4245024894708398,-1.1388738868261032,5.697220948724935e-18,4.5577767589799476e-17,correlation_matrix_difference,True
csuite_weak_arrows,200,-1.554574613198531,-1.6733388095043806,-1.4158371077684366,5.697220948724935e-18,4.5577767589799476e-17,correlation_matrix_difference,True
csuite_weak_arrows,500,-1.5386883720968227,-1.6679878814546074,-1.408666752383997,5.756164773620479e-17,4.604931818896383e-16,correlation_matrix_difference,True
csuite_large_backdoor,20,-0.0078888888888888,-0.0102361111111111,-0.0054652777777777,2.9031315347220105e-12,2.3225052277776084e-11,k_marginal_tvd,True
csuite_large_backdoor,50,-0.0148124999999999,-0.0175694444444444,-0.0120694444444443,1.8272838395754194e-16,1.3319345630382145e-15,k_marginal_tvd,True
csuite_large_backdoor,100,-0.018,-0.0205902777777777,-0.0154375,1.3374011446274229e-17,1.0371093979283018e-16,k_marginal_tvd,True
csuite_large_backdoor,200,-0.0193819444444444,-0.0218333333333333,-0.0167638888888888,8.211953519100431e-18,6.569562815280345e-17,k_marginal_tvd,True
csuite_large_backdoor,500,-0.0055694444444444,-0.0080694444444444,-0.0038263888888889,1.7187510758313186e-14,1.3750008606650548e-13,k_marginal_tvd,True
csuite_nonlin_simpson,20,-0.0499999999999999,-0.0598333333333333,-0.0403333333333333,6.599532558531077e-17,5.279626046824863e-16,k_marginal_tvd,True
csuite_nonlin_simpson,50,-0.0782916666666666,-0.0834999999999999,-0.0728333333333332,6.841655374239066e-18,5.473010775402633e-17,k_marginal_tvd,True
csuite_nonlin_simpson,100,-0.0894375,-0.0936666666666666,-0.0852083333333333,4.139373908714419e-18,3.3114991269715346e-17,k_marginal_tvd,True
csuite_nonlin_simpson,200,-0.0957083333333334,-0.0988333333333333,-0.0926666666666667,1.2566893713641389e-17,1.0052912679443791e-16,k_marginal_tvd,True
csuite_nonlin_simpson,500,-0.1054166666666667,-0.108125,-0.1025416666666667,4.266082629108709e-18,3.4128661032869666e-17,k_marginal_tvd,True
csuite_symprod_simpson,20,-0.0132499999999999,-0.024875,-0.0053749999999999,6.67174563337839e-06,3.335872816689195e-05,k_marginal_tvd,True
csuite_symprod_simpson,50,-0.032875,-0.059875,-0.0175833333333333,1.7295869826705872e-09,1.2107108878694113e-08,k_marginal_tvd,True
csuite_symprod_simpson,100,-0.0285833333333333,-0.0471666666666666,-0.0178749999999999,1.1779346774409254e-06,8.245542742086477e-06,k_marginal_tvd,True
csuite_symprod_simpson,200,-0.0193749999999999,-0.0291249999999999,-0.0005,0.0063925482522997,0.0383552895137982,k_marginal_tvd,True
