dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,is_significant,metric
csuite_large_backdoor,20,-0.0078888888888888,-0.0102361111111111,-0.0054652777777777,2.9031315347220105e-12,2.3225052277776084e-11,True,k_marginal_tvd
csuite_large_backdoor,50,-0.0148124999999999,-0.0175694444444444,-0.0120694444444443,1.8272838395754194e-16,1.3319345630382145e-15,True,k_marginal_tvd
csuite_large_backdoor,100,-0.018,-0.0205902777777777,-0.0154375,1.3374011446274229e-17,1.0371093979283018e-16,True,k_marginal_tvd
csuite_large_backdoor,200,-0.0193819444444444,-0.0218333333333333,-0.0167638888888888,8.211953519100431e-18,6.569562815280345e-17,True,k_marginal_tvd
csuite_large_backdoor,500,-0.0055694444444444,-0.0080694444444444,-0.0038263888888889,1.7187510758313186e-14,1.3750008606650548e-13,True,k_marginal_tvd
csuite_nonlin_simpson,20,-0.0499999999999999,-0.0598333333333333,-0.0403333333333333,6.599532558531077e-17,5.279626046824863e-16,True,k_marginal_tvd
csuite_nonlin_simpson,50,-0.0782916666666666,-0.0834999999999999,-0.0728333333333332,6.841655374239066e-18,5.473010775402633e-17,True,k_marginal_tvd
csuite_nonlin_simpson,100,-0.0894375,-0.0936666666666666,-0.0852083333333333,4.139373908714419e-18,3.3114991269715346e-17,True,k_marginal_tvd
csuite_nonlin_simpson,200,-0.0957083333333334,-0.0988333333333333,-0.0926666666666667,1.2566893713641389e-17,1.0052912679443791e-16,True,k_marginal_tvd
csuite_nonlin_simpson,500,-0.1054166666666667,-0.108125,-0.1025416666666667,4.266082629108709e-18,3.4128661032869666e-17,True,k_marginal_tvd
csuite_symprod_simpson,20,-0.0132499999999999,-0.024875,-0.0053749999999999,6.67174563337839e-06,3.335872816689195e-05,True,k_marginal_tvd
csuite_symprod_simpson,50,-0.032875,-0.059875,-0.0175833333333333,1.7295869826705872e-09,1.2107108878694113e-08,True,k_marginal_tvd
csuite_symprod_simpson,100,-0.0285833333333333,-0.0471666666666666,-0.0178749999999999,1.1779346774409254e-06,8.245542742086477e-06,True,k_marginal_tvd
csuite_symprod_simpson,200,-0.0193749999999999,-0.0291249999999999,-0.0005,0.0063925482522997,0.0383552895137982,True,k_marginal_tvd
csuite_symprod_simpson,500,-0.0345833333333333,-0.0530833333333334,0.0109166666666666,0.5,1.0,False,k_marginal_tvd
csuite_weak_arrows,20,-0.0096180555555555,-0.0125694444444443,-0.0068541666666667,2.606272864935285e-13,2.0850182919482277e-12,True,k_marginal_tvd
csuite_weak_arrows,50,-0.0176597222222222,-0.0204374999999999,-0.0146250000000001,2.0332959088745962e-17,1.4233071362122174e-16,True,k_marginal_tvd
csuite_weak_arrows,100,-0.01609375,-0.0188125,-0.0134375,9.85300208544393e-18,7.647320048369686e-17,True,k_marginal_tvd
csuite_weak_arrows,200,-0.02115625,-0.0236319444444445,-0.0185624999999999,6.841655374239066e-18,5.473324299391253e-17,True,k_marginal_tvd
csuite_weak_arrows,500,-0.0203958333333333,-0.0232499999999999,-0.0177708333333332,6.141967792651675e-17,4.757094337184998e-16,True,k_marginal_tvd
