dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,is_significant,metric
csuite_large_backdoor,20,-0.019625,-0.026625,-0.012625,5.441026839447884e-11,2.7205134197239416e-10,True,nnaa
csuite_large_backdoor,50,-0.0394999999999999,-0.046375,-0.03225,7.869342027597264e-17,6.295473622077811e-16,True,nnaa
csuite_large_backdoor,100,-0.041125,-0.0486249999999999,-0.0338749999999999,3.826082380159301e-17,3.060865904127441e-16,True,nnaa
csuite_large_backdoor,200,-0.040125,-0.04725,-0.033125,1.2933122740266549e-17,1.0346498192213239e-16,True,nnaa
csuite_large_backdoor,500,-0.007875,-0.0147499999999999,-0.001875,0.0002586989058299,0.0020695912466393,True,nnaa
csuite_nonlin_simpson,20,-0.0433749999999999,-0.0518750000000001,-0.03425,2.787907684552538e-16,2.230326147642031e-15,True,nnaa
csuite_nonlin_simpson,50,-0.075375,-0.0807499999999999,-0.06925,6.2393073741231985e-18,4.991445899298559e-17,True,nnaa
csuite_nonlin_simpson,100,-0.0916249999999999,-0.0968749999999999,-0.0863749999999999,3.893263967270894e-18,3.1146111738167154e-17,True,nnaa
csuite_nonlin_simpson,200,-0.10375,-0.108125,-0.0989999999999999,1.2173889210998573e-17,9.739111368798856e-17,True,nnaa
csuite_nonlin_simpson,500,-0.1175,-0.121375,-0.1136249999999999,4.135412227745387e-18,3.30832978219631e-17,True,nnaa
csuite_symprod_simpson,20,-0.0158749999999999,-0.029375,-0.007,1.4028255834497128e-06,8.416953500698277e-06,True,nnaa
csuite_symprod_simpson,50,-0.0403124999999999,-0.077625,-0.0214999999999999,3.6812782055638573e-09,2.9450225644510855e-08,True,nnaa
csuite_symprod_simpson,100,-0.0404999999999999,-0.0580000000000001,-0.0252499999999999,4.4730203489794154e-08,3.382260789067865e-07,True,nnaa
csuite_symprod_simpson,200,-0.0205,-0.038125,-0.002875,0.0016869753599166,0.0134958028793334,True,nnaa
csuite_symprod_simpson,500,-0.0357499999999999,-0.0607499999999999,0.02075,0.5,1.0,False,nnaa
csuite_weak_arrows,20,-0.033375,-0.0417499999999999,-0.025625,4.0571547583778117e-16,3.2457238067022493e-15,True,nnaa
csuite_weak_arrows,50,-0.0539375,-0.0629999999999999,-0.0444999999999999,3.329221537864917e-17,2.3304550765054413e-16,True,nnaa
csuite_weak_arrows,100,-0.0464999999999999,-0.0551249999999999,-0.0384999999999999,8.859560277185501e-18,7.087648221748401e-17,True,nnaa
csuite_weak_arrows,200,-0.06,-0.06825,-0.05125,7.266007988199627e-18,5.812806390559702e-17,True,nnaa
csuite_weak_arrows,500,-0.057,-0.0642500000000001,-0.049875,6.769403220765347e-17,5.415522576612279e-16,True,nnaa
