dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,comparison,is_significant
csuite_large_backdoor,20,0.0583432094840417,0.0225980774204532,0.0888440753050687,0.0001096797369576,0.0003290392108728,correlation_matrix_difference,original_vs_topological,True
csuite_large_backdoor,50,0.0442727412855175,0.0121122849769202,0.0758126950167119,0.001037475318276,0.0031124259548281,correlation_matrix_difference,original_vs_topological,True
csuite_large_backdoor,100,0.0293136553057692,0.0090198200659849,0.0508199208726928,0.00054227591388,0.0021691036555202,correlation_matrix_difference,original_vs_topological,True
csuite_large_backdoor,200,0.0317631973540803,0.0062267132993726,0.0573607979763319,0.0017962757440202,0.008981378720101,correlation_matrix_difference,original_vs_topological,True
csuite_large_backdoor,500,-0.0031595781375687,-0.0311586378021486,0.0242188132629479,0.7674623006604582,1.0,correlation_matrix_difference,original_vs_topological,False
csuite_mixed_confounding,20,0.0051807712131331,-0.0143793529329123,0.0243375623570719,0.5091522042708133,1.0,correlation_matrix_difference,original_vs_topological,False
csuite_mixed_confounding,50,0.0842849365216274,0.0603311033226273,0.1084318793548064,6.181679327962521e-13,1.8545037983887564e-12,correlation_matrix_difference,original_vs_topological,True
csuite_mixed_confounding,100,0.1051234819655305,0.0806396440175348,0.1312718627497746,4.1108584105057583e-14,1.6443433642023033e-13,correlation_matrix_difference,original_vs_topological,True
csuite_mixed_confounding,200,0.0313266615211651,0.0119298293874247,0.0497021122249666,0.000344520853772,0.000689041707544,correlation_matrix_difference,original_vs_topological,True
csuite_mixed_confounding,500,0.0292293996625067,0.0157484045627728,0.0430728138092402,5.039553839349178e-05,5.039553839349178e-05,correlation_matrix_difference,original_vs_topological,True
csuite_mixed_simpson,20,0.0464709839420715,0.0076896616075413,0.0883750925437341,0.0019262807735961,0.0096314038679809,correlation_matrix_difference,original_vs_topological,True
csuite_mixed_simpson,50,0.0471863369742124,0.0232449724906255,0.069612303760057,2.270810881407885e-06,1.1354054407039424e-05,correlation_matrix_difference,original_vs_topological,True
csuite_mixed_simpson,100,0.0434156714111211,0.0250370578993411,0.0619001862507482,1.2590728891234726e-07,6.74796688947465e-07,correlation_matrix_difference,original_vs_topological,True
csuite_mixed_simpson,200,0.0102914794642322,-0.0070543312331462,0.0283935898905601,0.1234703042536796,0.6173515212683981,correlation_matrix_difference,original_vs_topological,False
csuite_mixed_simpson,500,0.0107957564724563,-0.0066319216947717,0.0281796477893058,0.1009883366808758,0.3843304485690795,correlation_matrix_difference,original_vs_topological,False
csuite_nonlin_simpson,20,0.0236807633281394,-0.0099651261080989,0.0619516860610938,0.062381823596739,0.249527294386956,correlation_matrix_difference,original_vs_topological,False
csuite_nonlin_simpson,50,0.0103046070895319,-0.0066339692976267,0.0273543103760084,0.1201551206319861,0.3604653618959583,correlation_matrix_difference,original_vs_topological,False
csuite_nonlin_simpson,100,0.0239643944188298,0.0083329773292023,0.0395068713649046,9.253508950932788e-05,0.0004626754475466,correlation_matrix_difference,original_vs_topological,True
csuite_nonlin_simpson,200,0.0086596225168596,-0.0078740202730307,0.0249103885613216,0.1766116278456737,0.4519666590978655,correlation_matrix_difference,original_vs_topological,False
csuite_nonlin_simpson,500,0.0062481462000996,-0.0087029679543476,0.0202678796773313,0.2623330281559302,1.0,correlation_matrix_difference,original_vs_topological,False
csuite_symprod_simpson,20,-0.0366382721057986,-0.0683824594521181,-0.0059979201257939,0.001089209621643,0.0065352577298585,correlation_matrix_difference,original_vs_topological,True
csuite_symprod_simpson,50,-0.0282014372354218,-0.0520028340889399,-0.0041795525420606,0.0020888444366591,0.012533066619955,correlation_matrix_difference,original_vs_topological,True
csuite_symprod_simpson,100,-0.0226440271118748,-0.0418461048983751,-0.0044561752427099,0.0014021710196982,0.0084130261181897,correlation_matrix_difference,original_vs_topological,True
csuite_symprod_simpson,200,-0.014345648779121,-0.0328827231692071,0.0029157638005082,0.031366544244026,0.1254661769761043,correlation_matrix_difference,original_vs_topological,False
csuite_symprod_simpson,500,-0.0144018709952472,-0.0292791630822862,3.1289256289701584e-05,0.0085304905166532,0.0511829430999193,correlation_matrix_difference,original_vs_topological,False
csuite_weak_arrows,20,0.0906875609070663,0.0545871683412613,0.1273239937428646,2.2169944511644565e-08,8.867977804657826e-08,correlation_matrix_difference,original_vs_topological,True
csuite_weak_arrows,50,0.1365384287433002,0.0941973161001807,0.1773754971612469,2.6124185110298038e-11,1.0449674044119215e-10,correlation_matrix_difference,original_vs_topological,True
csuite_weak_arrows,100,0.0696947766859019,0.0424452141641454,0.0961075193652194,2.1734845913738727e-08,8.693938365495492e-08,correlation_matrix_difference,original_vs_topological,True
csuite_weak_arrows,200,0.0312899530787991,0.0125842878642163,0.0521553077539265,0.0002130011579883,0.0004260023159766,correlation_matrix_difference,original_vs_topological,True
csuite_weak_arrows,500,0.0188788020718275,0.0006422754560436,0.0400505269715847,0.0208574862603717,0.0417149725207435,correlation_matrix_difference,original_vs_topological,True
custom_scm,20,0.2710289302056707,0.2000826483846797,0.3250939971482727,3.536288390303153e-17,1.8863921942653627e-16,correlation_matrix_difference,original_vs_topological,True
custom_scm,50,0.1195912973167144,0.0873108462246139,0.1520130985394501,7.245464848115238e-16,4.347278908869143e-15,correlation_matrix_difference,original_vs_topological,True
custom_scm,100,0.0871128355767114,0.0616606339759347,0.1107795703116339,1.0563462824278319e-13,6.33807769456699e-13,correlation_matrix_difference,original_vs_topological,True
custom_scm,200,0.0724068419211501,0.0535566081118675,0.0912550505122384,2.4829640944730302e-14,1.4897784566838182e-13,correlation_matrix_difference,original_vs_topological,True
custom_scm,500,0.043785778457556,0.0295202832662156,0.0574553001831021,2.370535308857286e-12,1.4223211853143711e-11,correlation_matrix_difference,original_vs_topological,True
simglucose,20,0.0567056553158753,-0.0294441193246797,0.1367784481043172,0.1637645170282948,0.1637645170282948,correlation_matrix_difference,original_vs_topological,False
simglucose,50,0.1514839935727343,0.0603026600092921,0.2404965532836054,0.0015057460047485,0.0015057460047485,correlation_matrix_difference,original_vs_topological,True
simglucose,100,0.4014882615620847,0.3157629259225119,0.4902546597044694,7.372352927060524e-13,7.372352927060524e-13,correlation_matrix_difference,original_vs_topological,True
simglucose,200,0.4849329118596086,0.3935977695254609,0.5767716068923572,1.9526067877933384e-14,1.9526067877933384e-14,correlation_matrix_difference,original_vs_topological,True
simglucose,500,0.6527481608576853,0.5769461593550891,0.7294547873524224,9.318997235593412e-18,9.318997235593412e-18,correlation_matrix_difference,original_vs_topological,True
csuite_large_backdoor,20,-0.0340058924884074,-0.0632096242173133,-0.0042890408124867,0.0112754119116371,0.0225508238232742,correlation_matrix_difference,original_vs_worst,True
csuite_large_backdoor,50,-0.03252200374458,-0.0589541293809127,-0.0063464852681009,0.0061374741651446,0.0122749483302892,correlation_matrix_difference,original_vs_worst,True
