dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,comparison,is_significant
csuite_large_backdoor,20,0.0054999999999999,0.000875,0.0102499999999999,0.0038111954504514,0.0152447818018056,nnaa,original_vs_topological,True
csuite_large_backdoor,50,0.0050624999999999,0.0015,0.0084999999999999,0.0005851877822613,0.0023407511290455,nnaa,original_vs_topological,True
csuite_large_backdoor,100,0.007375,0.0039999999999999,0.010875,5.12054088493135e-07,2.560270442465675e-06,nnaa,original_vs_topological,True
csuite_large_backdoor,200,0.0048749999999999,0.00125,0.0082499999999999,0.0004300395448604,0.0021501977243024,nnaa,original_vs_topological,True
csuite_large_backdoor,500,0.00175,-0.0015,0.0049999999999999,0.1453330352136014,0.7266651760680071,nnaa,original_vs_topological,False
csuite_mixed_confounding,20,0.0031249999999999,-0.00025,0.0067499999999999,0.0310902484120535,0.0932707452361606,nnaa,original_vs_topological,False
csuite_mixed_confounding,50,0.017375,0.0138749999999999,0.0207500000000001,4.587817229315696e-15,1.3763451687947087e-14,nnaa,original_vs_topological,True
csuite_mixed_confounding,100,0.0186249999999998,0.0154999999999999,0.022125,9.44943989509935e-18,3.77977595803974e-17,nnaa,original_vs_topological,True
csuite_mixed_confounding,200,0.0135,0.010125,0.016875,2.01425198866653e-13,8.05700795466612e-13,nnaa,original_vs_topological,True
csuite_mixed_confounding,500,0.00925,0.0065,0.01225,1.2208659874808408e-10,3.6625979624425227e-10,nnaa,original_vs_topological,True
csuite_mixed_simpson,20,0.0181874999999999,0.0126249999999999,0.024,1.3176352934347226e-11,6.588176467173613e-11,nnaa,original_vs_topological,True
csuite_mixed_simpson,50,0.00925,0.00525,0.0131249999999999,4.7571457684156955e-08,2.854287461049417e-07,nnaa,original_vs_topological,True
csuite_mixed_simpson,100,0.01,0.006125,0.0136249999999999,2.9746385879416182e-09,1.4873192939708091e-08,nnaa,original_vs_topological,True
csuite_mixed_simpson,200,0.0021249999999999,-0.001375,0.0054999999999999,0.1342836305604629,0.4028508916813888,nnaa,original_vs_topological,False
csuite_mixed_simpson,500,0.0015,-0.0015,0.0044999999999999,0.2202640817161907,0.4405281634323814,nnaa,original_vs_topological,False
csuite_nonlin_simpson,20,0.00575,0.00175,0.0096249999999999,0.000486183615306,0.00243091807653,nnaa,original_vs_topological,True
csuite_nonlin_simpson,50,0.012625,0.009,0.0163749999999999,2.0403991486261512e-13,1.2242394891756906e-12,nnaa,original_vs_topological,True
csuite_nonlin_simpson,100,0.0133749999999999,0.0092499999999999,0.0174999999999999,1.851808184061023e-12,9.259040920305115e-12,nnaa,original_vs_topological,True
csuite_nonlin_simpson,200,0.0105,0.0072499999999999,0.014125,5.76426210173849e-12,2.8821310508692448e-11,nnaa,original_vs_topological,True
csuite_nonlin_simpson,500,0.00675,0.0035,0.0102499999999999,1.3356524922962195e-06,6.678262461481099e-06,nnaa,original_vs_topological,True
csuite_symprod_simpson,20,0.013875,0.0086249999999999,0.0192499999999999,1.0978426744130302e-09,6.587056046478181e-09,nnaa,original_vs_topological,True
csuite_symprod_simpson,50,0.0061249999999999,0.0021249999999999,0.0101249999999999,0.0003289173182189,0.0013156692728758,nnaa,original_vs_topological,True
csuite_symprod_simpson,100,0.002875,-0.0005,0.0065,0.0344605007019596,0.1378420028078384,nnaa,original_vs_topological,False
csuite_symprod_simpson,200,0.001875,-0.0012499999999999,0.00525,0.1016990958594192,0.4067963834376771,nnaa,original_vs_topological,False
csuite_symprod_simpson,500,0.0003749999999999,-0.00325,0.0039999999999998,0.8311850320842209,1.0,nnaa,original_vs_topological,False
csuite_weak_arrows,20,0.003,-0.00075,0.00675,0.0504038058701112,0.2016152234804448,nnaa,original_vs_topological,False
csuite_weak_arrows,50,0.008,0.0046249999999999,0.011375,4.5766099683672316e-08,2.288304984183616e-07,nnaa,original_vs_topological,True
csuite_weak_arrows,100,0.0045,0.0013749999999999,0.0076249999999999,0.0006475029354823,0.0025900117419294,nnaa,original_vs_topological,True
csuite_weak_arrows,200,0.0044999999999999,0.0015,0.0075,0.000449961942226,0.0017998477689041,nnaa,original_vs_topological,True
csuite_weak_arrows,500,0.0016249999999999,-0.0019999999999999,0.0049999999999999,0.2514986344188094,0.5990366106935567,nnaa,original_vs_topological,False
custom_scm,20,0.0137499999999999,0.0095000000000001,0.0177499999999999,8.783307795162448e-13,5.269984677097468e-12,nnaa,original_vs_topological,True
custom_scm,50,0.004375,0.001375,0.0076249999999999,0.0002388010587101,0.0011940052935505,nnaa,original_vs_topological,True
custom_scm,100,0.00225,-0.0007499999999999,0.0054999999999999,0.0411089113231705,0.2055445566158527,nnaa,original_vs_topological,False
custom_scm,200,0.0018124999999999,-0.0009999999999999,0.004625,0.0803885616150234,0.4823313696901404,nnaa,original_vs_topological,False
custom_scm,500,0.0015,-0.0004999999999999,0.0034999999999999,0.0375041995929849,0.1875209979649247,nnaa,original_vs_topological,False
simglucose,20,0.00175,-0.0022499999999999,0.0058749999999999,0.3658405192738767,0.3658405192738767,nnaa,original_vs_topological,False
simglucose,50,0.0130625,0.0098749999999999,0.016125,4.949071184564488e-11,4.949071184564488e-11,nnaa,original_vs_topological,True
simglucose,100,0.017625,0.015,0.0202499999999999,6.279286139377017e-15,6.279286139377017e-15,nnaa,original_vs_topological,True
simglucose,200,0.0306875,0.02725,0.0344999999999999,9.039954989089641e-18,9.039954989089641e-18,nnaa,original_vs_topological,True
simglucose,500,0.039125,0.035375,0.042625,9.038458498643193e-18,9.038458498643193e-18,nnaa,original_vs_topological,True
csuite_large_backdoor,20,-0.0015,-0.00525,0.002625,0.391907203757627,0.6346210157258283,nnaa,original_vs_worst,False
csuite_large_backdoor,50,-0.0003749999999999,-0.0038749999999999,0.0032499999999999,0.774032083496542,0.774032083496542,nnaa,original_vs_worst,False
csuite_large_backdoor,100,-0.0005624999999999,-0.004125,0.003125,0.7142243252794647,1.0,nnaa,original_vs_worst,False
csuite_large_backdoor,200,0.000875,-0.001875,0.003875,0.3995598193770855,0.799119638754171,nnaa,original_vs_worst,False
csuite_large_backdoor,500,-0.0017499999999999,-0.0046249999999999,0.0016249999999999,0.1872870631801582,0.7266651760680071,nnaa,original_vs_worst,False
csuite_mixed_confounding,20,0.00275,-0.001375,0.0068749999999999,0.098505867018847,0.1970117340376941,nnaa,original_vs_worst,False
csuite_mixed_confounding,50,-0.00725,-0.0102499999999999,-0.003875,4.110522266300869e-06,8.221044532601737e-06,nnaa,original_vs_worst,True
csuite_mixed_confounding,100,-0.0052499999999999,-0.0077499999999999,-0.0023749999999999,0.000495575969309,0.000495575969309,nnaa,original_vs_worst,True
csuite_mixed_confounding,200,-0.00025,-0.002375,0.0019999999999999,0.8419260013190366,0.8419260013190366,nnaa,original_vs_worst,False
csuite_mixed_confounding,500,0.001625,-0.000875,0.0042499999999999,0.1259889551019444,0.1259889551019444,nnaa,original_vs_worst,False
csuite_mixed_simpson,20,0.0012499999999999,-0.0028749999999999,0.0051249999999999,0.4723767350740459,0.6346210157258283,nnaa,original_vs_worst,False
csuite_mixed_simpson,50,0.0005,-0.0027499999999999,0.0036249999999999,0.7270902560642325,1.0,nnaa,original_vs_worst,False
csuite_mixed_simpson,100,0.001,-0.00225,0.004,0.4787497847473623,0.9574995694947246,nnaa,original_vs_worst,False
csuite_mixed_simpson,200,0.0005,-0.003,0.0043749999999999,0.7258015171251612,1.0,nnaa,original_vs_worst,False
csuite_mixed_simpson,500,0.0011249999999999,-0.002,0.0042499999999999,0.3603861398364698,0.4405281634323814,nnaa,original_vs_worst,False
csuite_nonlin_simpson,20,-0.0017499999999999,-0.0051249999999999,0.0019999999999999,0.3006931902083967,0.6013863804167934,nnaa,original_vs_worst,False
csuite_nonlin_simpson,50,-0.0029999999999999,-0.0061249999999999,0.000125,0.0254202548857634,0.0762607646572903,nnaa,original_vs_worst,False
csuite_nonlin_simpson,100,-0.0033749999999999,-0.0063749999999999,-0.0002499999999999,0.0102103131220997,0.0306309393662993,nnaa,original_vs_worst,True
csuite_nonlin_simpson,200,-0.0035,-0.0063749999999999,-0.0005,0.0049396579429372,0.0148189738288116,nnaa,original_vs_worst,True
csuite_nonlin_simpson,500,-0.0033749999999999,-0.0062499999999999,-0.000375,0.007508305759881,0.022524917279643,nnaa,original_vs_worst,True
csuite_symprod_simpson,20,-0.01,-0.0143749999999999,-0.0054999999999999,9.189332267850384e-07,3.6757329071401537e-06,nnaa,original_vs_worst,True
csuite_symprod_simpson,50,-0.0145,-0.0187499999999999,-0.01025,6.661694100011378e-13,3.997016460006827e-12,nnaa,original_vs_worst,True
csuite_symprod_simpson,100,-0.01275,-0.0165,-0.009,2.2686611644172938e-11,1.3611966986503765e-10,nnaa,original_vs_worst,True
csuite_symprod_simpson,200,-0.0067499999999999,-0.01,-0.0036249999999999,6.727319956008638e-08,4.036391973605182e-07,nnaa,original_vs_worst,True
csuite_symprod_simpson,500,-0.005375,-0.00875,-0.00225,1.0183349237368e-05,6.1100095424208e-05,nnaa,original_vs_worst,True
csuite_weak_arrows,20,-0.0003749999999999,-0.004375,0.0036249999999999,0.8218115522985803,1.0,nnaa,original_vs_worst,False
csuite_weak_arrows,50,0.002625,-0.000875,0.006375,0.1024189317404297,0.2048378634808594,nnaa,original_vs_worst,False
csuite_weak_arrows,100,-0.002125,-0.0049999999999999,0.0006249999999998,0.0771724894121846,0.1543449788243692,nnaa,original_vs_worst,False
csuite_weak_arrows,200,0.00025,-0.0026249999999999,0.003,0.8365549523267635,0.8365549523267635,nnaa,original_vs_worst,False
csuite_weak_arrows,500,-0.002375,-0.0058749999999999,0.001,0.0618924314111825,0.3094621570559126,nnaa,original_vs_worst,False
custom_scm,20,0.009875,0.0052499999999999,0.014375,2.38957879240316e-07,1.1947893962015795e-06,nnaa,original_vs_worst,True
custom_scm,50,0.0004999999999999,-0.0026249999999998,0.0033749999999999,0.7001609607065191,1.0,nnaa,original_vs_worst,False
custom_scm,100,0.0016249999999999,-0.001875,0.00525,0.2255001712478049,0.6765005137434149,nnaa,original_vs_worst,False
custom_scm,200,0.0001249999999999,-0.0033749999999999,0.0036249999999999,0.9383339597601942,1.0,nnaa,original_vs_worst,False
custom_scm,500,0.0009999999999998,-0.0024999999999999,0.0046249999999998,0.4851813513331376,1.0,nnaa,original_vs_worst,False
