dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,is_significant,metric
csuite_large_backdoor,20,0.0,0.0,0.0,0.3173105078629141,0.3173105078629141,False,correlation_matrix_difference
csuite_large_backdoor,50,0.0,0.0,0.0,0.960403825350782,0.960403825350782,False,correlation_matrix_difference
csuite_large_backdoor,100,0.0,0.0,0.0,0.4519394129086502,0.4519394129086502,False,correlation_matrix_difference
csuite_large_backdoor,200,0.0,0.0,0.0063066794657054,0.6128905470851336,0.6128905470851336,False,correlation_matrix_difference
csuite_large_backdoor,500,0.0,-0.0130907211602259,0.0053774601151493,0.4382736892121693,1.0,False,correlation_matrix_difference
csuite_mixed_confounding,20,0.0,0.0,0.0,0.7836537189190569,1.0,False,correlation_matrix_difference
csuite_mixed_confounding,50,-0.0067965107498209,-0.027770361677441,0.0,0.0251822643153092,0.0503645286306184,False,correlation_matrix_difference
csuite_mixed_confounding,100,-0.0802042399033756,-0.1180615136122451,-0.0400642016240495,1.5453775865224095e-06,3.090755173044819e-06,True,correlation_matrix_difference
csuite_mixed_confounding,200,-0.1744470844999703,-0.2180144921218518,-0.1306940386497405,1.0795779860976294e-14,5.397889930488148e-14,True,correlation_matrix_difference
csuite_mixed_confounding,500,-0.282773422651764,-0.3191478595287195,-0.2438056625974909,4.670683307897806e-18,2.802409984738684e-17,True,correlation_matrix_difference
csuite_mixed_simpson,20,0.0,0.0,0.0,0.3173105078629141,0.9519315235887424,False,correlation_matrix_difference
csuite_mixed_simpson,50,0.0,0.0,0.0,0.1573044481411268,0.4719133444233806,False,correlation_matrix_difference
csuite_mixed_simpson,100,0.0,0.0,0.0,0.0333753822545927,0.1335015290183709,False,correlation_matrix_difference
csuite_mixed_simpson,200,0.0,0.0,0.0,0.6893532177683317,1.0,False,correlation_matrix_difference
csuite_mixed_simpson,500,-0.0036961969581553,-0.0526628455915289,0.0,0.0723178383118018,0.3615891915590092,False,correlation_matrix_difference
csuite_nonlin_simpson,20,0.0,0.0,0.0,1.0,1.0,False,correlation_matrix_difference
csuite_nonlin_simpson,50,0.0,0.0,0.0,0.5716199076832991,0.5716199076832991,False,correlation_matrix_difference
csuite_nonlin_simpson,100,0.0,0.0,0.0,0.4000732209381242,0.4000732209381242,False,correlation_matrix_difference
csuite_nonlin_simpson,200,0.0,0.0,0.0,0.5272760122384904,0.7028942287108841,False,correlation_matrix_difference
csuite_nonlin_simpson,500,0.0,0.0,0.0,1.0,1.0,False,correlation_matrix_difference
csuite_symprod_simpson,20,-0.0410796722733253,-0.0710843904203319,-0.0150210950944796,8.993624149542701e-05,0.0005396174489725,True,correlation_matrix_difference
csuite_symprod_simpson,50,-0.0300004148347829,-0.0546668419449666,-0.0043160143395783,0.0020648752113698,0.0123892512682192,True,correlation_matrix_difference
csuite_symprod_simpson,100,-0.0152542862161483,-0.0349242037790716,0.0038571866757022,0.0324649931794824,0.1947899590768946,False,correlation_matrix_difference
csuite_symprod_simpson,200,-0.0143149450138586,-0.0358015204400821,0.0073993115786863,0.0806947671176439,0.4841686027058636,False,correlation_matrix_difference
csuite_symprod_simpson,500,-0.0089804852220991,-0.0239131942834417,0.0076463304198182,0.1458322787653961,0.8749936725923767,False,correlation_matrix_difference
csuite_weak_arrows,20,0.0,0.0,0.0,1.0,1.0,False,correlation_matrix_difference
csuite_weak_arrows,50,0.0,0.0,0.0,0.951920882916512,0.951920882916512,False,correlation_matrix_difference
csuite_weak_arrows,100,0.0,0.0,0.0,0.9655503599870604,0.9655503599870604,False,correlation_matrix_difference
csuite_weak_arrows,200,0.0,-0.0088191890169465,-0.00018738150176,0.0017901723715663,0.0035803447431327,False,correlation_matrix_difference
csuite_weak_arrows,500,-0.0199335848287548,-0.0428284109401972,-7.734889370419884e-05,0.0126235710450566,0.03787071313517,True,correlation_matrix_difference
custom_scm,20,0.0,0.0,0.0,0.9943298722460112,0.9943298722460112,False,correlation_matrix_difference
custom_scm,50,0.0,0.0,0.0,0.6547544592416068,0.6547544592416068,False,correlation_matrix_difference
custom_scm,100,0.0,0.0,0.0,0.5637161229380503,1.0,False,correlation_matrix_difference
custom_scm,200,0.0,0.0,0.0,0.1051929407045721,0.2103858814091443,False,correlation_matrix_difference
custom_scm,500,0.0,0.0,0.0,0.0832750040512064,0.2498250121536193,False,correlation_matrix_difference
