dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,is_significant,metric
csuite_large_backdoor,20,0.0,0.0,0.0,0.3173105078629141,0.6346210157258283,False,nnaa
csuite_large_backdoor,50,0.0,0.0,0.0,0.0587720558265438,0.1763161674796315,False,nnaa
csuite_large_backdoor,100,0.0,0.0,0.0,0.9571520864681932,1.0,False,nnaa
csuite_large_backdoor,200,0.0,0.0,0.001625,0.2177223239936171,0.6531669719808514,False,nnaa
csuite_large_backdoor,500,0.0,-0.0023749999999999,0.001,0.8834883574302944,1.0,False,nnaa
csuite_mixed_confounding,20,0.0,0.0,0.0,0.8007519719096701,0.8007519719096701,False,nnaa
csuite_mixed_confounding,50,-0.003,-0.0051249999999999,-5.551115123125783e-17,0.0008658603296859,0.0008658603296859,True,nnaa
csuite_mixed_confounding,100,-0.00975,-0.0154999999999999,-0.005125,3.3702991943666018e-06,6.740598388733203e-06,True,nnaa
csuite_mixed_confounding,200,-0.0247499999999999,-0.031625,-0.017,1.374811295908195e-12,4.124433887724585e-12,True,nnaa
csuite_mixed_confounding,500,-0.0481249999999999,-0.0567499999999999,-0.04,1.3127075813507346e-17,7.876245488104408e-17,True,nnaa
csuite_mixed_simpson,20,0.0,0.0,0.0,0.3173105078629141,0.6346210157258283,False,nnaa
csuite_mixed_simpson,50,0.0,0.0,0.0,0.1573044481411268,0.4719133444233806,False,nnaa
csuite_mixed_simpson,100,0.0,0.0,0.0,0.2497858393894604,0.7493575181683813,False,nnaa
csuite_mixed_simpson,200,0.0,0.0,0.0,0.7766542600018544,1.0,False,nnaa
csuite_mixed_simpson,500,-0.0032499999999999,-0.0108749999999999,-5.551115123125783e-17,0.0152616169072875,0.0610464676291503,False,nnaa
csuite_nonlin_simpson,20,0.0,0.0,0.0,1.0,1.0,False,nnaa
csuite_nonlin_simpson,50,0.0,0.0,0.0,0.0832750040512064,0.1665500081024128,False,nnaa
csuite_nonlin_simpson,100,0.0,0.0,0.0,0.0143208091200383,0.0306309393662993,False,nnaa
csuite_nonlin_simpson,200,0.0,0.0,0.0,0.0117772470084972,0.0235544940169945,False,nnaa
csuite_nonlin_simpson,500,0.0,0.0,0.0,1.0,1.0,False,nnaa
csuite_symprod_simpson,20,0.01225,0.007875,0.01675,2.125615993477567e-09,1.2753695960865402e-08,True,nnaa
csuite_symprod_simpson,50,0.0057499999999999,0.0017499999999999,0.0097499999999999,0.0002958505882711,0.0011834023530847,True,nnaa
csuite_symprod_simpson,100,0.0033124999999999,0.000375,0.0062499999999999,0.0105748202251621,0.0422992809006485,True,nnaa
csuite_symprod_simpson,200,0.001875,-0.0014999999999999,0.0053749999999999,0.116498495439089,0.465993981756356,False,nnaa
csuite_symprod_simpson,500,0.001875,-0.002,0.0052499999999999,0.2113457383100007,0.3353124154438568,False,nnaa
csuite_weak_arrows,20,0.0,0.0,0.0,1.0,1.0,False,nnaa
csuite_weak_arrows,50,0.0,0.0,0.0,0.8407120608751397,0.8407120608751397,False,nnaa
csuite_weak_arrows,100,0.0,0.0,0.0,0.3153018692425997,0.3153018692425997,False,nnaa
csuite_weak_arrows,200,0.0,-0.0016249999999999,-0.0001249999999999,0.0040511796172736,0.0121535388518208,False,nnaa
csuite_weak_arrows,500,-0.001,-0.0044999999999999,0.0014999999999999,0.1996788702311855,0.5990366106935567,False,nnaa
custom_scm,20,0.0,0.0,0.0,0.1573044481411268,0.1573044481411268,False,nnaa
custom_scm,50,0.0,0.0,0.0,0.6679848496341475,1.0,False,nnaa
custom_scm,100,0.0,0.0,0.0,0.5716199076832991,1.0,False,nnaa
custom_scm,200,0.0,0.0,0.0,0.9966596502794842,1.0,False,nnaa
custom_scm,500,0.0,0.0,0.0,0.5637161229380503,1.0,False,nnaa
