dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,is_significant,metric
csuite_large_backdoor,20,-0.00325,-0.007,0.0002499999999999,0.0240974005877232,0.0722922017631696,False,nnaa
csuite_large_backdoor,50,-0.002125,-0.0055,0.0011249999999999,0.1133276422390591,0.2266552844781183,False,nnaa
csuite_large_backdoor,100,-0.001,-0.0035,0.0016249999999999,0.4240284404989223,1.0,False,nnaa
csuite_large_backdoor,200,-0.0003749999999999,-0.0032499999999999,0.0025,0.7792998624898287,1.0,False,nnaa
csuite_large_backdoor,500,-0.00175,-0.004875,0.001375,0.1496674545092249,0.5813321408544057,False,nnaa
csuite_mixed_confounding,20,0.02375,0.0185,0.0292500000000001,2.3699717434158504e-15,9.4798869736634e-15,True,nnaa
csuite_mixed_confounding,50,0.024875,0.0211249999999998,0.0286249999999999,1.0034699008505162e-17,5.0173495042525806e-17,True,nnaa
csuite_mixed_confounding,100,0.0222499999999999,0.019125,0.0256249999999999,4.262242744723151e-18,2.333982439328415e-17,True,nnaa
csuite_mixed_confounding,200,0.0175,0.014375,0.0208749999999999,7.444817687704869e-17,3.722408843852434e-16,True,nnaa
csuite_mixed_confounding,500,0.01225,0.009375,0.014875,3.9473147390919084e-14,1.9736573695459541e-13,True,nnaa
csuite_mixed_simpson,20,0.0127499999999999,0.0072499999999999,0.018125,9.573855012758085e-08,3.829542005103234e-07,True,nnaa
csuite_mixed_simpson,50,0.00875,0.0049999999999998,0.0122499999999999,1.145563689661888e-07,4.582254758647552e-07,True,nnaa
csuite_mixed_simpson,100,0.00825,0.004875,0.0117499999999999,4.032291546920875e-08,1.61291661876835e-07,True,nnaa
csuite_mixed_simpson,200,0.0066249999999999,0.003,0.010125,4.57478395829913e-06,2.287391979149565e-05,True,nnaa
csuite_mixed_simpson,500,0.003,-5.551115123125783e-17,0.006125,0.0193779071982179,0.0581337215946539,False,nnaa
csuite_nonlin_simpson,20,0.0042499999999999,0.000625,0.0081249999999999,0.0037284405911093,0.0149137623644372,True,nnaa
csuite_nonlin_simpson,50,0.0095,0.0058749999999999,0.0131249999999999,7.626619147033121e-09,3.0506476588132484e-08,True,nnaa
csuite_nonlin_simpson,100,0.010625,0.0073749999999999,0.0142499999999999,1.8342765342906732e-11,7.337106137162693e-11,True,nnaa
csuite_nonlin_simpson,200,0.009875,0.007125,0.0127499999999999,6.19582262926869e-12,2.8821310508692448e-11,True,nnaa
csuite_nonlin_simpson,500,0.006375,0.0031249999999999,0.00975,7.370366117992281e-07,4.422219670795369e-06,True,nnaa
csuite_symprod_simpson,20,0.0036249999999999,-5.551115123125783e-17,0.007125,0.0185936779188455,0.0557810337565366,False,nnaa
csuite_symprod_simpson,50,0.0015,-0.0018749999999999,0.0053749999999999,0.281058610353838,0.8431758310615142,False,nnaa
csuite_symprod_simpson,100,0.0024999999999999,-0.0005,0.0053749999999999,0.0375040586742133,0.1378420028078384,False,nnaa
csuite_symprod_simpson,200,0.000875,-0.00225,0.004,0.4576682437253568,1.0,False,nnaa
csuite_symprod_simpson,500,-0.0007499999999999,-0.0041249999999999,0.00275,0.5976457211788044,1.0,False,nnaa
csuite_weak_arrows,20,-0.000375,-0.003375,0.0025,0.715507694719247,1.0,False,nnaa
csuite_weak_arrows,50,0.0042499999999999,0.00125,0.007,0.0005150482702271,0.0015451448106814,True,nnaa
csuite_weak_arrows,100,0.0037499999999999,0.0007499999999999,0.0067499999999999,0.003470885792281,0.010412657376843,True,nnaa
csuite_weak_arrows,200,0.004125,0.0013749999999999,0.0074999999999999,0.0003202909237007,0.0016014546185038,True,nnaa
csuite_weak_arrows,500,0.00125,-0.0016249999999999,0.0043749999999999,0.2215702640559671,0.4431405281119343,False,nnaa
custom_scm,20,0.0081249999999999,0.00425,0.0121249999999999,2.874328908065355e-06,8.622986724196065e-06,True,nnaa
custom_scm,50,0.004,0.00075,0.006875,0.002302330640085,0.0092093225603401,True,nnaa
custom_scm,100,0.0021249999999999,-0.000875,0.005125,0.047444557045408,0.2055445566158527,False,nnaa
custom_scm,200,0.0015,-0.0015,0.00425,0.1765978798623014,0.5794922283696176,False,nnaa
custom_scm,500,0.001625,-0.00025,0.0038749999999999,0.0236623195871846,0.1419739175231077,False,nnaa
