dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,is_significant
csuite_large_backdoor,20,-0.0340058924884074,-0.0632096242173133,-0.0042890408124867,0.0112754119116371,0.0225508238232742,correlation_matrix_difference,True
csuite_large_backdoor,50,-0.03252200374458,-0.0589541293809127,-0.0063464852681009,0.0061374741651446,0.0122749483302892,correlation_matrix_difference,True
csuite_large_backdoor,100,-0.0374728238268378,-0.0650985744015772,-0.0083197511835556,0.0021375501862175,0.0064126505586527,correlation_matrix_difference,True
csuite_large_backdoor,200,-0.0181715270409825,-0.0435174526664503,0.0050718534730094,0.0411153431031887,0.1183228518979581,correlation_matrix_difference,False
csuite_large_backdoor,500,0.0073160857681976,-0.0171771092005861,0.0309172450543909,0.4151392918786695,1.0,correlation_matrix_difference,False
csuite_mixed_confounding,20,-0.0085369408456491,-0.0295074161701722,0.0133927575888763,0.3104368435680937,0.9313105307042812,correlation_matrix_difference,False
csuite_mixed_confounding,50,-0.0206533903738235,-0.04309423887955,0.0009373570386613,0.031366544244026,0.0503645286306184,correlation_matrix_difference,False
csuite_mixed_confounding,100,-0.0432059052471759,-0.0612777874567527,-0.0240456633478223,3.37419723946397e-05,3.37419723946397e-05,correlation_matrix_difference,True
csuite_mixed_confounding,200,-0.0027793756025811,-0.0165057896536865,0.0111796060259556,0.6773827047880141,0.6773827047880141,correlation_matrix_difference,False
csuite_mixed_confounding,500,0.0616818056066178,0.0406451776680573,0.0811020242440477,3.062668006717588e-10,1.072273331845267e-09,correlation_matrix_difference,True
csuite_mixed_simpson,20,-0.011077262511754,-0.0418908506696657,0.019639220677968,0.3568045448109593,0.9519315235887424,correlation_matrix_difference,False
csuite_mixed_simpson,50,-0.0028698156134702,-0.0274682133130395,0.0202724376321432,0.7674623006604582,1.0,correlation_matrix_difference,False
csuite_mixed_simpson,100,0.006552711883273,-0.0097359877278556,0.0237271635104795,0.3305304748161958,0.3305304748161958,correlation_matrix_difference,False
csuite_mixed_simpson,200,-0.0051045482812459,-0.0211392004380182,0.0096733353061318,0.4014966599965911,1.0,correlation_matrix_difference,False
csuite_mixed_simpson,500,0.0115956284910307,-0.0044806545245379,0.026142072562536,0.0500138909344936,0.3000833456069617,correlation_matrix_difference,False
csuite_nonlin_simpson,20,-0.0067205538649651,-0.0393166129126828,0.0228912399259513,0.5359832452872442,1.0,correlation_matrix_difference,False
csuite_nonlin_simpson,50,-0.0157625055441733,-0.0351976550524565,0.0028380533171945,0.0333103059384492,0.1332412237537969,correlation_matrix_difference,False
csuite_nonlin_simpson,100,-0.0112349008637621,-0.0258344683665179,0.001877771101673,0.0378248048880056,0.1134744146640169,correlation_matrix_difference,False
csuite_nonlin_simpson,200,-0.0043613202552269,-0.0161314451360282,0.0075299701462936,0.351447114355442,0.7028942287108841,correlation_matrix_difference,False
csuite_nonlin_simpson,500,-0.0095648673092924,-0.0213650000068135,0.0025623525635555,0.0319117171852202,0.1914703031113214,correlation_matrix_difference,False
csuite_symprod_simpson,20,0.040032985650685,0.0101849461129962,0.0701525162441855,0.0029710961771372,0.0059421923542745,correlation_matrix_difference,True
csuite_symprod_simpson,50,0.0170136920758679,-0.0098968040408794,0.0503644797514166,0.1458322787653961,0.2916645575307922,correlation_matrix_difference,False
csuite_symprod_simpson,100,0.0056460147269153,-0.0184601685203997,0.0306172521960638,0.5247177003787094,0.9405296667839604,correlation_matrix_difference,False
csuite_symprod_simpson,200,-0.0090632603677656,-0.0270889263745501,0.0099964588044903,0.2107337949373173,0.6322013848119521,correlation_matrix_difference,False
csuite_symprod_simpson,500,-0.0016708118493383,-0.01943343955539,0.0176808683696714,0.7595963382015569,1.0,correlation_matrix_difference,False
csuite_weak_arrows,20,0.0652772343801632,0.0287571059665779,0.1033456210863317,0.0001759815341563,0.0003519630683126,correlation_matrix_difference,True
csuite_weak_arrows,50,0.0423248287832974,0.010788635580718,0.0783109099633224,0.0029710961771372,0.0059421923542745,correlation_matrix_difference,True
csuite_weak_arrows,100,-0.0147785823867748,-0.046877182774015,0.0232603406805186,0.3843571402742828,0.7687142805485656,correlation_matrix_difference,False
csuite_weak_arrows,200,-0.0123431630316613,-0.036145024582279,0.0128415718765258,0.3461409289190746,0.3461409289190746,correlation_matrix_difference,False
csuite_weak_arrows,500,0.0133677172640106,-0.0097340647060361,0.0330666996108098,0.2328307124787141,0.2328307124787141,correlation_matrix_difference,False
