dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,is_significant,metric
csuite_large_backdoor,20,-0.0015,-0.00525,0.002625,0.391907203757627,0.6346210157258283,False,nnaa
csuite_large_backdoor,50,-0.0003749999999999,-0.0038749999999999,0.0032499999999999,0.774032083496542,0.774032083496542,False,nnaa
csuite_large_backdoor,100,-0.0005624999999999,-0.004125,0.003125,0.7142243252794647,1.0,False,nnaa
csuite_large_backdoor,200,0.000875,-0.001875,0.003875,0.3995598193770855,0.799119638754171,False,nnaa
csuite_large_backdoor,500,-0.0017499999999999,-0.0046249999999999,0.0016249999999999,0.1872870631801582,0.7266651760680071,False,nnaa
csuite_mixed_confounding,20,0.00275,-0.001375,0.0068749999999999,0.098505867018847,0.1970117340376941,False,nnaa
csuite_mixed_confounding,50,-0.00725,-0.0102499999999999,-0.003875,4.110522266300869e-06,8.221044532601737e-06,True,nnaa
csuite_mixed_confounding,100,-0.0052499999999999,-0.0077499999999999,-0.0023749999999999,0.000495575969309,0.000495575969309,True,nnaa
csuite_mixed_confounding,200,-0.00025,-0.002375,0.0019999999999999,0.8419260013190366,0.8419260013190366,False,nnaa
csuite_mixed_confounding,500,0.001625,-0.000875,0.0042499999999999,0.1259889551019444,0.1259889551019444,False,nnaa
csuite_mixed_simpson,20,0.0012499999999999,-0.0028749999999999,0.0051249999999999,0.4723767350740459,0.6346210157258283,False,nnaa
csuite_mixed_simpson,50,0.0005,-0.0027499999999999,0.0036249999999999,0.7270902560642325,1.0,False,nnaa
csuite_mixed_simpson,100,0.001,-0.00225,0.004,0.4787497847473623,0.9574995694947246,False,nnaa
csuite_mixed_simpson,200,0.0005,-0.003,0.0043749999999999,0.7258015171251612,1.0,False,nnaa
csuite_mixed_simpson,500,0.0011249999999999,-0.002,0.0042499999999999,0.3603861398364698,0.4405281634323814,False,nnaa
csuite_nonlin_simpson,20,-0.0017499999999999,-0.0051249999999999,0.0019999999999999,0.3006931902083967,0.6013863804167934,False,nnaa
csuite_nonlin_simpson,50,-0.0029999999999999,-0.0061249999999999,0.000125,0.0254202548857634,0.0762607646572903,False,nnaa
csuite_nonlin_simpson,100,-0.0033749999999999,-0.0063749999999999,-0.0002499999999999,0.0102103131220997,0.0306309393662993,True,nnaa
csuite_nonlin_simpson,200,-0.0035,-0.0063749999999999,-0.0005,0.0049396579429372,0.0148189738288116,True,nnaa
csuite_nonlin_simpson,500,-0.0033749999999999,-0.0062499999999999,-0.000375,0.007508305759881,0.022524917279643,True,nnaa
csuite_symprod_simpson,20,-0.01,-0.0143749999999999,-0.0054999999999999,9.189332267850384e-07,3.6757329071401537e-06,True,nnaa
csuite_symprod_simpson,50,-0.0145,-0.0187499999999999,-0.01025,6.661694100011378e-13,3.997016460006827e-12,True,nnaa
csuite_symprod_simpson,100,-0.01275,-0.0165,-0.009,2.2686611644172938e-11,1.3611966986503765e-10,True,nnaa
csuite_symprod_simpson,200,-0.0067499999999999,-0.01,-0.0036249999999999,6.727319956008638e-08,4.036391973605182e-07,True,nnaa
csuite_symprod_simpson,500,-0.005375,-0.00875,-0.00225,1.0183349237368e-05,6.1100095424208e-05,True,nnaa
csuite_weak_arrows,20,-0.0003749999999999,-0.004375,0.0036249999999999,0.8218115522985803,1.0,False,nnaa
csuite_weak_arrows,50,0.002625,-0.000875,0.006375,0.1024189317404297,0.2048378634808594,False,nnaa
csuite_weak_arrows,100,-0.002125,-0.0049999999999999,0.0006249999999998,0.0771724894121846,0.1543449788243692,False,nnaa
csuite_weak_arrows,200,0.00025,-0.0026249999999999,0.003,0.8365549523267635,0.8365549523267635,False,nnaa
csuite_weak_arrows,500,-0.002375,-0.0058749999999999,0.001,0.0618924314111825,0.3094621570559126,False,nnaa
custom_scm,20,0.009875,0.0052499999999999,0.014375,2.38957879240316e-07,1.1947893962015795e-06,True,nnaa
custom_scm,50,0.0004999999999999,-0.0026249999999998,0.0033749999999999,0.7001609607065191,1.0,False,nnaa
custom_scm,100,0.0016249999999999,-0.001875,0.00525,0.2255001712478049,0.6765005137434149,False,nnaa
custom_scm,200,0.0001249999999999,-0.0033749999999999,0.0036249999999999,0.9383339597601942,1.0,False,nnaa
custom_scm,500,0.0009999999999998,-0.0024999999999999,0.0046249999999998,0.4851813513331376,1.0,False,nnaa
