dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,is_significant
csuite_large_backdoor,20,0.0025069444444443,0.0005208333333331,0.0043958333333332,0.0013609753788046,0.006804876894023,k_marginal_tvd,True
csuite_large_backdoor,50,0.0034791666666666,0.0021319444444445,0.0049027777777777,1.6663533316051443e-09,8.331766658025722e-09,k_marginal_tvd,True
csuite_large_backdoor,100,0.0017638888888888,0.000784722222222,0.0026597222222222,2.0750764092188765e-05,8.300305636875506e-05,k_marginal_tvd,True
csuite_large_backdoor,200,-0.000173611111111,-0.0010833333333333,0.000798611111111,0.6524067469421291,0.6524067469421291,k_marginal_tvd,False
csuite_large_backdoor,500,-0.0029166666666666,-0.0037777777777777,-0.0020416666666666,1.2719799173963742e-11,6.383541463568322e-11,k_marginal_tvd,True
csuite_mixed_confounding,20,0.0008352272727272,-0.0006742424242425,0.0022499999999999,0.1937083394377737,0.3874166788755475,k_marginal_tvd,False
csuite_mixed_confounding,50,0.002246212121212,0.0010643939393939,0.0033674242424241,1.2615363371354731e-05,5.0461453485418925e-05,k_marginal_tvd,True
csuite_mixed_confounding,100,0.0030208333333333,0.0018030303030303,0.0042727272727272,8.625500594289316e-09,4.3127502971446583e-08,k_marginal_tvd,True
csuite_mixed_confounding,200,0.0026931818181818,0.0016136363636363,0.0036893939393939,7.337453408932674e-08,2.9349813635730697e-07,k_marginal_tvd,True
csuite_mixed_confounding,500,0.001530303030303,0.0005378787878787,0.0025492424242424,9.253508950932788e-05,0.0004626754475466,k_marginal_tvd,True
csuite_mixed_simpson,20,0.0057083333333333,-0.0025,0.0140416666666666,0.0754672820319289,0.1651029854276204,k_marginal_tvd,False
csuite_mixed_simpson,50,0.0055833333333333,8.33333333332964e-05,0.0111666666666667,0.0118983176010182,0.0475932704040729,k_marginal_tvd,True
csuite_mixed_simpson,100,0.011625,0.0069166666666667,0.0165833333333333,4.198867126493995e-09,2.519320275896397e-08,k_marginal_tvd,True
csuite_mixed_simpson,200,0.0052499999999999,0.0016666666666666,0.0092083333333333,0.0004648565222611,0.0018594260890444,k_marginal_tvd,True
csuite_mixed_simpson,500,0.0051666666666666,0.002375,0.0080416666666666,1.48699989434045e-05,5.9479995773618006e-05,k_marginal_tvd,True
csuite_nonlin_simpson,20,0.0049166666666666,0.0016666666666666,0.0080833333333333,3.77476167516172e-05,0.000188738083758,k_marginal_tvd,True
csuite_nonlin_simpson,50,0.0099166666666666,0.0070833333333333,0.012625,5.447879340422267e-13,2.7239396702111328e-12,k_marginal_tvd,True
csuite_nonlin_simpson,100,0.0109166666666666,0.0083333333333332,0.0135416666666667,4.401566282497985e-15,2.5707532959178655e-14,k_marginal_tvd,True
csuite_nonlin_simpson,200,0.0069583333333333,0.0048749999999999,0.0090833333333333,3.770993617432059e-12,1.8854968087160293e-11,k_marginal_tvd,True
csuite_nonlin_simpson,500,0.002375,0.000625,0.0041666666666666,0.0018066236024171,0.0054198708072514,k_marginal_tvd,True
csuite_symprod_simpson,20,0.0210416666666667,0.0159166666666666,0.026375,5.1203457895399636e-15,3.0722074737239785e-14,k_marginal_tvd,True
csuite_symprod_simpson,50,0.0092499999999999,0.0062500000000001,0.0122916666666667,1.026436682059818e-11,5.13218341029909e-11,k_marginal_tvd,True
csuite_symprod_simpson,100,0.0044166666666666,0.001875,0.0067499999999999,2.972297740360559e-06,1.4861488701802794e-05,k_marginal_tvd,True
csuite_symprod_simpson,200,0.0034166666666666,0.0019166666666667,0.004875,1.0926806202504733e-07,5.463403101252366e-07,k_marginal_tvd,True
csuite_symprod_simpson,500,0.0020416666666666,8.333333333336579e-05,0.0039583333333333,0.0091994912802923,0.0367979651211692,k_marginal_tvd,True
csuite_weak_arrows,20,0.0016041666666666,-0.0003194444444444,0.0032708333333333,0.0421482922127907,0.1264448766383721,k_marginal_tvd,False
csuite_weak_arrows,50,0.0011319444444444,-0.0002986111111111,0.0024999999999999,0.0474570099173446,0.1898280396693786,k_marginal_tvd,False
csuite_weak_arrows,100,0.0003958333333333,-0.0006249999999999,0.0014652777777776,0.3031133794050514,0.6062267588101029,k_marginal_tvd,False
csuite_weak_arrows,200,5.555555555560032e-05,-0.0008472222222221,0.0008888888888888,0.8756825924671162,0.8756825924671162,k_marginal_tvd,False
csuite_weak_arrows,500,-0.0002743055555555,-0.0011527777777777,0.0005555555555555,0.4290510992328422,1.0,k_marginal_tvd,False
custom_scm,20,0.0141666666666666,0.0095416666666667,0.0189999999999999,1.1162735730957648e-10,6.697641438574588e-10,k_marginal_tvd,True
custom_scm,50,0.0056666666666666,0.0032499999999999,0.008125,1.815685375234609e-08,9.078426876173045e-08,k_marginal_tvd,True
custom_scm,100,0.0023333333333333,0.0006666666666666,0.0042083333333333,0.0002900368241075,0.0017402209446453,k_marginal_tvd,True
