dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,is_significant,metric
csuite_large_backdoor,20,0.0054999999999999,0.000875,0.0102499999999999,0.0038111954504514,0.0152447818018056,True,nnaa
csuite_large_backdoor,50,0.0050624999999999,0.0015,0.0084999999999999,0.0005851877822613,0.0023407511290455,True,nnaa
csuite_large_backdoor,100,0.007375,0.0039999999999999,0.010875,5.12054088493135e-07,2.560270442465675e-06,True,nnaa
csuite_large_backdoor,200,0.0048749999999999,0.00125,0.0082499999999999,0.0004300395448604,0.0021501977243024,True,nnaa
csuite_large_backdoor,500,0.00175,-0.0015,0.0049999999999999,0.1453330352136014,0.5813321408544057,False,nnaa
csuite_mixed_confounding,20,0.0031249999999999,-0.00025,0.0067499999999999,0.0310902484120535,0.0932707452361606,False,nnaa
csuite_mixed_confounding,50,0.017375,0.0138749999999999,0.0207500000000001,4.587817229315696e-15,1.3763451687947087e-14,True,nnaa
csuite_mixed_confounding,100,0.0186249999999998,0.0154999999999999,0.022125,9.44943989509935e-18,3.77977595803974e-17,True,nnaa
csuite_mixed_confounding,200,0.0135,0.0103749999999999,0.0167499999999999,2.01425198866653e-13,6.042755965999589e-13,True,nnaa
csuite_mixed_confounding,500,0.00925,0.0065,0.01225,1.2208659874808408e-10,3.6625979624425227e-10,True,nnaa
csuite_mixed_simpson,20,0.0181874999999999,0.0126249999999999,0.024,1.3176352934347226e-11,6.588176467173613e-11,True,nnaa
csuite_mixed_simpson,50,0.00925,0.00525,0.0131249999999999,4.7571457684156955e-08,2.854287461049417e-07,True,nnaa
csuite_mixed_simpson,100,0.01,0.006125,0.0136249999999999,2.9746385879416182e-09,1.4873192939708091e-08,True,nnaa
csuite_mixed_simpson,200,0.0021249999999999,-0.0012499999999999,0.0053749999999999,0.1342836305604629,0.2685672611209259,False,nnaa
csuite_mixed_simpson,500,0.0015,-0.0013749999999999,0.0043749999999999,0.2202640817161907,0.4405281634323814,False,nnaa
csuite_nonlin_simpson,20,0.00575,0.00175,0.0096249999999999,0.000486183615306,0.00243091807653,True,nnaa
csuite_nonlin_simpson,50,0.012625,0.009,0.0163749999999999,2.0403991486261512e-13,1.2242394891756906e-12,True,nnaa
csuite_nonlin_simpson,100,0.0133749999999999,0.0092499999999999,0.0174999999999999,1.851808184061023e-12,9.259040920305115e-12,True,nnaa
csuite_nonlin_simpson,200,0.0105,0.0072499999999999,0.014125,5.76426210173849e-12,2.8821310508692448e-11,True,nnaa
csuite_nonlin_simpson,500,0.00675,0.0035,0.0102499999999999,1.3356524922962195e-06,6.678262461481099e-06,True,nnaa
csuite_symprod_simpson,20,0.013875,0.0086249999999999,0.0192499999999999,1.0978426744130302e-09,6.587056046478181e-09,True,nnaa
csuite_symprod_simpson,50,0.0061249999999999,0.0021249999999999,0.0101249999999999,0.0003289173182189,0.0013156692728758,True,nnaa
csuite_symprod_simpson,100,0.002875,-0.0005,0.0065,0.0344605007019596,0.1378420028078384,False,nnaa
csuite_symprod_simpson,200,0.001875,-0.0012499999999999,0.00525,0.1016990958594192,0.4067963834376771,False,nnaa
csuite_symprod_simpson,500,0.0003749999999999,-0.00325,0.0039999999999998,0.8311850320842209,1.0,False,nnaa
csuite_weak_arrows,20,0.003,-0.00075,0.00675,0.0504038058701112,0.2016152234804448,False,nnaa
csuite_weak_arrows,50,0.008,0.0046249999999999,0.011375,4.5766099683672316e-08,2.288304984183616e-07,True,nnaa
csuite_weak_arrows,100,0.0045,0.0013749999999999,0.0076249999999999,0.0006475029354823,0.0025900117419294,True,nnaa
csuite_weak_arrows,200,0.0044999999999999,0.001625,0.007375,0.000449961942226,0.0016306829631245,True,nnaa
csuite_weak_arrows,500,0.0016249999999999,-0.0018749999999999,0.0048749999999999,0.2514986344188094,0.4431405281119343,False,nnaa
custom_scm,20,0.0137499999999999,0.0095000000000001,0.0177499999999999,8.783307795162448e-13,5.269984677097468e-12,True,nnaa
custom_scm,50,0.004375,0.001375,0.0076249999999999,0.0002388010587101,0.0011940052935505,True,nnaa
custom_scm,100,0.00225,-0.0007499999999999,0.0054999999999999,0.0411089113231705,0.2055445566158527,False,nnaa
custom_scm,200,0.0018124999999999,-0.0009999999999999,0.004625,0.0803885616150234,0.401942808075117,False,nnaa
custom_scm,500,0.0015,-0.0004999999999999,0.0034999999999999,0.0375041995929849,0.1875209979649247,False,nnaa
simglucose,20,0.00175,-0.0022499999999999,0.0058749999999999,0.3658405192738767,0.3658405192738767,False,nnaa
simglucose,50,0.0130625,0.0098749999999999,0.016125,4.949071184564488e-11,4.949071184564488e-11,True,nnaa
simglucose,100,0.017625,0.015,0.0202499999999999,6.279286139377017e-15,6.279286139377017e-15,True,nnaa
simglucose,200,0.0306875,0.02725,0.0344999999999999,9.039954989089641e-18,9.039954989089641e-18,True,nnaa
simglucose,500,0.039125,0.035375,0.042625,9.038458498643193e-18,9.038458498643193e-18,True,nnaa
