dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,is_significant,metric
csuite_large_backdoor,20,0.0583432094840417,0.0225980774204532,0.0888440753050687,0.0001096797369576,0.0003290392108728,True,correlation_matrix_difference
csuite_large_backdoor,50,0.0442727412855175,0.0121122849769202,0.0758126950167119,0.001037475318276,0.0031124259548281,True,correlation_matrix_difference
csuite_large_backdoor,100,0.0293136553057692,0.0090198200659849,0.0508199208726928,0.00054227591388,0.0021691036555202,True,correlation_matrix_difference
csuite_large_backdoor,200,0.0317631973540803,0.0062267132993726,0.0573607979763319,0.0017962757440202,0.008981378720101,True,correlation_matrix_difference
csuite_large_backdoor,500,-0.0031595781375687,-0.0311586378021486,0.0242188132629479,0.7674623006604582,1.0,False,correlation_matrix_difference
csuite_mixed_confounding,20,0.0051807712131331,-0.0143793529329123,0.0243375623570719,0.5091522042708133,1.0,False,correlation_matrix_difference
csuite_mixed_confounding,50,0.0842849365216274,0.0603311033226273,0.1084318793548064,6.181679327962521e-13,1.8545037983887564e-12,True,correlation_matrix_difference
csuite_mixed_confounding,100,0.1051234819655305,0.0806396440175348,0.1312718627497746,4.1108584105057583e-14,1.6443433642023033e-13,True,correlation_matrix_difference
csuite_mixed_confounding,200,0.0313266615211651,0.0119298293874247,0.0497021122249666,0.000344520853772,0.000689041707544,True,correlation_matrix_difference
csuite_mixed_confounding,500,0.0292293996625067,0.0157484045627728,0.0430728138092402,5.039553839349178e-05,5.039553839349178e-05,True,correlation_matrix_difference
csuite_mixed_simpson,20,0.0464709839420715,0.0076896616075413,0.0883750925437341,0.0019262807735961,0.0096314038679809,True,correlation_matrix_difference
csuite_mixed_simpson,50,0.0471863369742124,0.0232449724906255,0.069612303760057,2.270810881407885e-06,1.1354054407039424e-05,True,correlation_matrix_difference
csuite_mixed_simpson,100,0.0434156714111211,0.0250370578993411,0.0619001862507482,1.2590728891234726e-07,6.74796688947465e-07,True,correlation_matrix_difference
csuite_mixed_simpson,200,0.0102914794642322,-0.0070543312331462,0.0283935898905601,0.1234703042536796,0.6173515212683981,False,correlation_matrix_difference
csuite_mixed_simpson,500,0.0107957564724563,-0.0066319216947717,0.0281796477893058,0.1009883366808758,0.3843304485690795,False,correlation_matrix_difference
csuite_nonlin_simpson,20,0.0236807633281394,-0.0099651261080989,0.0619516860610938,0.062381823596739,0.249527294386956,False,correlation_matrix_difference
csuite_nonlin_simpson,50,0.0103046070895319,-0.0066339692976267,0.0273543103760084,0.1201551206319861,0.3604653618959583,False,correlation_matrix_difference
csuite_nonlin_simpson,100,0.0239643944188298,0.0083329773292023,0.0395068713649046,9.253508950932788e-05,0.0004626754475466,True,correlation_matrix_difference
csuite_nonlin_simpson,200,0.0086596225168596,-0.0078740202730307,0.0249103885613216,0.1766116278456737,0.4519666590978655,False,correlation_matrix_difference
