dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,is_significant,metric
csuite_large_backdoor,20,0.0003854166666666,-0.0010277777777777,0.0018055555555556,0.4808988372096445,0.7397123567455929,False,k_marginal_tvd
csuite_large_backdoor,50,0.0003576388888889,-0.0004930555555555,0.0012777777777779,0.3400148818082709,0.6800297636165418,False,k_marginal_tvd
csuite_large_backdoor,100,0.0004375,-0.0003194444444445,0.0011458333333334,0.2308169447814205,0.2308169447814205,False,k_marginal_tvd
csuite_large_backdoor,200,0.0006562499999999,-0.0001111111111111,0.0014583333333332,0.0335957063278941,0.1343828253115767,False,k_marginal_tvd
csuite_large_backdoor,500,6.249999999992373e-05,-0.0005277777777777,0.0006597222222222,0.8459676630377027,0.8459676630377027,False,k_marginal_tvd
csuite_mixed_confounding,20,0.0028712121212121,0.0013181818181816,0.004431818181818,5.803222450995381e-06,2.9016112254976905e-05,True,k_marginal_tvd
csuite_mixed_confounding,50,0.002092803030303,0.0008598484848485,0.0032499999999999,6.275274558501037e-05,0.000188258236755,True,k_marginal_tvd
csuite_mixed_confounding,100,0.0004772727272727,-0.0004507575757577,0.0014886363636363,0.2757356210934105,0.2757356210934105,False,k_marginal_tvd
csuite_mixed_confounding,200,0.0017897727272727,0.0007916666666666,0.0028181818181818,0.0001066281592248,0.0002132563184496,True,k_marginal_tvd
csuite_mixed_confounding,500,-0.0004829545454545,-0.0011742424242423,0.0002689393939394,0.1333984146030606,0.2667968292061213,False,k_marginal_tvd
csuite_mixed_simpson,20,0.0006666666666667,-0.0002083333333333,0.0017083333333333,0.0550343284758734,0.1651029854276204,False,k_marginal_tvd
csuite_mixed_simpson,50,0.0010833333333333,0.0002083333333333,0.0019583333333333,0.0011156305054208,0.0066937830325248,True,k_marginal_tvd
csuite_mixed_simpson,100,0.000125,-0.0006666666666666,0.0009166666666666,0.7103749785990938,0.7103749785990938,False,k_marginal_tvd
csuite_mixed_simpson,200,-4.16666666666482e-05,-0.0008333333333332,0.0007499999999999,0.9069340788232992,0.9069340788232992,False,k_marginal_tvd
csuite_mixed_simpson,500,-0.000125,-0.0009583333333333,0.0006666666666667,0.7478378109866013,0.9725226838859125,False,k_marginal_tvd
csuite_nonlin_simpson,20,0.0005833333333333,-0.0003749999999999,0.0016249999999999,0.1637561106210894,0.3275122212421788,False,k_marginal_tvd
csuite_nonlin_simpson,50,0.0006666666666666,-0.0002083333333332,0.0015416666666665,0.0702493651306749,0.1404987302613498,False,k_marginal_tvd
csuite_nonlin_simpson,100,0.0,-0.0007916666666666,0.0008333333333333,0.9862831056433976,0.9862831056433976,False,k_marginal_tvd
csuite_nonlin_simpson,200,0.0002916666666666,-0.0004583333333333,0.0010416666666666,0.3532112274048211,0.3777017114395606,False,k_marginal_tvd
csuite_nonlin_simpson,500,0.0006666666666666,-0.0002083333333332,0.0014583333333333,0.0827952743908244,0.1655905487816489,False,k_marginal_tvd
csuite_symprod_simpson,20,-0.0033333333333333,-0.0048333333333333,-0.0018333333333332,4.4124099410759626e-05,4.4124099410759626e-05,True,k_marginal_tvd
csuite_symprod_simpson,50,-0.0019166666666666,-0.0032916666666666,-0.0005,0.0095755046129037,0.0095755046129037,True,k_marginal_tvd
csuite_symprod_simpson,100,0.0010416666666666,-0.0001666666666666,0.0021666666666667,0.0877949293445275,0.0877949293445275,False,k_marginal_tvd
csuite_symprod_simpson,200,-0.0004583333333333,-0.0015833333333332,0.0006249999999999,0.3976393374043041,0.3976393374043041,False,k_marginal_tvd
csuite_symprod_simpson,500,0.000625,-0.00075,0.002,0.2396243634645868,0.5389411888340204,False,k_marginal_tvd
csuite_weak_arrows,20,0.0016805555555555,0.0003055555555555,0.0030972222222222,0.0016354048570861,0.0081770242854305,True,k_marginal_tvd
csuite_weak_arrows,50,0.0008576388888889,6.944444444406672e-06,0.0017638888888889,0.0091536985710845,0.0457684928554226,True,k_marginal_tvd
csuite_weak_arrows,100,0.0008854166666666,5.555555555555869e-05,0.0018263888888889,0.0065677478117592,0.0328387390587961,True,k_marginal_tvd
csuite_weak_arrows,200,0.0007569444444444,0.000125,0.0013819444444444,0.0018819863475116,0.0094099317375581,True,k_marginal_tvd
csuite_weak_arrows,500,0.00075,-0.0001458333333333,0.0015763888888888,0.0285084463454897,0.1425422317274489,False,k_marginal_tvd
custom_scm,20,0.0035416666666666,0.0002916666666666,0.0068749999999999,0.008573339210177,0.025720017630531,True,k_marginal_tvd
custom_scm,50,0.0020416666666666,4.166666666663432e-05,0.0042916666666667,0.0162433424810453,0.048730027443136,True,k_marginal_tvd
custom_scm,100,0.0017083333333332,-0.0008333333333333,0.0041666666666665,0.1234650360719386,0.2498250121536193,False,k_marginal_tvd
custom_scm,200,0.0002916666666666,-0.0016666666666666,0.002375,0.7595939280124668,1.0,False,k_marginal_tvd
custom_scm,500,0.0015833333333333,-0.0008333333333332,0.0039166666666667,0.1053482027933624,0.3160446083800873,False,k_marginal_tvd
