dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,is_significant,metric
csuite_large_backdoor,20,0.014125,0.0095,0.018625,8.679359018628427e-12,4.3396795093142125e-11,True,nnaa
csuite_large_backdoor,50,0.0111249999999999,0.007125,0.0151249999999999,7.356416081481582e-10,3.678208040740791e-09,True,nnaa
csuite_large_backdoor,100,0.00675,0.0035,0.009875,1.0655635103955945e-06,4.262254041582378e-06,True,nnaa
csuite_large_backdoor,200,0.0038749999999999,0.0005,0.0072499999999999,0.0041355514929127,0.0165422059716509,True,nnaa
csuite_large_backdoor,500,0.0001875,-0.0027499999999999,0.003375,0.9069338049981666,0.9069338049981666,False,nnaa
csuite_mixed_confounding,20,0.034625,0.03,0.04,4.3948886115785185e-18,2.6369331669471108e-17,True,nnaa
csuite_mixed_confounding,50,0.019375,0.015875,0.023,1.0094285778652504e-16,4.0377143114610016e-16,True,nnaa
csuite_mixed_confounding,100,0.0086249999999999,0.005125,0.011875,6.413005038735808e-08,1.9239015116207426e-07,True,nnaa
csuite_mixed_confounding,200,0.005625,0.0031250000000001,0.0082499999999999,1.8509191982435987e-06,3.7018383964871975e-06,True,nnaa
csuite_mixed_confounding,500,0.0024999999999999,-0.0003749999999999,0.005375,0.0496034725360317,0.0992069450720635,False,nnaa
csuite_mixed_simpson,20,0.0024999999999999,-0.00075,0.0055000000000001,0.0616544921844187,0.1849634765532563,False,nnaa
csuite_mixed_simpson,50,0.0007499999999999,-0.0026249999999999,0.003875,0.6072217613573443,1.0,False,nnaa
csuite_mixed_simpson,100,0.0007499999999999,-0.0018749999999999,0.003375,0.5025377812608733,0.9574995694947246,False,nnaa
csuite_mixed_simpson,200,0.0025,-0.0003749999999999,0.005375,0.0316334662380571,0.0949003987141715,False,nnaa
csuite_mixed_simpson,500,0.0036249999999999,0.000875,0.0064999999999999,0.0014963807994261,0.0059855231977044,True,nnaa
csuite_nonlin_simpson,20,0.003,0.0002499999999999,0.0058749999999999,0.0110539191746327,0.0331617575238982,True,nnaa
csuite_nonlin_simpson,50,-0.0001249999999999,-0.0026249999999999,0.0021249999999999,0.9082935719130212,1.0,False,nnaa
csuite_nonlin_simpson,100,0.001375,-0.00075,0.0034999999999999,0.1448697903066251,0.2897395806132503,False,nnaa
csuite_nonlin_simpson,200,0.0006249999999999,-0.0016249999999999,0.0028749999999999,0.5798609166383819,1.0,False,nnaa
csuite_nonlin_simpson,500,-0.0011249999999999,-0.0032499999999999,0.0012499999999999,0.2872441302924843,0.5744882605849686,False,nnaa
csuite_symprod_simpson,20,-0.0002499999999999,-0.004,0.0032499999999999,0.8729705017750835,1.0,False,nnaa
csuite_symprod_simpson,50,0.001,-0.00175,0.0041249999999999,0.3778025059424746,0.8431758310615142,False,nnaa
csuite_symprod_simpson,100,0.0010000000000001,-0.0023749999999999,0.0042499999999999,0.4639386638085745,0.6346210157258283,False,nnaa
csuite_symprod_simpson,200,0.001125,-0.00275,0.00525,0.4618399159501324,1.0,False,nnaa
csuite_symprod_simpson,500,0.001,-0.0026249999999999,0.0044999999999999,0.4220549014660869,1.0,False,nnaa
csuite_weak_arrows,20,0.0147499999999999,0.0108749999999999,0.01875,1.3580243808850276e-14,6.790121904425138e-14,True,nnaa
csuite_weak_arrows,50,0.00625,0.0035,0.0093749999999999,4.086800998483511e-07,1.6347203993934044e-06,True,nnaa
csuite_weak_arrows,100,0.0073749999999999,0.0043749999999999,0.010375,1.013199943879734e-07,5.06599971939867e-07,True,nnaa
csuite_weak_arrows,200,0.00275,0.000125,0.0057499999999999,0.0182515712015909,0.0365031424031818,True,nnaa
csuite_weak_arrows,500,0.0017499999999999,-0.0012499999999999,0.004875,0.1230412452764954,0.3691237358294862,False,nnaa
custom_scm,20,-0.004875,-0.0081249999999999,-0.001625,0.0012663912440417,0.0025327824880834,True,nnaa
custom_scm,50,0.0017499999999999,-0.0017499999999999,0.0051249999999999,0.1954740697654272,0.3909481395308545,False,nnaa
custom_scm,100,0.0007499999999999,-0.0024999999999999,0.00375,0.5623397292353105,0.5623397292353105,False,nnaa
custom_scm,200,0.000125,-0.0033749999999999,0.0034999999999999,0.9602368137315554,1.0,False,nnaa
custom_scm,500,0.0005,-0.0026249999999999,0.0038749999999999,0.6698419867238805,0.9703627026662752,False,nnaa
