dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,is_significant,metric
csuite_large_backdoor,20,0.1038497848057635,0.0445359879866659,0.1603390157502613,1.9213684786277983e-05,7.685473914511193e-05,True,correlation_matrix_difference
csuite_large_backdoor,50,0.1031087621374271,0.0634261194782463,0.1481167494828404,4.4702031274545934e-09,2.235101563727296e-08,True,correlation_matrix_difference
csuite_large_backdoor,100,0.0668709326275008,0.0363679365621798,0.0978875687307614,2.502858663696827e-07,1.2514293318484134e-06,True,correlation_matrix_difference
csuite_large_backdoor,200,0.0235487811866084,-0.0004942525416221,0.0467833204882483,0.0150615510589801,0.0602462042359205,False,correlation_matrix_difference
csuite_large_backdoor,500,0.0149893222432954,-0.0053390360950842,0.0342550361860405,0.0581564215456164,0.2907821077280823,False,correlation_matrix_difference
csuite_mixed_confounding,20,0.1224340470845254,0.0907053818490414,0.1548482269966231,1.237033592256768e-14,7.422201553540609e-14,True,correlation_matrix_difference
csuite_mixed_confounding,50,0.0945107792725825,0.0696103369497823,0.1209257746515382,9.518928078849149e-14,3.8075712315396596e-13,True,correlation_matrix_difference
csuite_mixed_confounding,100,0.0500096309344715,0.0329177354966018,0.0677178444353473,2.9955051713902096e-10,8.986515514170627e-10,True,correlation_matrix_difference
csuite_mixed_confounding,200,0.0469083358894065,0.0310387166227725,0.062453242895114,9.96915585881586e-10,2.9907467576447573e-09,True,correlation_matrix_difference
csuite_mixed_confounding,500,0.0286975061248504,0.0142147285847873,0.042743867460335,2.275203620036337e-05,4.550407240072674e-05,True,correlation_matrix_difference
csuite_mixed_simpson,20,-0.0001739406304298,-0.0014438120920684,0.0012279783604853,0.7491470801654898,1.0,False,correlation_matrix_difference
csuite_mixed_simpson,50,0.000107428580245,-0.0009962659868651,0.0011448039313661,0.8285088118253296,1.0,False,correlation_matrix_difference
csuite_mixed_simpson,100,-0.0005091271327047,-0.0012882792040993,0.0002573713024419,0.1090982647047737,0.2181965294095474,False,correlation_matrix_difference
csuite_mixed_simpson,200,-0.0004522609734674,-0.0014273087893718,0.0004783239602774,0.1996689993792622,0.7986759975170488,False,correlation_matrix_difference
csuite_mixed_simpson,500,0.0002739520140003,-0.0005189406449369,0.0010483425587601,0.3479039590114893,0.6958079180229786,False,correlation_matrix_difference
csuite_nonlin_simpson,20,0.0017857081113938,-0.0117137942653525,0.0159750154290062,0.7258065723197727,1.0,False,correlation_matrix_difference
csuite_nonlin_simpson,50,0.0159327294795001,0.0060671189586876,0.0276808932726432,1.7784676062110182e-05,0.0001067080563726,True,correlation_matrix_difference
csuite_nonlin_simpson,100,0.0084728861777943,3.721178037544709e-05,0.0180230145996317,0.0124311791306546,0.0497247165226185,True,correlation_matrix_difference
csuite_nonlin_simpson,200,0.0052542707622473,0.0002249698902933,0.0107280526144693,0.0081086930420647,0.0441232413545978,True,correlation_matrix_difference
csuite_nonlin_simpson,500,0.0002971196167154,-0.0033648500613766,0.0053348572347551,0.8204786096104631,1.0,False,correlation_matrix_difference
csuite_symprod_simpson,20,0.0014960629426081,-0.0127679132863601,0.0149639543265057,0.8018158769149264,1.0,False,correlation_matrix_difference
csuite_symprod_simpson,50,0.0038056466046017,-0.0128045511504502,0.0218746505460371,0.5025560930996884,1.0,False,correlation_matrix_difference
csuite_symprod_simpson,100,0.0039652176646917,-0.0089171393286482,0.016356133730229,0.4092592100268002,1.0,False,correlation_matrix_difference
csuite_symprod_simpson,200,0.0152852823036017,0.0031347716276379,0.0278326518883713,0.0012291614999567,0.0073749689997402,True,correlation_matrix_difference
csuite_symprod_simpson,500,0.0001095472507493,-0.0129414094707422,0.0128876130511355,0.9807981497441512,1.0,False,correlation_matrix_difference
csuite_weak_arrows,20,0.1495743767029009,0.092040999827719,0.2129950146049776,2.9297813115028217e-10,1.464890655751411e-09,True,correlation_matrix_difference
csuite_weak_arrows,50,0.1051463176797366,0.0718335668476118,0.1420511740226737,1.5583405211656373e-12,7.791702605828186e-12,True,correlation_matrix_difference
csuite_weak_arrows,100,0.0709293694716567,0.0432719175532055,0.1005724707019044,1.8141414973495863e-09,9.070707486747931e-09,True,correlation_matrix_difference
csuite_weak_arrows,200,0.0522302916686898,0.0298571371900056,0.0740534656103982,1.4355718709886546e-07,7.177859354943272e-07,True,correlation_matrix_difference
csuite_weak_arrows,500,0.0287729318507079,0.01044638422455,0.0467429225844749,9.386095694675812e-05,0.000375443827787,True,correlation_matrix_difference
custom_scm,20,0.0534999308093069,0.0288528031362465,0.0884247403064605,8.80282944882976e-09,2.6408488346489283e-08,True,correlation_matrix_difference
custom_scm,50,0.0210251754118639,0.0060994870007633,0.0428697609609076,0.0004709164279142,0.0014127492837426,True,correlation_matrix_difference
custom_scm,100,0.0288939934737093,0.0123074766840586,0.0502600959017537,2.773386348242798e-05,8.320159044728394e-05,True,correlation_matrix_difference
custom_scm,200,0.0126862104836962,-0.0022737362993706,0.0291398040428289,0.0461270988220496,0.1383812964661489,False,correlation_matrix_difference
custom_scm,500,0.0059099279837888,-0.00551247226196,0.0168021513001,0.179937761942884,0.359875523885768,False,correlation_matrix_difference
