dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,comparison,is_significant
custom_scm_noise1e-2,20,0.346922976205163,0.2524491895130042,0.4461500675851442,1.0706319350413216e-16,4.2825277401652864e-16,correlation_matrix_difference,vanilla_vs_dag,True
custom_scm_noise1e-2,50,0.1556918695177914,0.1014279372804594,0.2017178797165214,1.6186995407842902e-14,8.093497703921452e-14,correlation_matrix_difference,vanilla_vs_dag,True
custom_scm_noise1e-2,100,0.1139959378062752,0.0773140909496148,0.1621277057909995,2.814170653070426e-13,1.407085326535213e-12,correlation_matrix_difference,vanilla_vs_dag,True
custom_scm_noise1e-2,200,0.0826769147956787,0.049454457148743,0.1208434371730369,1.9613216304159296e-10,9.80660815207965e-10,correlation_matrix_difference,vanilla_vs_dag,True
custom_scm_noise1e-2,500,0.0434060958032178,0.0251872590636022,0.0630100694421877,7.789675866010679e-09,3.894837933005339e-08,correlation_matrix_difference,vanilla_vs_dag,True
custom_scm_noise1e-2,20,0.3456554102245113,0.2491663402490941,0.4475097014004169,7.343095847008848e-17,3.671547923504424e-16,correlation_matrix_difference,vanilla_vs_cpdag_minimal,True
custom_scm_noise1e-2,50,0.1536866161596224,0.1016512000340126,0.1989683448222501,2.912818606597037e-14,1.1651274426388148e-13,correlation_matrix_difference,vanilla_vs_cpdag_minimal,True
custom_scm_noise1e-2,100,0.1139628463627199,0.0783606797937227,0.1600952108679033,2.961730635123635e-13,1.407085326535213e-12,correlation_matrix_difference,vanilla_vs_cpdag_minimal,True
custom_scm_noise1e-2,200,0.0820669987315529,0.0500039151119672,0.1192900828716835,2.7409459310412047e-10,1.096378372416482e-09,correlation_matrix_difference,vanilla_vs_cpdag_minimal,True
custom_scm_noise1e-2,500,0.043656081989999,0.0258754184766078,0.0625002460310307,9.548258851052976e-09,3.894837933005339e-08,correlation_matrix_difference,vanilla_vs_cpdag_minimal,True
