dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,comparison,is_significant
custom_scm_noise1e-2,20,0.0095,0.005125,0.0142499999999999,2.0157518557588685e-06,8.063007423035474e-06,nnaa,vanilla_vs_dag,True
custom_scm_noise1e-2,50,0.0051249999999999,0.00125,0.0083750000000001,0.0006515734210159,0.0032578671050795,nnaa,vanilla_vs_dag,True
custom_scm_noise1e-2,100,0.002375,-0.0017499999999999,0.0065,0.0940340595435423,0.4701702977177116,nnaa,vanilla_vs_dag,False
custom_scm_noise1e-2,200,0.0024999999999999,-0.0006249999999999,0.0056249999999999,0.0464952338372278,0.2324761691861393,nnaa,vanilla_vs_dag,False
custom_scm_noise1e-2,500,0.001,-0.002125,0.0042499999999999,0.455585393053996,1.0,nnaa,vanilla_vs_dag,False
custom_scm_noise1e-2,20,0.01,0.00575,0.01475,2.1792503866000597e-07,1.0896251933000298e-06,nnaa,vanilla_vs_cpdag_minimal,True
custom_scm_noise1e-2,50,0.0052499999999999,0.0016249999999999,0.0088749999999999,0.0003288972204395,0.0019733833226373,nnaa,vanilla_vs_cpdag_minimal,True
custom_scm_noise1e-2,100,0.0023125,-0.00175,0.0066249999999999,0.1125518817879153,0.4701702977177116,nnaa,vanilla_vs_cpdag_minimal,False
custom_scm_noise1e-2,200,0.0017499999999999,-0.0018749999999999,0.0052499999999999,0.1972599162887001,0.5917797488661003,nnaa,vanilla_vs_cpdag_minimal,False
custom_scm_noise1e-2,500,0.001375,-0.002125,0.0049999999999999,0.302293312610799,1.0,nnaa,vanilla_vs_cpdag_minimal,False
