dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,comparison,is_significant
custom_scm_noise1e-2,20,0.2716450667931392,0.1995229376521292,0.3280666734454598,2.8782421504419467e-17,1.726945290265168e-16,correlation_matrix_difference,original_vs_topological,True
custom_scm_noise1e-2,50,0.1200328397208642,0.0888177818064405,0.152786115996205,8.820960641579043e-16,5.292576384947426e-15,correlation_matrix_difference,original_vs_topological,True
custom_scm_noise1e-2,100,0.0864543666212254,0.061117836329681,0.1100557769132113,1.5185669321220038e-13,9.111401592732023e-13,correlation_matrix_difference,original_vs_topological,True
custom_scm_noise1e-2,200,0.0719985062185537,0.0528076842909893,0.0907958082666425,2.1729294370652983e-14,1.3037576622391792e-13,correlation_matrix_difference,original_vs_topological,True
custom_scm_noise1e-2,500,0.0420248427380393,0.0275910725427695,0.0563385654010762,8.579921301659199e-12,5.147952780995519e-11,correlation_matrix_difference,original_vs_topological,True
custom_scm_noise1e-2,20,-0.0213779246371955,-0.0725077433996303,0.0293812578379831,0.3461409289190746,0.3461409289190746,correlation_matrix_difference,original_vs_worst,False
custom_scm_noise1e-2,50,-0.0228569771213374,-0.0446958857301383,-0.0017180504467939,0.0344666316769785,0.0344666316769785,correlation_matrix_difference,original_vs_worst,True
custom_scm_noise1e-2,100,-0.0009587181143863,-0.0210123164362014,0.020489609677227,0.9151157833041156,0.9151157833041156,correlation_matrix_difference,original_vs_worst,False
custom_scm_noise1e-2,200,-0.0095933195852734,-0.0255139424771529,0.0062007044889443,0.1766116278456737,0.1766116278456737,correlation_matrix_difference,original_vs_worst,False
custom_scm_noise1e-2,500,-0.0117781407810922,-0.0260847686565092,0.0010507857268506,0.0407757290154926,0.0815514580309853,correlation_matrix_difference,original_vs_worst,False
