dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,comparison,is_significant
custom_scm_noise1e-2,20,0.013875,0.009375,0.0182499999999999,1.9933136530745535e-11,1.1959881918447322e-10,nnaa,original_vs_topological,True
custom_scm_noise1e-2,50,0.004,0.0009999999999998,0.0071249999999999,0.0011997166552365,0.0047988666209463,nnaa,original_vs_topological,True
custom_scm_noise1e-2,100,0.00175,-0.0016249999999999,0.0051249999999999,0.1717010577675036,0.4701702977177116,nnaa,original_vs_topological,False
custom_scm_noise1e-2,200,0.0005,-0.0018749999999999,0.0029999999999999,0.5952508249420831,0.7046437500633926,nnaa,original_vs_topological,False
custom_scm_noise1e-2,500,0.000125,-0.0025,0.003,0.8906059007945305,1.0,nnaa,original_vs_topological,False
custom_scm_noise1e-2,20,0.0074999999999999,0.0035,0.0117499999999999,2.4735236159299645e-05,7.420570847789893e-05,nnaa,original_vs_worst,True
custom_scm_noise1e-2,50,0.0028749999999999,-0.0002499999999999,0.0061249999999999,0.041276898368546,0.0825537967370921,nnaa,original_vs_worst,False
custom_scm_noise1e-2,100,0.002,-0.0015,0.00575,0.1472592106268836,0.4701702977177116,nnaa,original_vs_worst,False
custom_scm_noise1e-2,200,0.0011249999999999,-0.0021249999999999,0.0043749999999999,0.3523218750316963,0.7046437500633926,nnaa,original_vs_worst,False
custom_scm_noise1e-2,500,-0.00025,-0.0034999999999999,0.0029999999999999,0.7965007827629699,1.0,nnaa,original_vs_worst,False
