dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,is_significant
custom_scm_noise1e-2,20,0.346922976205163,0.2524491895130042,0.4461500675851442,1.0706319350413216e-16,4.2825277401652864e-16,correlation_matrix_difference,True
custom_scm_noise1e-2,50,0.1556918695177914,0.1014279372804594,0.2017178797165214,1.6186995407842902e-14,8.093497703921452e-14,correlation_matrix_difference,True
custom_scm_noise1e-2,100,0.1139959378062752,0.0773140909496148,0.1621277057909995,2.814170653070426e-13,1.407085326535213e-12,correlation_matrix_difference,True
custom_scm_noise1e-2,200,0.0826769147956787,0.049454457148743,0.1208434371730369,1.9613216304159296e-10,9.80660815207965e-10,correlation_matrix_difference,True
custom_scm_noise1e-2,500,0.0434060958032178,0.0251872590636022,0.0630100694421877,7.789675866010679e-09,3.894837933005339e-08,correlation_matrix_difference,True
custom_scm_noise1e-2,20,0.0174166666666666,0.0110416666666666,0.0235833333333333,2.038204743774057e-09,8.152818975096231e-09,k_marginal_tvd,True
custom_scm_noise1e-2,50,0.0069583333333334,0.0039583333333333,0.0102499999999999,8.38410289924689e-08,3.353641159698756e-07,k_marginal_tvd,True
custom_scm_noise1e-2,100,0.0032083333333332,0.0002916666666666,0.0060833333333332,0.0058544219842768,0.0234176879371073,k_marginal_tvd,True
custom_scm_noise1e-2,200,0.0036666666666666,0.001375,0.0057916666666667,0.0001410507671173,0.0005642030684692,k_marginal_tvd,True
custom_scm_noise1e-2,500,0.0026666666666666,4.166666666670371e-05,0.0050416666666667,0.0150596845486261,0.0451790536458785,k_marginal_tvd,True
