dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,is_significant
custom_scm_noise1e-2,20,0.2716450667931392,0.1995229376521292,0.3280666734454598,2.8782421504419467e-17,1.726945290265168e-16,correlation_matrix_difference,True
custom_scm_noise1e-2,50,0.1200328397208642,0.0888177818064405,0.152786115996205,8.820960641579043e-16,5.292576384947426e-15,correlation_matrix_difference,True
custom_scm_noise1e-2,100,0.0864543666212254,0.061117836329681,0.1100557769132113,1.5185669321220038e-13,9.111401592732023e-13,correlation_matrix_difference,True
custom_scm_noise1e-2,200,0.0719985062185537,0.0528076842909893,0.0907958082666425,2.1729294370652983e-14,1.3037576622391792e-13,correlation_matrix_difference,True
custom_scm_noise1e-2,500,0.0420248427380393,0.0275910725427695,0.0563385654010762,8.579921301659199e-12,5.147952780995519e-11,correlation_matrix_difference,True
custom_scm_noise1e-2,20,0.0135833333333333,0.0087499999999999,0.0183749999999999,3.4587768597169436e-10,2.075266115830166e-09,k_marginal_tvd,True
custom_scm_noise1e-2,50,0.0053333333333333,0.0029583333333332,0.0079999999999999,4.5338937000006065e-08,2.720336220000364e-07,k_marginal_tvd,True
custom_scm_noise1e-2,100,0.0022499999999999,0.000625,0.0039583333333333,0.0003559885600719,0.0021359313604318,k_marginal_tvd,True
custom_scm_noise1e-2,200,0.0026666666666667,0.0010833333333333,0.0042916666666666,2.0428346669691443e-05,0.0001225700800181,k_marginal_tvd,True
custom_scm_noise1e-2,500,0.0014166666666666,0.000125,0.0026666666666666,0.0059464661767898,0.0237858647071594,k_marginal_tvd,True
