dataset,label,train_size,skeleton_recall,direction_recall,oriented_fraction,direction_precision,runs,runs_with_directed
custom_scm,CSM,20,0.66,0.0,0.020202020202020204,0.0,100,2
custom_scm,CSM,50,0.6833333333333332,0.0,0.04878048780487806,0.0,100,5
custom_scm,CSM,100,0.6766666666666665,0.0,0.02926829268292683,0.0,100,3
custom_scm,CSM,200,0.6866666666666665,0.0,0.058252427184466014,0.0,100,6
custom_scm,CSM,500,0.68,0.0,0.02926829268292683,0.0,100,3
csuite_large_backdoor,CLB,20,0.08,0.0,0.010989010989010988,0.0,100,1
csuite_large_backdoor,CLB,50,0.1144444444444444,0.0,0.04838709677419355,0.0,100,10
csuite_large_backdoor,CLB,100,0.1144444444444444,0.0011111111111111,0.11185308848080133,0.0172413793103448,100,29
csuite_large_backdoor,CLB,200,0.1177777777777777,0.0011111111111111,0.18104667609618105,0.005,100,50
csuite_large_backdoor,CLB,500,0.1133333333333333,0.0022222222222222,0.1921296296296296,0.0092592592592592,100,63
csuite_mixed_confounding,CMC,20,0.078,0.012,0.14563106796116504,0.6,100,15
csuite_mixed_confounding,CMC,50,0.19,0.0653333333333333,0.4168734491315136,0.6267759562841531,100,61
csuite_mixed_confounding,CMC,100,0.284,0.07,0.5555555555555556,0.3120868347338935,100,85
csuite_mixed_confounding,CMC,200,0.3379999999999999,0.09,0.7156462585034014,0.2478317787596138,100,97
csuite_mixed_confounding,CMC,500,0.3966666666666667,0.114,0.8628731343283581,0.1896979131979131,100,100
csuite_mixed_simpson,CMS,20,0.33,0.0025,0.013986013986013988,0.5,100,1
csuite_mixed_simpson,CMS,50,0.56,0.01,0.02564102564102564,0.75,100,2
csuite_mixed_simpson,CMS,100,0.59,0.0625,0.1264822134387352,0.8095238095238095,100,14
csuite_mixed_simpson,CMS,200,0.6675,0.145,0.24647887323943662,0.8908045977011494,100,29
csuite_mixed_simpson,CMS,500,0.805,0.32,0.5216284987277353,0.671875,100,64
csuite_nonlin_simpson,CNS,20,0.24,0.0,0.0,,100,0
csuite_nonlin_simpson,CNS,50,0.2575,0.0,0.02803738317757009,0.0,100,3
csuite_nonlin_simpson,CNS,100,0.275,0.0025,0.05533596837944665,0.0416666666666666,100,6
csuite_nonlin_simpson,CNS,200,0.2875,0.0,0.06968641114982578,0.0,100,10
csuite_nonlin_simpson,CNS,500,0.4425,0.0,0.0,,100,0
csuite_symprod_simpson,CSS,20,0.1625,0.0,0.0,,100,0
csuite_symprod_simpson,CSS,50,0.295,0.0,0.04054054054054054,0.0,100,3
csuite_symprod_simpson,CSS,100,0.3125,0.0,0.010309278350515464,0.0,100,1
csuite_symprod_simpson,CSS,200,0.3325,0.0,0.0,,100,0
csuite_symprod_simpson,CSS,500,0.5625,0.0175,0.04848484848484849,0.4,100,5
csuite_weak_arrows,CWA,20,0.0466666666666666,0.0,0.0,,100,0
csuite_weak_arrows,CWA,50,0.2386666666666666,0.0126666666666666,0.10265486725663715,0.3429487179487179,100,26
csuite_weak_arrows,CWA,100,0.3253333333333333,0.012,0.05972222222222222,0.430392156862745,100,17
csuite_weak_arrows,CWA,200,0.3766666666666666,0.0213333333333333,0.12192118226600986,0.3484593837535014,100,34
csuite_weak_arrows,CWA,500,0.4039999999999999,0.0673333333333333,0.23490669593852911,0.4799674890036336,100,83
