dataset,label,train_size,skeleton_recall_published,direction_recall_published,oriented_fraction_published,direction_precision_published,runs_published,runs_with_directed_published,skeleton_recall_new,direction_recall_new,oriented_fraction_new,direction_precision_new,runs_new,runs_with_directed_new,skeleton_recall_delta,skeleton_recall_published_2dp,skeleton_recall_new_2dp,skeleton_recall_changed_2dp,direction_recall_delta,direction_recall_published_2dp,direction_recall_new_2dp,direction_recall_changed_2dp,oriented_fraction_delta,oriented_fraction_published_2dp,oriented_fraction_new_2dp,oriented_fraction_changed_2dp,direction_precision_delta,direction_precision_published_2dp,direction_precision_new_2dp,direction_precision_changed_2dp
custom_scm,CSM,20,0.66,0.0,0.020202020202020204,0.0,100,2,0.66,0.0,0.020202020202020204,0.0,100,2,0.0,0.66,0.66,False,0.0,0.0,0.0,False,0.0,0.02,0.02,False,0.0,0.0,0.0,False
custom_scm,CSM,50,0.6833333333333332,0.0,0.04878048780487806,0.0,100,5,0.6833333333333332,0.0,0.04878048780487806,0.0,100,5,0.0,0.68,0.68,False,0.0,0.0,0.0,False,0.0,0.05,0.05,False,0.0,0.0,0.0,False
custom_scm,CSM,100,0.6766666666666665,0.0,0.02926829268292683,0.0,100,3,0.6766666666666665,0.0,0.02926829268292683,0.0,100,3,0.0,0.68,0.68,False,0.0,0.0,0.0,False,0.0,0.03,0.03,False,0.0,0.0,0.0,False
custom_scm,CSM,200,0.6866666666666665,0.0,0.058252427184466014,0.0,100,6,0.6866666666666665,0.0,0.058252427184466014,0.0,100,6,0.0,0.69,0.69,False,0.0,0.0,0.0,False,0.0,0.06,0.06,False,0.0,0.0,0.0,False
custom_scm,CSM,500,0.68,0.0,0.02926829268292683,0.0,100,3,0.68,0.0,0.02926829268292683,0.0,100,3,0.0,0.68,0.68,False,0.0,0.0,0.0,False,0.0,0.03,0.03,False,0.0,0.0,0.0,False
csuite_large_backdoor,CLB,20,0.08,0.0,0.010989010989010988,0.0,100,1,0.08,0.0,0.010989010989010988,0.0,100,1,0.0,0.08,0.08,False,0.0,0.0,0.0,False,0.0,0.01,0.01,False,0.0,0.0,0.0,False
csuite_large_backdoor,CLB,50,0.1144444444444444,0.0,0.04838709677419355,0.0,100,10,0.1144444444444444,0.0,0.04838709677419355,0.0,100,10,0.0,0.11,0.11,False,0.0,0.0,0.0,False,0.0,0.05,0.05,False,0.0,0.0,0.0,False
csuite_large_backdoor,CLB,100,0.1144444444444444,0.0011111111111111,0.11185308848080133,0.0172413793103448,100,29,0.1144444444444444,0.0011111111111111,0.11185308848080133,0.0172413793103448,100,29,0.0,0.11,0.11,False,0.0,0.0,0.0,False,0.0,0.11,0.11,False,0.0,0.02,0.02,False
csuite_large_backdoor,CLB,200,0.1177777777777777,0.0011111111111111,0.18104667609618105,0.005,100,50,0.1177777777777777,0.0011111111111111,0.18104667609618105,0.005,100,50,0.0,0.12,0.12,False,0.0,0.0,0.0,False,0.0,0.18,0.18,False,0.0,0.0,0.0,False
csuite_large_backdoor,CLB,500,0.1133333333333333,0.0022222222222222,0.1921296296296296,0.0092592592592592,100,63,0.1133333333333333,0.0022222222222222,0.1921296296296296,0.0092592592592592,100,63,0.0,0.11,0.11,False,0.0,0.0,0.0,False,0.0,0.19,0.19,False,0.0,0.01,0.01,False
csuite_mixed_confounding,CMC,20,0.078,0.012,0.14563106796116504,0.6,100,15,0.078,0.012,0.14563106796116504,0.6,100,15,0.0,0.08,0.08,False,0.0,0.01,0.01,False,0.0,0.15,0.15,False,0.0,0.6,0.6,False
csuite_mixed_confounding,CMC,50,0.19,0.066,0.4168734491315136,0.6322404371584699,100,61,0.19,0.0653333333333333,0.4168734491315136,0.6267759562841531,100,61,0.0,0.19,0.19,False,-0.0006666666666667043,0.07,0.07,False,0.0,0.42,0.42,False,-0.005464480874316835,0.63,0.63,False
csuite_mixed_confounding,CMC,100,0.284,0.07,0.5555555555555556,0.3120868347338935,100,85,0.284,0.07,0.5555555555555556,0.3120868347338935,100,85,0.0,0.28,0.28,False,0.0,0.07,0.07,False,0.0,0.56,0.56,False,0.0,0.31,0.31,False
csuite_mixed_confounding,CMC,200,0.3379999999999999,0.0893333333333333,0.7156462585034014,0.2461135657011945,100,97,0.3379999999999999,0.09,0.7156462585034014,0.2478317787596138,100,97,0.0,0.34,0.34,False,0.0006666666666666904,0.09,0.09,False,0.0,0.72,0.72,False,0.0017182130584192934,0.25,0.25,False
csuite_mixed_confounding,CMC,500,0.3966666666666667,0.1146666666666666,0.8628731343283581,0.1911264846264846,100,100,0.3966666666666667,0.114,0.8628731343283581,0.1896979131979131,100,100,0.0,0.4,0.4,False,-0.0006666666666665932,0.11,0.11,False,0.0,0.86,0.86,False,-0.0014285714285715012,0.19,0.19,False
csuite_mixed_simpson,CMS,20,0.33,0.0025,0.013986013986013988,0.5,100,1,0.33,0.0025,0.013986013986013988,0.5,100,1,0.0,0.33,0.33,False,0.0,0.0,0.0,False,0.0,0.01,0.01,False,0.0,0.5,0.5,False
csuite_mixed_simpson,CMS,50,0.56,0.01,0.02564102564102564,0.75,100,2,0.56,0.01,0.02564102564102564,0.75,100,2,0.0,0.56,0.56,False,0.0,0.01,0.01,False,0.0,0.03,0.03,False,0.0,0.75,0.75,False
csuite_mixed_simpson,CMS,100,0.59,0.0625,0.1264822134387352,0.8095238095238095,100,14,0.59,0.0625,0.1264822134387352,0.8095238095238095,100,14,0.0,0.59,0.59,False,0.0,0.06,0.06,False,0.0,0.13,0.13,False,0.0,0.81,0.81,False
csuite_mixed_simpson,CMS,200,0.6675,0.145,0.24647887323943662,0.8908045977011494,100,29,0.6675,0.145,0.24647887323943662,0.8908045977011494,100,29,0.0,0.67,0.67,False,0.0,0.14,0.14,False,0.0,0.25,0.25,False,0.0,0.89,0.89,False
csuite_mixed_simpson,CMS,500,0.805,0.32,0.5216284987277353,0.671875,100,64,0.805,0.32,0.5216284987277353,0.671875,100,64,0.0,0.8,0.8,False,0.0,0.32,0.32,False,0.0,0.52,0.52,False,0.0,0.67,0.67,False
