dataset,source,train_size,noise_level,skeleton_recall_mean,skeleton_recall_std,skeleton_precision_mean,skeleton_precision_std,skeleton_shd_mean,skeleton_shd_std,direction_precision_mean,direction_precision_std,direction_recall_mean,direction_recall_std,v_structure_precision_mean,v_structure_precision_std,v_structure_recall_mean,v_structure_recall_std,v_structure_f1_mean,v_structure_f1_std,directed_edges_mean,directed_edges_std,skeleton_edges_mean,skeleton_edges_std,v_structures_mean,v_structures_std,runs,runs_with_directed
csuite_large_backdoor,csuite,20,,0.08,0.050140095539356985,0.43297101449275366,0.3264488533468337,9.38,0.8736316862570424,0.0,,0.0,0.0,,,0.0,0.0,,,0.02,0.2,1.82,0.9987871432771638,0.0,0.0,100,1
csuite_large_backdoor,csuite,50,,0.11444444444444445,0.019049623110862807,0.24816666666666667,0.06443638925623932,11.28,0.9543097352050175,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.21,0.6403124237432847,4.34,0.9344149576774299,0.0,0.0,100,10
csuite_large_backdoor,csuite,100,,0.11444444444444445,0.01904962311086281,0.17840079365079364,0.0500645452195401,12.93,1.1913408115618842,0.017241379310344827,0.09284766908852593,0.0011111111111111111,0.01111111111111111,0.0,0.0,0.0,0.0,,,0.67,1.1196590390098067,5.99,1.1054959123041623,0.02,0.14070529413628968,100,29
csuite_large_backdoor,csuite,200,,0.11777777777777777,0.026520361841771332,0.1529761904761905,0.04037898947691828,13.95,1.1135075167680684,0.005,0.03535533905932737,0.0011111111111111111,0.011111111111111108,0.0,0.0,0.0,0.0,,,1.28,1.4912539635616675,7.07,1.0175728698498923,0.03,0.22270150335361363,100,50
csuite_large_backdoor,csuite,500,,0.11333333333333333,0.015633921570698855,0.11863492063492063,0.017335055805027543,15.6,0.6963106238227914,0.009259259259259259,0.052087066771805086,0.0022222222222222222,0.015633921570698855,0.0,0.0,0.0,0.0,,,1.66,1.5256725624054357,8.64,0.6593538312222622,0.02,0.1407052941362897,100,63
csuite_mixed_confounding,csuite,20,,0.078,0.051947482761031186,0.5888888888888889,0.3250356105846683,14.72,1.1198845539346518,0.6,0.2803059552906941,0.012,0.03196518869708038,,,0.0,0.0,,,0.3,0.7177405625652734,2.06,1.0807778717575631,0.0,0.0,100,15
csuite_mixed_confounding,csuite,50,,0.19,0.05222329678670937,0.7396666666666667,0.1829392765376321,13.33,1.2231355632392538,0.6322404371584699,0.36038648046305294,0.066,0.06865388393982125,0.0,,0.0,0.0,,,1.68,1.562696452296543,4.03,1.2014721609489558,0.02,0.2,100,61
csuite_mixed_confounding,csuite,100,,0.284,0.05575318384108218,0.7196904761904761,0.13370777534789619,12.51,1.3669622740170473,0.31208683473389354,0.3069805193495973,0.07,0.07114582486036498,0.0,0.0,0.0,0.0,,,3.35,2.0859075005881977,6.03,1.2098501451573966,0.07,0.3258245174347937,100,85
csuite_mixed_confounding,csuite,200,,0.33799999999999997,0.04946855614567751,0.7023253968253969,0.11798666811213485,12.21,1.4791138488222522,0.24611356570119458,0.19336035949117147,0.08933333333333333,0.06579906835346579,0.0,0.0,0.0,0.0,,,5.26,1.9623733311755664,7.35,1.22577536788975,0.13,0.4181488788081165,100,97
csuite_mixed_confounding,csuite,500,,0.3966666666666667,0.014602860903839363,0.5598337218337218,0.05443291921900927,13.82,1.0481344658896865,0.19112648462648463,0.07956065839047652,0.11466666666666667,0.04246078272458878,0.0,0.0,0.0,0.0,,,9.25,1.6414763002993507,10.72,1.0452393278695808,0.6,0.8761716542303614,100,100
csuite_mixed_simpson,csuite,20,,0.33,0.16996731711975951,0.9419475655430711,0.17426092779725066,2.79,0.8077278269468264,0.5,,0.0025,0.024999999999999998,,,,,,,0.02,0.19999999999999998,1.43,0.7142842712828136,0.0,0.0,100,1
csuite_mixed_simpson,csuite,50,,0.56,0.11303883305208783,0.9691666666666667,0.09375491008466255,1.86,0.5321957564959752,0.75,0.3535533905932738,0.01,0.07035264706814486,,,,,,,0.06,0.4454030067072274,2.34,0.5545040554177646,0.0,0.0,100,2
csuite_mixed_simpson,csuite,100,,0.59,0.12060453783110543,0.95,0.11236664374387367,1.81,0.5807518637703432,0.8095238095238095,0.3056249227510633,0.0625,0.16428218516819273,,,,,,,0.32,0.8273115763993903,2.53,0.6428314889862841,0.0,0.0,100,14
csuite_mixed_simpson,csuite,200,,0.6675,0.12838841793006817,0.955,0.10079649130764749,1.5,0.5945883900105632,0.8908045977011494,0.2005738892714385,0.145,0.22802401078603435,,,,,,,0.7,1.1763666026534345,2.84,0.6774879327264057,0.0,0.0,100,29
