dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,comparison,is_significant
csuite_large_backdoor,20,0.0193749999999999,0.0151249999999999,0.0239999999999999,6.029551553175178e-16,3.6177309319051065e-15,nnaa,vanilla_vs_dag,True
csuite_large_backdoor,50,0.0163749999999999,0.01275,0.019875,1.3412073039050012e-15,8.047243823430007e-15,nnaa,vanilla_vs_dag,True
csuite_large_backdoor,100,0.0145,0.0106250000000001,0.018125,2.6045956669693377e-13,1.562757400181603e-12,nnaa,vanilla_vs_dag,True
csuite_large_backdoor,200,0.00875,0.005,0.0124999999999999,3.7688933343740716e-08,2.2613360006244426e-07,nnaa,vanilla_vs_dag,True
csuite_large_backdoor,500,0.0014375,-0.0012499999999999,0.0038750000000001,0.1388161034992299,0.5229868233911683,nnaa,vanilla_vs_dag,False
csuite_mixed_confounding,20,0.0383125,0.03275,0.0438749999999999,5.268614659479794e-18,2.6378230728337316e-17,nnaa,vanilla_vs_dag,True
csuite_mixed_confounding,50,0.036375,0.0322499999999999,0.040875,4.395630140527694e-18,2.6373780843166165e-17,nnaa,vanilla_vs_dag,True
csuite_mixed_confounding,100,0.0277499999999999,0.024375,0.0312499999999998,3.895021439772566e-18,2.3370128638635396e-17,nnaa,vanilla_vs_dag,True
csuite_mixed_confounding,200,0.019625,0.0165,0.0225,4.533207986324181e-17,2.719924791794508e-16,nnaa,vanilla_vs_dag,True
csuite_mixed_confounding,500,0.0114999999999999,0.0084999999999999,0.0143749999999999,2.122147194614657e-13,8.488588778458627e-13,nnaa,vanilla_vs_dag,True
csuite_mixed_simpson,20,0.0202499999999999,0.014625,0.0262499999999999,4.3929201159478844e-13,2.6357520695687304e-12,nnaa,vanilla_vs_dag,True
csuite_mixed_simpson,50,0.0101249999999999,0.0057500000000001,0.0145,4.712901904994651e-08,2.827741142996791e-07,nnaa,vanilla_vs_dag,True
csuite_mixed_simpson,100,0.0105,0.006875,0.0139999999999999,3.9480204371425536e-10,2.368812262285532e-09,nnaa,vanilla_vs_dag,True
csuite_mixed_simpson,200,0.004375,0.000875,0.0082499999999999,0.0018818400916515,0.0075273603666061,nnaa,vanilla_vs_dag,True
csuite_mixed_simpson,500,0.0049999999999999,0.0016249999999999,0.008375,0.0001677067812961,0.0008385339064806,nnaa,vanilla_vs_dag,True
csuite_nonlin_simpson,20,0.00825,0.003875,0.0128749999999999,3.6615785410896294e-06,2.1969471246537777e-05,nnaa,vanilla_vs_dag,True
csuite_nonlin_simpson,50,0.0126874999999999,0.009125,0.0162499999999999,2.173615589874185e-12,1.0868077949370923e-11,nnaa,vanilla_vs_dag,True
csuite_nonlin_simpson,100,0.0144999999999999,0.01025,0.018625,4.8781490540161175e-14,2.9268894324096705e-13,nnaa,vanilla_vs_dag,True
csuite_nonlin_simpson,200,0.01125,0.008125,0.015125,6.02566905031007e-13,3.6154014301860417e-12,nnaa,vanilla_vs_dag,True
csuite_nonlin_simpson,500,0.0055,0.002125,0.0091249999999999,6.794906425860977e-05,0.0002717962570344,nnaa,vanilla_vs_dag,True
csuite_symprod_simpson,20,0.0141250000000001,0.008625,0.0191249999999999,1.932865444972748e-09,9.66432722486374e-09,nnaa,vanilla_vs_dag,True
csuite_symprod_simpson,50,0.00725,0.00275,0.0122499999999998,4.347248734152874e-05,0.0002173624367076,nnaa,vanilla_vs_dag,True
csuite_symprod_simpson,100,0.003875,0.0003749999999999,0.007875,0.0051838611622616,0.0259193058113081,nnaa,vanilla_vs_dag,True
csuite_symprod_simpson,200,0.0033749999999999,0.0001249999999999,0.0067499999999999,0.0085299052599951,0.0426495262999759,nnaa,vanilla_vs_dag,True
csuite_symprod_simpson,500,0.0009999999999999,-0.002125,0.0039999999999998,0.428043644798597,1.0,nnaa,vanilla_vs_dag,False
csuite_weak_arrows,20,0.017625,0.0135,0.022125,2.7601015358335066e-15,1.656060921500104e-14,nnaa,vanilla_vs_dag,True
csuite_weak_arrows,50,0.0143749999999999,0.0108749999999999,0.0182499999999999,2.6877018061704588e-14,1.6126210837022753e-13,nnaa,vanilla_vs_dag,True
csuite_weak_arrows,100,0.0114999999999999,0.0076249999999998,0.0154999999999999,2.8639149145711923e-10,1.718348948742715e-09,nnaa,vanilla_vs_dag,True
csuite_weak_arrows,200,0.007125,0.004,0.010125,1.0352066030154874e-08,6.211239618092924e-08,nnaa,vanilla_vs_dag,True
csuite_weak_arrows,500,0.0028749999999999,-0.00025,0.006375,0.0196514962840178,0.0982574814200893,nnaa,vanilla_vs_dag,False
custom_scm,20,0.008625,0.0045,0.012875,1.9321018703969174e-06,7.72840748158767e-06,nnaa,vanilla_vs_dag,True
custom_scm,50,0.005375,0.002125,0.0089999999999999,6.13915647018444e-05,0.000368349388211,nnaa,vanilla_vs_dag,True
custom_scm,100,0.002875,-0.000625,0.0062499999999999,0.0290101052814975,0.174060631688985,nnaa,vanilla_vs_dag,False
custom_scm,200,0.0015,-0.0011249999999999,0.004125,0.1009848096356468,0.3029544289069404,nnaa,vanilla_vs_dag,False
custom_scm,500,0.0015,-0.0004999999999999,0.0037499999999998,0.0421434287964244,0.2528605727785469,nnaa,vanilla_vs_dag,False
csuite_large_backdoor,20,-0.00325,-0.007,0.0002499999999999,0.0242061146374705,0.0726183439124115,nnaa,vanilla_vs_cpdag_minimal,False
csuite_large_backdoor,50,-0.002125,-0.0055,0.0011249999999999,0.1141218030567657,0.2282436061135315,nnaa,vanilla_vs_cpdag_minimal,False
csuite_large_backdoor,100,-0.001,-0.0035,0.0016249999999999,0.4230486894238128,1.0,nnaa,vanilla_vs_cpdag_minimal,False
csuite_large_backdoor,200,-0.0003749999999999,-0.0032499999999999,0.0025,0.7806220962331105,1.0,nnaa,vanilla_vs_cpdag_minimal,False
csuite_large_backdoor,500,-0.0018749999999999,-0.004875,0.00125,0.130746705847792,0.5229868233911683,nnaa,vanilla_vs_cpdag_minimal,False
csuite_mixed_confounding,20,0.02375,0.0185,0.02925,2.4030785388028687e-15,9.612314155211476e-15,nnaa,vanilla_vs_cpdag_minimal,True
csuite_mixed_confounding,50,0.024875,0.0211249999999999,0.0286249999999999,1.0038012960623216e-17,5.019006480311609e-17,nnaa,vanilla_vs_cpdag_minimal,True
csuite_mixed_confounding,100,0.02225,0.0191249999999999,0.0256249999999999,4.266082629108709e-18,2.3370128638635396e-17,nnaa,vanilla_vs_cpdag_minimal,True
csuite_mixed_confounding,200,0.0175,0.014375,0.02075,7.341947562236003e-17,3.6709737811180016e-16,nnaa,vanilla_vs_cpdag_minimal,True
csuite_mixed_confounding,500,0.0121249999999999,0.00925,0.0147499999999999,4.0555013948983357e-14,2.0277506974491683e-13,nnaa,vanilla_vs_cpdag_minimal,True
csuite_mixed_simpson,20,0.0127499999999999,0.0072499999999999,0.018125,9.576142857928825e-08,3.830457143171529e-07,nnaa,vanilla_vs_cpdag_minimal,True
csuite_mixed_simpson,50,0.0087500000000001,0.0049999999999998,0.01225,1.1458587973989969e-07,4.5834351895959867e-07,nnaa,vanilla_vs_cpdag_minimal,True
csuite_mixed_simpson,100,0.00825,0.0048749999999999,0.0117499999999999,3.8804712864880206e-08,1.5521885145952082e-07,nnaa,vanilla_vs_cpdag_minimal,True
csuite_mixed_simpson,200,0.0066249999999999,0.003,0.010125,4.652145708511965e-06,2.326072854255982e-05,nnaa,vanilla_vs_cpdag_minimal,True
csuite_mixed_simpson,500,0.003,-5.377642775528102e-17,0.006125,0.0194692131348482,0.0584076394045448,nnaa,vanilla_vs_cpdag_minimal,False
csuite_nonlin_simpson,20,0.0042499999999999,0.000625,0.0081249999999999,0.0038322930254319,0.0153291721017277,nnaa,vanilla_vs_cpdag_minimal,True
csuite_nonlin_simpson,50,0.0095,0.0058749999999999,0.0131249999999999,7.62874660820179e-09,3.051498643280716e-08,nnaa,vanilla_vs_cpdag_minimal,True
csuite_nonlin_simpson,100,0.010625,0.0073749999999999,0.0142499999999999,1.8356516255152032e-11,7.342606502060813e-11,nnaa,vanilla_vs_cpdag_minimal,True
csuite_nonlin_simpson,200,0.009875,0.007125,0.0127499999999999,6.585602852659125e-12,2.8491573264804648e-11,nnaa,vanilla_vs_cpdag_minimal,True
csuite_nonlin_simpson,500,0.006,0.002875,0.00925,8.950261954973241e-07,5.370157172983945e-06,nnaa,vanilla_vs_cpdag_minimal,True
csuite_symprod_simpson,20,0.0036249999999999,-5.551115123125783e-17,0.007125,0.018767743005726,0.0563032290171781,nnaa,vanilla_vs_cpdag_minimal,False
csuite_symprod_simpson,50,0.0015000000000001,-0.001875,0.0053749999999999,0.2802987976040331,0.8408963928120993,nnaa,vanilla_vs_cpdag_minimal,False
csuite_symprod_simpson,100,0.0024999999999999,-0.0005,0.005375,0.0371924823970588,0.136106693412418,nnaa,vanilla_vs_cpdag_minimal,False
csuite_symprod_simpson,200,0.0008749999999999,-0.00225,0.004,0.4692062604399423,1.0,nnaa,vanilla_vs_cpdag_minimal,False
csuite_symprod_simpson,500,-0.0011249999999999,-0.0039999999999999,0.0019999999999999,0.3452572746964092,1.0,nnaa,vanilla_vs_cpdag_minimal,False
csuite_weak_arrows,20,-0.000375,-0.003375,0.0024999999999999,0.7078233399921108,1.0,nnaa,vanilla_vs_cpdag_minimal,False
csuite_weak_arrows,50,0.0042499999999999,0.00125,0.007,0.0004989166997583,0.0014967500992749,nnaa,vanilla_vs_cpdag_minimal,True
csuite_weak_arrows,100,0.0037499999999999,0.0007499999999999,0.0067499999999999,0.003433111389768,0.0102993341693043,nnaa,vanilla_vs_cpdag_minimal,True
csuite_weak_arrows,200,0.004125,0.00125,0.007375,0.0003399231078491,0.0016996155392458,nnaa,vanilla_vs_cpdag_minimal,True
csuite_weak_arrows,500,0.0012499999999999,-0.001375,0.0038749999999999,0.2177045300162315,0.4652823764663079,nnaa,vanilla_vs_cpdag_minimal,False
custom_scm,20,0.0081249999999999,0.0042499999999999,0.0121249999999999,2.826800261920265e-06,8.480400785760796e-06,nnaa,vanilla_vs_cpdag_minimal,True
custom_scm,50,0.0034999999999999,0.0004999999999999,0.00625,0.0045094294855453,0.0180377179421813,nnaa,vanilla_vs_cpdag_minimal,True
custom_scm,100,0.001125,-0.0015,0.0037499999999999,0.2382551090040202,0.7147653270120607,nnaa,vanilla_vs_cpdag_minimal,False
custom_scm,200,0.0017499999999999,-0.0005,0.0039999999999998,0.0362617567995682,0.145047027198273,nnaa,vanilla_vs_cpdag_minimal,False
custom_scm,500,0.0009999999999999,-0.00075,0.0026249999999999,0.1294327169620705,0.517730867848282,nnaa,vanilla_vs_cpdag_minimal,False
