dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,is_significant,metric
csuite_large_backdoor,20,0.0,0.0,0.0,0.3173105078629141,0.7397123567455929,False,k_marginal_tvd
csuite_large_backdoor,50,0.0,0.0,0.0,0.9867964555136748,0.9867964555136748,False,k_marginal_tvd
csuite_large_backdoor,100,0.0,0.0,0.0,0.0063457500018147,0.0126915000036294,False,k_marginal_tvd
csuite_large_backdoor,200,-0.0002361111111111,-0.00075,-6.944444444406672e-06,0.0005728488482267,0.0022913953929071,True,k_marginal_tvd
csuite_large_backdoor,500,-0.0022708333333333,-0.0035277777777777,-0.0013402777777778,1.8330339302471996e-08,3.666067860494399e-08,True,k_marginal_tvd
csuite_mixed_confounding,20,0.0001780303030302,-0.0002272727272727,0.0005643939393939,0.3212172094796472,0.3874166788755475,False,k_marginal_tvd
csuite_mixed_confounding,50,-0.0002083333333333,-0.0008977272727273,0.0003636363636363,0.3957317674803786,0.3957317674803786,False,k_marginal_tvd
csuite_mixed_confounding,100,-0.0018295454545454,-0.0030265151515151,-0.0006931818181818,0.0001343902392354,0.0004031707177062,True,k_marginal_tvd
csuite_mixed_confounding,200,-0.0027348484848484,-0.0040492424242424,-0.0014469696969696,2.2326799001226467e-06,6.69803970036794e-06,True,k_marginal_tvd
csuite_mixed_confounding,500,-0.0085113636363636,-0.0096174242424242,-0.0074659090909091,6.5041109650767795e-18,3.902466579046068e-17,True,k_marginal_tvd
csuite_mixed_simpson,20,4.1666666666606567e-05,-4.16666666666482e-05,8.333333333333803e-05,0.3337690421027325,0.3337690421027325,False,k_marginal_tvd
csuite_mixed_simpson,50,-0.0001666666666666,-0.000375,8.333333333335191e-05,0.1280714550714056,0.2561429101428113,False,k_marginal_tvd
csuite_mixed_simpson,100,0.0002916666666666,-4.163336342344337e-17,0.0005833333333333,0.0254058352981634,0.0762175058944903,False,k_marginal_tvd
csuite_mixed_simpson,200,4.166666666666208e-05,-8.33333333332964e-05,0.00025,0.3704622896872565,0.740924579374513,False,k_marginal_tvd
csuite_mixed_simpson,500,0.0019166666666666,6.938893903907228e-18,0.0044999999999999,0.0132763459935851,0.0398290379807553,True,k_marginal_tvd
csuite_nonlin_simpson,20,0.0,0.0,0.0,1.0,1.0,False,k_marginal_tvd
csuite_nonlin_simpson,50,0.0,0.0,0.0,0.0832750040512064,0.1404987302613498,False,k_marginal_tvd
csuite_nonlin_simpson,100,0.0,0.0,0.0,0.0999074930367386,0.1998149860734773,False,k_marginal_tvd
csuite_nonlin_simpson,200,0.0,0.0,0.0,0.2072981986305778,0.4145963972611557,False,k_marginal_tvd
csuite_nonlin_simpson,500,0.0,0.0,0.0,1.0,1.0,False,k_marginal_tvd
csuite_symprod_simpson,20,0.0,0.0,0.0,1.0,1.0,False,k_marginal_tvd
csuite_symprod_simpson,50,0.0,0.0,0.0,0.5716199076832991,0.5716199076832991,False,k_marginal_tvd
csuite_symprod_simpson,100,0.0,0.0,0.0,0.3173105078629141,0.6346210157258283,False,k_marginal_tvd
csuite_symprod_simpson,200,0.0,0.0,0.0,1.0,1.0,False,k_marginal_tvd
csuite_symprod_simpson,500,0.0,0.0,0.0,0.0455141763149142,0.1365425289447427,False,k_marginal_tvd
csuite_weak_arrows,20,0.0,0.0,0.0,1.0,1.0,False,k_marginal_tvd
csuite_weak_arrows,50,0.0,0.0,0.0,0.7630532623938562,0.7630532623938562,False,k_marginal_tvd
csuite_weak_arrows,100,0.0,0.0,0.0,0.0920238151739505,0.3628436030736096,False,k_marginal_tvd
csuite_weak_arrows,200,0.0,0.0,0.0,0.1762421358533201,0.3524842717066403,False,k_marginal_tvd
csuite_weak_arrows,500,-0.0018298611111111,-0.0029513888888888,-0.0008888888888889,7.642602919460733e-07,4.58556175167644e-06,True,k_marginal_tvd
custom_scm,20,0.0,0.0,0.0,0.9943298722460112,0.9943298722460112,False,k_marginal_tvd
custom_scm,50,0.0,0.0,0.0,0.173908154490004,0.3478163089800081,False,k_marginal_tvd
custom_scm,100,0.0,0.0,0.0,0.0832750040512064,0.2498250121536193,False,k_marginal_tvd
custom_scm,200,0.0,0.0,0.0,0.0143208091200383,0.042962427360115,False,k_marginal_tvd
custom_scm,500,0.0,0.0,0.0,0.0832750040512064,0.2498250121536193,False,k_marginal_tvd
