dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,is_significant,metric
csuite_large_backdoor,20,-0.0013159722222221,-0.0027013888888888,1.38888888888411e-05,0.013756147205425,0.0550245888217003,False,k_marginal_tvd
csuite_large_backdoor,50,-0.0014131944444444,-0.0024583333333333,-0.0003055555555556,0.001616328763465,0.0064653150538601,True,k_marginal_tvd
csuite_large_backdoor,100,-0.0018090277777778,-0.0027847222222222,-0.0007777777777778,7.149018083665291e-05,0.0002144705425099,True,k_marginal_tvd
csuite_large_backdoor,200,-0.0024375,-0.0035,-0.0013888888888889,9.309102189720737e-08,4.654551094860369e-07,True,k_marginal_tvd
csuite_large_backdoor,500,-0.0024236111111111,-0.0032222222222222,-0.001625,1.0667618241015043e-10,4.2670472964060167e-10,True,k_marginal_tvd
csuite_mixed_confounding,20,0.0021969696969697,0.0003181818181817,0.004060606060606,0.0040917391418793,0.0163669565675174,True,k_marginal_tvd
csuite_mixed_confounding,50,0.0033219696969697,0.0019886363636364,0.0046136363636362,3.0996800035118984e-08,1.5498400017559489e-07,True,k_marginal_tvd
csuite_mixed_confounding,100,0.003151515151515,0.0017575757575756,0.0045871212121211,1.1678185508730195e-07,4.671274203492078e-07,True,k_marginal_tvd
csuite_mixed_confounding,200,0.0035700757575756,0.0025681818181816,0.0045378787878787,1.8991589455533965e-12,9.495794727766982e-12,True,k_marginal_tvd
csuite_mixed_confounding,500,0.0010056818181818,3.0303030302963885e-05,0.0019507575757575,0.013173873148242,0.0395216194447262,True,k_marginal_tvd
csuite_mixed_simpson,20,-0.0079374999999999,-0.0176249999999999,0.0008333333333333,0.0179187091057767,0.0895935455288837,False,k_marginal_tvd
csuite_mixed_simpson,50,0.003375,-0.0008333333333333,0.0079583333333333,0.0484270870800393,0.1452812612401179,False,k_marginal_tvd
csuite_mixed_simpson,100,0.0095624999999999,0.0052083333333333,0.0138333333333333,4.682731766263676e-07,1.8730927065054704e-06,True,k_marginal_tvd
csuite_mixed_simpson,200,0.0090833333333333,0.00525,0.0128749999999999,2.3991889304593768e-08,1.439513358275626e-07,True,k_marginal_tvd
csuite_mixed_simpson,500,0.0073541666666666,0.0044166666666666,0.0100833333333333,4.287931093453666e-09,2.5727586560721998e-08,True,k_marginal_tvd
csuite_nonlin_simpson,20,0.0027083333333333,0.0008749999999999,0.0045,0.0004110122079664,0.0016440488318658,True,k_marginal_tvd
csuite_nonlin_simpson,50,0.0054166666666667,0.0036666666666666,0.0072499999999999,1.548993125367994e-10,6.195972501471976e-10,True,k_marginal_tvd
csuite_nonlin_simpson,100,0.007125,0.00525,0.0089583333333332,1.7633238802985198e-12,7.053295521194078e-12,True,k_marginal_tvd
csuite_nonlin_simpson,200,0.0061666666666666,0.0044999999999999,0.0078333333333333,7.459469085699015e-13,4.475681451419409e-12,True,k_marginal_tvd
csuite_nonlin_simpson,500,0.0037083333333333,0.0021249999999999,0.0053749999999999,2.3991320521257643e-08,1.4394792312754585e-07,True,k_marginal_tvd
csuite_symprod_simpson,20,0.001,-0.0007916666666666,0.0028333333333334,0.2045294657129608,0.4090589314259216,False,k_marginal_tvd
csuite_symprod_simpson,50,0.0014583333333332,-0.0001249999999999,0.0030416666666666,0.0370366869204474,0.0740733738408949,False,k_marginal_tvd
csuite_symprod_simpson,100,-0.0002499999999999,-0.0015,0.0010833333333332,0.6511647231225142,0.6511647231225142,False,k_marginal_tvd
csuite_symprod_simpson,200,0.000375,-0.0008333333333333,0.0015833333333334,0.4670930408608642,1.0,False,k_marginal_tvd
csuite_symprod_simpson,500,0.0007291666666666,-0.0007916666666666,0.002125,0.2565157892592914,0.5130315785185828,False,k_marginal_tvd
csuite_weak_arrows,20,0.0007777777777777,6.250000000002087e-05,0.0014930555555555,0.0068106090164871,0.0272424360659485,True,k_marginal_tvd
csuite_weak_arrows,50,0.0004583333333333,-0.0001805555555554,0.0010902777777778,0.0686679284366056,0.206003785309817,False,k_marginal_tvd
csuite_weak_arrows,100,3.472222222214438e-05,-0.0004930555555555,0.0005763888888888,0.8878911192997804,0.8878911192997804,False,k_marginal_tvd
csuite_weak_arrows,200,0.0003055555555555,-0.0001736111111111,0.0008263888888889,0.0988614855480636,0.296584456644191,False,k_marginal_tvd
csuite_weak_arrows,500,0.0001041666666666,-0.0003819444444445,0.0005763888888889,0.5952627921212011,1.0,False,k_marginal_tvd
custom_scm,20,0.0134166666666666,0.0088333333333333,0.0181249999999998,4.218352694233642e-10,2.1091763471168215e-09,True,k_marginal_tvd
custom_scm,50,0.0052499999999999,0.0029999999999999,0.0077083333333333,7.197580911275822e-08,2.879032364510329e-07,True,k_marginal_tvd
custom_scm,100,0.0022499999999999,0.0005416666666665,0.0040416666666666,0.0009065552493423,0.0045327762467118,True,k_marginal_tvd
custom_scm,200,0.0025,0.0009166666666666,0.00425,6.412404827125974e-05,0.0003847442896275,True,k_marginal_tvd
custom_scm,500,0.0015,0.00025,0.00275,0.0027461013250853,0.0137305066254269,True,k_marginal_tvd
