dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,is_significant,metric
csuite_large_backdoor,20,-0.0007847222222222,-0.0024722222222222,0.0009305555555555,0.2465707855818643,0.7397123567455929,False,k_marginal_tvd
csuite_large_backdoor,50,-0.0013472222222221,-0.0024236111111111,-0.0002291666666666,0.0036881965237372,0.0110645895712118,True,k_marginal_tvd
csuite_large_backdoor,100,-0.002375,-0.0035347222222222,-0.0010902777777776,4.215212434450588e-06,2.5291274606703532e-05,True,k_marginal_tvd
csuite_large_backdoor,200,-0.0026284722222222,-0.0038333333333333,-0.0015694444444444,2.709238532585007e-09,1.6255431195510045e-08,True,k_marginal_tvd
csuite_large_backdoor,500,-0.0025972222222223,-0.0034097222222222,-0.0017569444444443,2.535554867869568e-10,7.606664603608702e-10,True,k_marginal_tvd
csuite_mixed_confounding,20,-0.0017613636363635,-0.0036628787878788,-1.5151515151551331e-05,0.0159409059071886,0.047822717721566,True,k_marginal_tvd
csuite_mixed_confounding,50,-0.0013522727272727,-0.0027462121212121,3.030303030299164e-05,0.027285467280051,0.0545709345601021,False,k_marginal_tvd
csuite_mixed_confounding,100,-0.0011666666666667,-0.0023598484848484,2.651515151520789e-05,0.0277694627009101,0.0555389254018203,False,k_marginal_tvd
csuite_mixed_confounding,200,2.651515151515238e-05,-0.0008371212121213,0.0008901515151514,0.9506505163551368,0.9506505163551368,False,k_marginal_tvd
csuite_mixed_confounding,500,0.0002556818181818,-0.0007651515151515,0.0012045454545454,0.6036297728455251,0.6036297728455251,False,k_marginal_tvd
csuite_mixed_simpson,20,0.0062291666666666,0.0003749999999999,0.0122499999999999,0.0049677492760962,0.0298064956565773,True,k_marginal_tvd
csuite_mixed_simpson,50,-0.0008958333333333,-0.0049999999999999,0.0034166666666666,0.6144611697529276,0.6144611697529276,False,k_marginal_tvd
csuite_mixed_simpson,100,-0.0013958333333332,-0.00525,0.0021666666666667,0.3408824899146637,0.6817649798293275,False,k_marginal_tvd
csuite_mixed_simpson,200,-0.0015,-0.0042083333333333,0.0011666666666666,0.1833034247815594,0.5499102743446784,False,k_marginal_tvd
csuite_mixed_simpson,500,-0.0007499999999999,-0.0032083333333333,0.0019166666666666,0.4862613419429562,0.9725226838859125,False,k_marginal_tvd
csuite_nonlin_simpson,20,-0.0039583333333333,-0.0072083333333333,-0.0005416666666666,0.0059471671664469,0.0178415014993408,True,k_marginal_tvd
csuite_nonlin_simpson,50,-0.0060416666666667,-0.0085416666666667,-0.0034999999999999,2.951057759095179e-07,8.853173277285537e-07,True,k_marginal_tvd
csuite_nonlin_simpson,100,-0.0045833333333333,-0.0069166666666667,-0.0022916666666666,8.017196169732112e-06,2.4051588509196335e-05,True,k_marginal_tvd
csuite_nonlin_simpson,200,-0.0044583333333333,-0.0063333333333333,-0.0024583333333332,5.260067888349191e-07,1.5780203665047573e-06,True,k_marginal_tvd
csuite_nonlin_simpson,500,-0.0029166666666666,-0.00475,-0.001,0.0001218432012095,0.0006092160060475,True,k_marginal_tvd
csuite_symprod_simpson,20,-0.0084583333333333,-0.011875,-0.0047499999999999,7.91936723919735e-08,3.1677468956789394e-07,True,k_marginal_tvd
csuite_symprod_simpson,50,-0.0138333333333333,-0.0173749999999999,-0.0103749999999999,4.2200072778261466e-14,2.532004366695688e-13,True,k_marginal_tvd
csuite_symprod_simpson,100,-0.0120416666666666,-0.0147499999999999,-0.00925,4.057960399444362e-16,2.4347762396666175e-15,True,k_marginal_tvd
csuite_symprod_simpson,200,-0.006,-0.0079583333333333,-0.0040833333333333,1.6502841625883028e-11,9.901704975529816e-11,True,k_marginal_tvd
csuite_symprod_simpson,500,-0.0037916666666666,-0.0056249999999999,-0.0017916666666667,1.7590056662523483e-06,1.0554033997514093e-05,True,k_marginal_tvd
csuite_weak_arrows,20,-0.0005416666666666,-0.0025069444444445,0.0014027777777778,0.5003671561266105,1.0,False,k_marginal_tvd
csuite_weak_arrows,50,-0.0007152777777778,-0.0021249999999999,0.0006736111111111,0.1501672189684133,0.3003344379368267,False,k_marginal_tvd
csuite_weak_arrows,100,-0.0006041666666666,-0.0017013888888887,0.0003333333333333,0.0907109007684024,0.3628436030736096,False,k_marginal_tvd
csuite_weak_arrows,200,-0.0009722222222222,-0.0017847222222222,-0.0001944444444444,0.0011926556588914,0.0071559339533486,True,k_marginal_tvd
csuite_weak_arrows,500,-0.001625,-0.0024583333333333,-0.0007916666666666,3.1784106330922235e-06,1.5892053165461118e-05,True,k_marginal_tvd
custom_scm,20,0.0024375,-0.0024166666666666,0.00725,0.2682320836791084,0.5364641673582169,False,k_marginal_tvd
custom_scm,50,-0.0002499999999999,-0.0031666666666667,0.0025,0.8486605595032358,0.8486605595032358,False,k_marginal_tvd
custom_scm,100,-0.0005833333333333,-0.0031666666666667,0.0019999999999999,0.5269589337485421,0.5269589337485421,False,k_marginal_tvd
custom_scm,200,-0.0006666666666666,-0.0026666666666666,0.0014166666666665,0.4566334733858128,0.9132669467716256,False,k_marginal_tvd
custom_scm,500,-0.0006666666666666,-0.0028333333333333,0.001625,0.5146790591342058,0.5146790591342058,False,k_marginal_tvd
