algorithm,column_order,actual_column_order,graph_structure,graph_nodes,graph_edges,undirected_edges,train_size,seed,repetition,categorical_cols,correlation_matrix_difference,k_marginal_tvd,nnaa,nnaa_train,nnaa_raw_original
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,0,1,,0.13999500976413,0.3168333333333333,0.12824999999999998,0.419167,0.62825
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,1,2,,0.4724539522240016,0.311,0.14650000000000007,0.433333,0.6465000000000001
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,2,3,,0.1948573695774754,0.32875,0.15825,0.4925,0.65825
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,3,4,,0.127639825519517,0.3143333333333333,0.14075000000000004,0.441667,0.64075
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,4,5,,0.0732159427925578,0.3215,0.138,0.414167,0.638
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,5,6,,0.4031906027501548,0.2831666666666667,0.11824999999999997,0.491667,0.61825
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,6,7,,0.1585136500902498,0.2661666666666667,0.10525000000000007,0.4925,0.6052500000000001
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,7,8,,0.0890130246491738,0.28125,0.09050000000000002,0.396667,0.5905
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,8,9,,0.1507874580362957,0.2686666666666666,0.09850000000000003,0.3775,0.5985
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,9,10,,0.3041353162988434,0.31775,0.10875000000000001,0.38,0.60875
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,10,11,,0.191044875300063,0.3124166666666667,0.10424999999999995,0.424167,0.60425
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,11,12,,0.4635024930804921,0.3550833333333334,0.13775000000000004,0.393333,0.63775
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,12,13,,1.030982008305177,0.3021666666666667,0.11199999999999999,0.4475,0.612
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,13,14,,0.8271046408021107,0.3095833333333333,0.13275000000000003,0.4,0.63275
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,14,15,,0.2603170615738668,0.27975,0.10850000000000004,0.430833,0.6085
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,15,16,,0.6359349008557147,0.28125,0.11775000000000002,0.458333,0.61775
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,16,17,,0.1154226805878202,0.2703333333333333,0.10575000000000001,0.483333,0.60575
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,17,18,,0.9751800553543942,0.3034166666666666,0.11099999999999999,0.345,0.611
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,18,19,,0.0788276191203984,0.2711666666666667,0.09999999999999998,0.42,0.6
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,19,20,,0.9511316868458692,0.361,0.16125,0.4825,0.66125
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,20,21,,1.231488794747179,0.31775,0.12075000000000002,0.398333,0.62075
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,21,22,,0.1429196893748264,0.288,0.11349999999999993,0.45,0.6134999999999999
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,22,23,,0.3312750065380083,0.27925,0.13449999999999995,0.345833,0.6345
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,23,24,,0.8055243807317692,0.354,0.132,0.480833,0.632
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,24,25,,0.9511264256088892,0.3565,0.15074999999999994,0.444167,0.6507499999999999
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,25,26,,0.715524956495513,0.3003333333333334,0.1332500000000001,0.449167,0.6332500000000001
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,26,27,,0.1525498518492971,0.2844166666666667,0.11824999999999997,0.478333,0.61825
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,27,28,,0.237661816538097,0.3495,0.12375000000000003,0.366667,0.62375
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,28,29,,0.3889414638529805,0.3006666666666667,0.14225,0.419167,0.64225
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,29,30,,0.4627785405326095,0.33475,0.1292500000000001,0.4475,0.6292500000000001
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,30,31,,0.4084964981209952,0.3211666666666666,0.11775000000000002,0.449167,0.61775
