dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,comparison,is_significant
csuite_large_backdoor,20,-0.0013159722222221,-0.0027013888888888,1.38888888888411e-05,0.013756147205425,0.0550245888217003,k_marginal_tvd,vanilla_vs_cpdag_minimal,False
csuite_large_backdoor,50,-0.0014131944444444,-0.0024583333333333,-0.0003055555555556,0.001616328763465,0.0064653150538601,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
csuite_large_backdoor,100,-0.0018090277777778,-0.0027847222222222,-0.0007777777777778,7.149018083665291e-05,0.0002144705425099,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
csuite_large_backdoor,200,-0.0024375,-0.0035,-0.0013888888888889,9.309102189720737e-08,4.654551094860369e-07,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
csuite_large_backdoor,500,-0.0024236111111111,-0.0032222222222222,-0.001625,1.0667618241015043e-10,4.2670472964060167e-10,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
csuite_mixed_confounding,20,0.0021969696969697,0.0003181818181817,0.004060606060606,0.0040917391418793,0.0163669565675174,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
csuite_mixed_confounding,50,0.0033219696969697,0.0019886363636364,0.0046136363636362,3.0996800035118984e-08,1.5498400017559489e-07,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
csuite_mixed_confounding,100,0.003151515151515,0.0017575757575756,0.0045871212121211,1.1678185508730195e-07,4.671274203492078e-07,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
csuite_mixed_confounding,200,0.0035700757575756,0.0025681818181816,0.0045378787878787,1.8991589455533965e-12,9.495794727766982e-12,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
csuite_mixed_confounding,500,0.0010056818181818,3.0303030302963885e-05,0.0019507575757575,0.013173873148242,0.0395216194447262,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
csuite_mixed_simpson,20,-0.0079374999999999,-0.0176249999999999,0.0008333333333333,0.0179187091057767,0.0895935455288837,k_marginal_tvd,vanilla_vs_cpdag_minimal,False
csuite_mixed_simpson,50,0.003375,-0.0008333333333333,0.0079583333333333,0.0484270870800393,0.1452812612401179,k_marginal_tvd,vanilla_vs_cpdag_minimal,False
csuite_mixed_simpson,100,0.0095624999999999,0.0052083333333333,0.0138333333333333,4.682731766263676e-07,1.8730927065054704e-06,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
csuite_mixed_simpson,200,0.0090833333333333,0.00525,0.0128749999999999,2.3991889304593768e-08,1.439513358275626e-07,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
csuite_mixed_simpson,500,0.0073541666666666,0.0044166666666666,0.0100833333333333,4.287931093453666e-09,2.5727586560721998e-08,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
csuite_nonlin_simpson,20,0.0027083333333333,0.0008749999999999,0.0045,0.0004110122079664,0.0016440488318658,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
csuite_nonlin_simpson,50,0.0054166666666667,0.0036666666666666,0.0072499999999999,1.548993125367994e-10,6.195972501471976e-10,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
csuite_nonlin_simpson,100,0.007125,0.00525,0.0089583333333332,1.7633238802985198e-12,7.053295521194078e-12,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
csuite_nonlin_simpson,200,0.0061666666666666,0.0044999999999999,0.0078333333333333,7.459469085699015e-13,4.475681451419409e-12,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
csuite_nonlin_simpson,500,0.0037083333333333,0.0021249999999999,0.0053749999999999,2.3991320521257643e-08,1.4394792312754585e-07,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
csuite_symprod_simpson,20,0.001,-0.0007916666666666,0.0028333333333334,0.2045294657129608,0.4090589314259216,k_marginal_tvd,vanilla_vs_cpdag_minimal,False
csuite_symprod_simpson,50,0.0014583333333332,-0.0001249999999999,0.0030416666666666,0.0370366869204474,0.0740733738408949,k_marginal_tvd,vanilla_vs_cpdag_minimal,False
csuite_symprod_simpson,100,-0.0002499999999999,-0.0015,0.0010833333333332,0.6511647231225142,0.6511647231225142,k_marginal_tvd,vanilla_vs_cpdag_minimal,False
csuite_symprod_simpson,200,0.000375,-0.0008333333333333,0.0015833333333334,0.4670930408608642,1.0,k_marginal_tvd,vanilla_vs_cpdag_minimal,False
csuite_symprod_simpson,500,0.0007291666666666,-0.0007916666666666,0.002125,0.2565157892592914,0.5130315785185828,k_marginal_tvd,vanilla_vs_cpdag_minimal,False
csuite_weak_arrows,20,0.0007777777777777,6.250000000002087e-05,0.0014930555555555,0.0068106090164871,0.0272424360659485,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
csuite_weak_arrows,50,0.0004583333333333,-0.0001805555555554,0.0010902777777778,0.0686679284366056,0.206003785309817,k_marginal_tvd,vanilla_vs_cpdag_minimal,False
csuite_weak_arrows,100,3.472222222214438e-05,-0.0004930555555555,0.0005763888888888,0.8878911192997804,0.8878911192997804,k_marginal_tvd,vanilla_vs_cpdag_minimal,False
csuite_weak_arrows,200,0.0003055555555555,-0.0001736111111111,0.0008263888888889,0.0988614855480636,0.296584456644191,k_marginal_tvd,vanilla_vs_cpdag_minimal,False
csuite_weak_arrows,500,0.0001041666666666,-0.0003819444444445,0.0005763888888889,0.5952627921212011,1.0,k_marginal_tvd,vanilla_vs_cpdag_minimal,False
custom_scm_noise1e-2,20,0.017625,0.0113749999999999,0.0243333333333333,4.5040692166900385e-10,2.252034608345019e-09,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
custom_scm_noise1e-2,50,0.0073333333333332,0.0040833333333333,0.0106666666666667,4.9470442511348166e-08,2.720336220000364e-07,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
custom_scm_noise1e-2,100,0.0033124999999999,0.0003333333333333,0.0062916666666666,0.0042964371873852,0.0214821859369263,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
custom_scm_noise1e-2,200,0.0041458333333333,0.0017083333333333,0.0066249999999999,3.082759069813824e-05,0.0001541379534906,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
custom_scm_noise1e-2,500,0.0032083333333334,0.0003333333333334,0.0059583333333333,0.0039384455457844,0.0196922277289222,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
csuite_large_backdoor,20,0.0,0.0,0.0,0.3173105078629141,0.7397123567455929,k_marginal_tvd,vanilla_vs_cpdag_discovered,False
csuite_large_backdoor,50,0.0,0.0,0.0,0.9867964555136748,0.9867964555136748,k_marginal_tvd,vanilla_vs_cpdag_discovered,False
csuite_large_backdoor,100,0.0,0.0,0.0,0.0063457500018147,0.0126915000036294,k_marginal_tvd,vanilla_vs_cpdag_discovered,False
csuite_large_backdoor,200,-0.0002361111111111,-0.00075,-6.944444444406672e-06,0.0005728488482267,0.0022913953929071,k_marginal_tvd,vanilla_vs_cpdag_discovered,True
csuite_large_backdoor,500,-0.0022708333333333,-0.0035277777777777,-0.0013402777777778,1.8330339302471996e-08,3.666067860494399e-08,k_marginal_tvd,vanilla_vs_cpdag_discovered,True
