dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,comparison,is_significant
csuite_large_backdoor,20,0.0054999999999999,0.000875,0.0102499999999999,0.0038114030109415,0.0152456120437662,nnaa,original_vs_topological,True
csuite_large_backdoor,50,0.0050625,0.0015,0.0085,0.0005778599415889,0.0023114397663556,nnaa,original_vs_topological,True
csuite_large_backdoor,100,0.007375,0.0039999999999999,0.010875,4.985647567093138e-07,2.492823783546569e-06,nnaa,original_vs_topological,True
csuite_large_backdoor,200,0.0048749999999999,0.00125,0.0082499999999999,0.0004329379274368,0.0021646896371843,nnaa,original_vs_topological,True
csuite_large_backdoor,500,0.0014999999999999,-0.00175,0.0044999999999999,0.2209234815410584,0.5229868233911683,nnaa,original_vs_topological,False
csuite_mixed_confounding,20,0.0031249999999999,-0.0003749999999999,0.00675,0.0306928773813182,0.0920786321439547,nnaa,original_vs_topological,False
csuite_mixed_confounding,50,0.017375,0.0138749999999999,0.02075,4.4651423724182225e-15,1.3395427117254668e-14,nnaa,original_vs_topological,True
csuite_mixed_confounding,100,0.0186249999999999,0.0154999999999999,0.022125,9.595953177740265e-18,3.838381271096106e-17,nnaa,original_vs_topological,True
csuite_mixed_confounding,200,0.0135,0.0103749999999999,0.0167499999999999,1.9894844929198458e-13,5.968453478759536e-13,nnaa,original_vs_topological,True
csuite_mixed_confounding,500,0.0092499999999999,0.006375,0.012,1.3832727019008915e-10,4.1498181057026746e-10,nnaa,original_vs_topological,True
csuite_mixed_simpson,20,0.0181875,0.0126249999999999,0.024,1.3497208375826927e-11,6.748604187913464e-11,nnaa,original_vs_topological,True
csuite_mixed_simpson,50,0.00925,0.005375,0.0129999999999999,4.995003459167763e-08,2.827741142996791e-07,nnaa,original_vs_topological,True
csuite_mixed_simpson,100,0.0099999999999999,0.006125,0.0136249999999999,2.8846571819611382e-09,1.4423285909805691e-08,nnaa,original_vs_topological,True
csuite_mixed_simpson,200,0.0021249999999999,-0.0012499999999999,0.0053749999999999,0.1347344328187092,0.2694688656374185,nnaa,original_vs_topological,False
csuite_mixed_simpson,500,0.0015,-0.0013749999999999,0.0043749999999999,0.222232074886131,0.4444641497722621,nnaa,original_vs_topological,False
csuite_nonlin_simpson,20,0.0057500000000001,0.00175,0.0096249999999999,0.0004800656727045,0.0024003283635229,nnaa,original_vs_topological,True
csuite_nonlin_simpson,50,0.012625,0.009,0.0163749999999999,2.041144640769973e-13,1.2246867844619838e-12,nnaa,original_vs_topological,True
csuite_nonlin_simpson,100,0.0133749999999999,0.0092499999999999,0.0174999999999999,1.898520651406574e-12,9.49260325703287e-12,nnaa,original_vs_topological,True
csuite_nonlin_simpson,200,0.0105,0.007125,0.0142499999999998,5.6983146529609286e-12,2.8491573264804648e-11,nnaa,original_vs_topological,True
