dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,is_significant,metric
csuite_large_backdoor,20,0.0,0.0,0.0,0.3173105078629141,0.6346210157258283,False,nnaa
csuite_large_backdoor,50,0.0,0.0,0.0,0.0587727481926448,0.1763182445779345,False,nnaa
csuite_large_backdoor,100,0.0,0.0,0.0,0.5617400706970093,1.0,False,nnaa
csuite_large_backdoor,200,0.0,-0.0005,0.0,0.7586513873966944,1.0,False,nnaa
csuite_large_backdoor,500,-0.0016249999999999,-0.00475,-9.887923813067799e-17,0.0156928429095295,0.0941570574571774,False,nnaa
csuite_mixed_confounding,20,0.000375,-0.0014999999999999,0.0019999999999999,0.6000276080131859,0.6000276080131859,False,nnaa
csuite_mixed_confounding,50,-0.0024999999999999,-0.005125,-0.0004999999999999,0.0189412885339991,0.0189412885339991,True,nnaa
csuite_mixed_confounding,100,-0.0152499999999999,-0.0220000000000001,-0.0088749999999999,6.792523251700223e-08,1.906293107418831e-07,True,nnaa
csuite_mixed_confounding,200,-0.034375,-0.042875,-0.0268749999999999,1.0953831414648511e-14,4.3815325658594044e-14,True,nnaa
csuite_mixed_confounding,500,-0.0681249999999999,-0.0731249999999999,-0.06225,4.137742192848576e-18,2.4826453157091458e-17,True,nnaa
csuite_mixed_simpson,20,0.0,-0.0001249999999999,0.0001249999999999,0.6217377260675135,0.9468758536173132,False,nnaa
csuite_mixed_simpson,50,-0.0002499999999999,-0.001375,0.000875,0.6217148007853621,1.0,False,nnaa
csuite_mixed_simpson,100,-0.0017499999999999,-0.0034999999999999,-0.000125,0.0076649712391765,0.0229949137175297,True,nnaa
csuite_mixed_simpson,200,-0.0013749999999999,-0.008375,-0.000625,2.0889293609609985e-07,1.253357616576599e-06,True,nnaa
csuite_mixed_simpson,500,-0.01475,-0.0195,-0.010375,4.6725654667788526e-11,2.803539280067311e-10,True,nnaa
csuite_nonlin_simpson,20,0.0,0.0,0.0,1.0,1.0,False,nnaa
csuite_nonlin_simpson,50,0.0,0.0,0.0,0.5558653793331919,1.0,False,nnaa
csuite_nonlin_simpson,100,0.0,0.0,0.0,0.1768149568482003,0.2859811241037758,False,nnaa
csuite_nonlin_simpson,200,0.0,0.0,0.0,0.9762360495794148,1.0,False,nnaa
csuite_nonlin_simpson,500,0.0,0.0,0.0,1.0,1.0,False,nnaa
csuite_symprod_simpson,20,0.0,0.0,0.0,1.0,1.0,False,nnaa
csuite_symprod_simpson,50,0.0,0.0,0.0,0.5558653793331919,0.8408963928120993,False,nnaa
csuite_symprod_simpson,100,0.0,0.0,0.0,0.3173105078629141,0.6346210157258283,False,nnaa
csuite_symprod_simpson,200,0.0,0.0,0.0,1.0,1.0,False,nnaa
csuite_symprod_simpson,500,0.0,0.0,0.0,0.3148913589333879,1.0,False,nnaa
csuite_weak_arrows,20,0.0,0.0,0.0,1.0,1.0,False,nnaa
csuite_weak_arrows,50,0.0,0.0,0.000125,0.0344484855067538,0.0688969710135077,False,nnaa
csuite_weak_arrows,100,0.0,0.0,0.0,0.2707504784552434,0.2707504784552434,False,nnaa
csuite_weak_arrows,200,0.0,-0.0032500000000001,-5.2041704279304207e-17,0.0004076934352508,0.0016996155392458,False,nnaa
csuite_weak_arrows,500,-0.00775,-0.0114999999999999,-0.00425,3.1762879451410925e-08,1.9057727670846558e-07,True,nnaa
custom_scm_noise1e-2,20,0.0,0.0,0.0,0.0832750040512064,0.0832750040512064,False,nnaa
custom_scm_noise1e-2,50,0.0,0.0,0.0,0.0081645275289628,0.0244935825868886,False,nnaa
custom_scm_noise1e-2,100,0.0,0.0,0.0,0.0455141763149142,0.2730850578894855,False,nnaa
custom_scm_noise1e-2,200,0.0,-0.1707499999999999,0.0,0.0015731036997465,0.0094386221984791,False,nnaa
custom_scm_noise1e-2,500,0.0,-0.15825,0.0,0.0027094242270055,0.0162565453620331,False,nnaa
