dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,is_significant,metric
csuite_large_backdoor,20,-0.00325,-0.007,0.0002499999999999,0.0242061146374705,0.0726183439124115,False,nnaa
csuite_large_backdoor,50,-0.002125,-0.0055,0.0011249999999999,0.1141218030567657,0.2282436061135315,False,nnaa
csuite_large_backdoor,100,-0.001,-0.0035,0.0016249999999999,0.4230486894238128,1.0,False,nnaa
csuite_large_backdoor,200,-0.0003749999999999,-0.0032499999999999,0.0025,0.7806220962331105,1.0,False,nnaa
csuite_large_backdoor,500,-0.0018749999999999,-0.004875,0.00125,0.130746705847792,0.5229868233911683,False,nnaa
csuite_mixed_confounding,20,0.02375,0.0185,0.02925,2.4030785388028687e-15,9.612314155211476e-15,True,nnaa
csuite_mixed_confounding,50,0.024875,0.0211249999999999,0.0286249999999999,1.0038012960623216e-17,5.019006480311609e-17,True,nnaa
csuite_mixed_confounding,100,0.02225,0.0191249999999999,0.0256249999999999,4.266082629108709e-18,2.3370128638635396e-17,True,nnaa
csuite_mixed_confounding,200,0.0175,0.014375,0.02075,7.341947562236003e-17,3.6709737811180016e-16,True,nnaa
csuite_mixed_confounding,500,0.0121249999999999,0.00925,0.0147499999999999,4.0555013948983357e-14,2.0277506974491683e-13,True,nnaa
csuite_mixed_simpson,20,0.0127499999999999,0.0072499999999999,0.018125,9.576142857928825e-08,3.830457143171529e-07,True,nnaa
csuite_mixed_simpson,50,0.0087500000000001,0.0049999999999998,0.01225,1.1458587973989969e-07,4.5834351895959867e-07,True,nnaa
csuite_mixed_simpson,100,0.00825,0.0048749999999999,0.0117499999999999,3.8804712864880206e-08,1.5521885145952082e-07,True,nnaa
csuite_mixed_simpson,200,0.0066249999999999,0.003,0.010125,4.652145708511965e-06,2.326072854255982e-05,True,nnaa
csuite_mixed_simpson,500,0.003,-5.377642775528102e-17,0.006125,0.0194692131348482,0.0584076394045448,False,nnaa
csuite_nonlin_simpson,20,0.0042499999999999,0.000625,0.0081249999999999,0.0038322930254319,0.0153291721017277,True,nnaa
csuite_nonlin_simpson,50,0.0095,0.0058749999999999,0.0131249999999999,7.62874660820179e-09,3.051498643280716e-08,True,nnaa
csuite_nonlin_simpson,100,0.010625,0.0073749999999999,0.0142499999999999,1.8356516255152032e-11,7.342606502060813e-11,True,nnaa
csuite_nonlin_simpson,200,0.009875,0.007125,0.0127499999999999,6.585602852659125e-12,2.8491573264804648e-11,True,nnaa
csuite_nonlin_simpson,500,0.006,0.002875,0.00925,8.950261954973241e-07,5.370157172983945e-06,True,nnaa
csuite_symprod_simpson,20,0.0036249999999999,-5.551115123125783e-17,0.007125,0.018767743005726,0.0563032290171781,False,nnaa
csuite_symprod_simpson,50,0.0015000000000001,-0.001875,0.0053749999999999,0.2802987976040331,0.8408963928120993,False,nnaa
csuite_symprod_simpson,100,0.0024999999999999,-0.0005,0.005375,0.0371924823970588,0.136106693412418,False,nnaa
csuite_symprod_simpson,200,0.0008749999999999,-0.00225,0.004,0.4692062604399423,1.0,False,nnaa
csuite_symprod_simpson,500,-0.0011249999999999,-0.0039999999999999,0.0019999999999999,0.3452572746964092,1.0,False,nnaa
csuite_weak_arrows,20,-0.000375,-0.003375,0.0024999999999999,0.7078233399921108,1.0,False,nnaa
csuite_weak_arrows,50,0.0042499999999999,0.00125,0.007,0.0004989166997583,0.0014967500992749,True,nnaa
csuite_weak_arrows,100,0.0037499999999999,0.0007499999999999,0.0067499999999999,0.003433111389768,0.0102993341693043,True,nnaa
csuite_weak_arrows,200,0.004125,0.00125,0.007375,0.0003399231078491,0.0016996155392458,True,nnaa
csuite_weak_arrows,500,0.0012499999999999,-0.001375,0.0038749999999999,0.2177045300162315,0.4652823764663079,False,nnaa
custom_scm_noise1e-2,20,0.01,0.00575,0.0148749999999999,2.1795638043545365e-07,1.0897819021772682e-06,True,nnaa
custom_scm_noise1e-2,50,0.005,0.001375,0.008625,0.0004004464066567,0.0024026784399406,True,nnaa
custom_scm_noise1e-2,100,0.0019999999999998,-0.0017499999999999,0.0054999999999999,0.1383583249343059,0.4925417752438348,False,nnaa
custom_scm_noise1e-2,200,0.0015,-0.0014999999999999,0.0045,0.1632418142144004,0.6529672568576017,False,nnaa
custom_scm_noise1e-2,500,0.001125,-0.001375,0.0036249999999999,0.2268142461289242,0.8156590989675165,False,nnaa
