dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,is_significant,metric
csuite_large_backdoor,20,0.0193749999999999,0.0151249999999999,0.0239999999999999,6.029551553175178e-16,3.6177309319051065e-15,True,nnaa
csuite_large_backdoor,50,0.0163749999999999,0.01275,0.019875,1.3412073039050012e-15,8.047243823430007e-15,True,nnaa
csuite_large_backdoor,100,0.0145,0.0106250000000001,0.018125,2.6045956669693377e-13,1.562757400181603e-12,True,nnaa
csuite_large_backdoor,200,0.00875,0.005,0.0124999999999999,3.7688933343740716e-08,2.2613360006244426e-07,True,nnaa
csuite_large_backdoor,500,0.0014375,-0.0012499999999999,0.0038750000000001,0.1388161034992299,0.5229868233911683,False,nnaa
csuite_mixed_confounding,20,0.0383125,0.03275,0.0438749999999999,5.268614659479794e-18,2.6378230728337316e-17,True,nnaa
csuite_mixed_confounding,50,0.036375,0.0322499999999999,0.040875,4.395630140527694e-18,2.6373780843166165e-17,True,nnaa
csuite_mixed_confounding,100,0.0277499999999999,0.024375,0.0312499999999998,3.895021439772566e-18,2.3370128638635396e-17,True,nnaa
csuite_mixed_confounding,200,0.019625,0.0165,0.0225,4.533207986324181e-17,2.719924791794508e-16,True,nnaa
csuite_mixed_confounding,500,0.0114999999999999,0.0084999999999999,0.0143749999999999,2.122147194614657e-13,8.488588778458627e-13,True,nnaa
csuite_mixed_simpson,20,0.0202499999999999,0.014625,0.0262499999999999,4.3929201159478844e-13,2.6357520695687304e-12,True,nnaa
csuite_mixed_simpson,50,0.0101249999999999,0.0057500000000001,0.0145,4.712901904994651e-08,2.827741142996791e-07,True,nnaa
csuite_mixed_simpson,100,0.0105,0.006875,0.0139999999999999,3.9480204371425536e-10,2.368812262285532e-09,True,nnaa
csuite_mixed_simpson,200,0.004375,0.000875,0.0082499999999999,0.0018818400916515,0.0075273603666061,True,nnaa
csuite_mixed_simpson,500,0.0049999999999999,0.0016249999999999,0.008375,0.0001677067812961,0.0008385339064806,True,nnaa
csuite_nonlin_simpson,20,0.00825,0.003875,0.0128749999999999,3.6615785410896294e-06,2.1969471246537777e-05,True,nnaa
csuite_nonlin_simpson,50,0.0126874999999999,0.009125,0.0162499999999999,2.173615589874185e-12,1.0868077949370923e-11,True,nnaa
csuite_nonlin_simpson,100,0.0144999999999999,0.01025,0.018625,4.8781490540161175e-14,2.9268894324096705e-13,True,nnaa
csuite_nonlin_simpson,200,0.01125,0.008125,0.015125,6.02566905031007e-13,3.6154014301860417e-12,True,nnaa
csuite_nonlin_simpson,500,0.0055,0.002125,0.0091249999999999,6.794906425860977e-05,0.0002717962570344,True,nnaa
csuite_symprod_simpson,20,0.0141250000000001,0.008625,0.0191249999999999,1.932865444972748e-09,9.66432722486374e-09,True,nnaa
csuite_symprod_simpson,50,0.00725,0.00275,0.0122499999999998,4.347248734152874e-05,0.0002173624367076,True,nnaa
csuite_symprod_simpson,100,0.003875,0.0003749999999999,0.007875,0.0051838611622616,0.0259193058113081,True,nnaa
csuite_symprod_simpson,200,0.0033749999999999,0.0001249999999999,0.0067499999999999,0.0085299052599951,0.0426495262999759,True,nnaa
csuite_symprod_simpson,500,0.0009999999999999,-0.002125,0.0039999999999998,0.428043644798597,1.0,False,nnaa
csuite_weak_arrows,20,0.017625,0.0135,0.022125,2.7601015358335066e-15,1.656060921500104e-14,True,nnaa
csuite_weak_arrows,50,0.0143749999999999,0.0108749999999999,0.0182499999999999,2.6877018061704588e-14,1.6126210837022753e-13,True,nnaa
csuite_weak_arrows,100,0.0114999999999999,0.0076249999999998,0.0154999999999999,2.8639149145711923e-10,1.718348948742715e-09,True,nnaa
csuite_weak_arrows,200,0.007125,0.004,0.010125,1.0352066030154874e-08,6.211239618092924e-08,True,nnaa
csuite_weak_arrows,500,0.0028749999999999,-0.00025,0.006375,0.0196514962840178,0.0982574814200893,False,nnaa
custom_scm_noise1e-2,20,0.0095000000000001,0.005125,0.01425,2.016066979771366e-06,8.064267919085464e-06,True,nnaa
custom_scm_noise1e-2,50,0.004875,0.001125,0.00825,0.0009349456216653,0.0046747281083268,True,nnaa
custom_scm_noise1e-2,100,0.002125,-0.0015,0.0058749999999999,0.0985083550487669,0.4925417752438348,False,nnaa
custom_scm_noise1e-2,200,0.0022499999999999,-0.0006249999999999,0.0047499999999999,0.0486210580377516,0.2431052901887583,False,nnaa
custom_scm_noise1e-2,500,0.0011874999999999,-0.0012499999999999,0.0034999999999999,0.2039147747418791,0.8156590989675165,False,nnaa
