dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,is_significant,metric
csuite_large_backdoor,20,-0.0015,-0.0053749999999999,0.0027499999999998,0.3871790673200335,0.6346210157258283,False,nnaa
csuite_large_backdoor,50,-0.0003749999999999,-0.0038749999999999,0.0032499999999999,0.7714030267331234,0.7714030267331234,False,nnaa
csuite_large_backdoor,100,-0.0005624999999999,-0.004125,0.003125,0.7103829481386195,1.0,False,nnaa
csuite_large_backdoor,200,0.000875,-0.001875,0.003875,0.3947739708598338,1.0,False,nnaa
csuite_large_backdoor,500,-0.002,-0.0047499999999999,0.0008750000000001,0.0780409975162345,0.3902049875811727,False,nnaa
csuite_mixed_confounding,20,0.00275,-0.001375,0.0068749999999999,0.0978105560216343,0.1956211120432686,False,nnaa
csuite_mixed_confounding,50,-0.00725,-0.01025,-0.003875,3.9449334786063085e-06,7.889866957212617e-06,True,nnaa
csuite_mixed_confounding,100,-0.0052499999999999,-0.0077499999999999,-0.0023749999999998,0.0004769438552736,0.0004769438552736,True,nnaa
csuite_mixed_confounding,200,-0.00025,-0.002375,0.002,0.8405848663496095,0.8405848663496095,False,nnaa
csuite_mixed_confounding,500,0.001625,-0.000875,0.00425,0.1277102612531485,0.2033981917188385,False,nnaa
csuite_mixed_simpson,20,0.0012499999999999,-0.0028749999999998,0.0051249999999999,0.4734379268086566,0.9468758536173132,False,nnaa
csuite_mixed_simpson,50,0.0004999999999999,-0.0027499999999999,0.003625,0.7270941280323091,1.0,False,nnaa
csuite_mixed_simpson,100,0.0009999999999999,-0.0021249999999999,0.00375,0.4755606371601759,0.951121274320352,False,nnaa
csuite_mixed_simpson,200,0.0005,-0.002875,0.004125,0.723225239225837,0.723225239225837,False,nnaa
csuite_mixed_simpson,500,0.0011249999999999,-0.0018749999999999,0.004,0.3685799251802513,0.4444641497722621,False,nnaa
csuite_nonlin_simpson,20,-0.0017499999999999,-0.0051249999999999,0.0019999999999999,0.3039216576354989,0.6078433152709979,False,nnaa
csuite_nonlin_simpson,50,-0.0029999999999998,-0.0061249999999999,0.0001250000000001,0.0255356339963379,0.0766069019890138,False,nnaa
csuite_nonlin_simpson,100,-0.0033749999999999,-0.0063749999999999,-0.0002499999999999,0.0110551064239682,0.0331653192719047,True,nnaa
csuite_nonlin_simpson,200,-0.0034999999999999,-0.0063749999999999,-0.0004999999999999,0.0048880727353403,0.014664218206021,True,nnaa
csuite_nonlin_simpson,500,-0.0032499999999999,-0.006,-0.0002499999999999,0.009767087170061,0.0293012615101832,True,nnaa
csuite_symprod_simpson,20,-0.01,-0.014375,-0.0054999999999999,9.190181763199052e-07,3.6760727052796206e-06,True,nnaa
csuite_symprod_simpson,50,-0.0144999999999999,-0.01875,-0.01025,6.664024982001076e-13,3.998414989200645e-12,True,nnaa
csuite_symprod_simpson,100,-0.01275,-0.0165,-0.009,2.4061818572517385e-11,1.443709114351043e-10,True,nnaa
csuite_symprod_simpson,200,-0.0067499999999999,-0.0099999999999999,-0.0036249999999999,6.795541696576807e-08,4.0773250179460836e-07,True,nnaa
csuite_symprod_simpson,500,-0.004625,-0.0075,-0.001875,2.170926303040058e-05,0.0001302555781824,True,nnaa
csuite_weak_arrows,20,-0.0003749999999999,-0.004375,0.003625,0.8258272558431337,1.0,False,nnaa
csuite_weak_arrows,50,0.002625,-0.000875,0.006375,0.1038769066426482,0.1038769066426482,False,nnaa
csuite_weak_arrows,100,-0.002125,-0.0049999999999999,0.0006249999999999,0.0768888856347727,0.1537777712695454,False,nnaa
csuite_weak_arrows,200,0.00025,-0.0026249999999999,0.003,0.8405866095096998,0.8405866095096998,False,nnaa
csuite_weak_arrows,500,-0.00225,-0.0055,0.000875,0.0611799379688768,0.2447197518755072,False,nnaa
custom_scm_noise1e-2,20,0.0074999999999999,0.0034999999999999,0.01175,2.3995997099106233e-05,7.19879912973187e-05,True,nnaa
custom_scm_noise1e-2,50,0.0027499999999999,-0.00025,0.0058749999999998,0.0453753343081882,0.0907506686163764,False,nnaa
custom_scm_noise1e-2,100,0.0019999999999999,-0.00125,0.00525,0.1197432092154869,0.4925417752438348,False,nnaa
custom_scm_noise1e-2,200,0.0007499999999999,-0.002,0.00325,0.5102534483724386,1.0,False,nnaa
custom_scm_noise1e-2,500,-0.0001249999999999,-0.002875,0.002625,0.939702475171424,1.0,False,nnaa
