dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,is_significant,metric
csuite_large_backdoor,20,0.0054999999999999,0.000875,0.0102499999999999,0.0038114030109415,0.0152456120437662,True,nnaa
csuite_large_backdoor,50,0.0050625,0.0015,0.0085,0.0005778599415889,0.0023114397663556,True,nnaa
csuite_large_backdoor,100,0.007375,0.0039999999999999,0.010875,4.985647567093138e-07,2.492823783546569e-06,True,nnaa
csuite_large_backdoor,200,0.0048749999999999,0.00125,0.0082499999999999,0.0004329379274368,0.0021646896371843,True,nnaa
csuite_large_backdoor,500,0.0014999999999999,-0.00175,0.0044999999999999,0.2209234815410584,0.5229868233911683,False,nnaa
csuite_mixed_confounding,20,0.0031249999999999,-0.0003749999999999,0.00675,0.0306928773813182,0.0920786321439547,False,nnaa
csuite_mixed_confounding,50,0.017375,0.0138749999999999,0.02075,4.4651423724182225e-15,1.3395427117254668e-14,True,nnaa
csuite_mixed_confounding,100,0.0186249999999999,0.0154999999999999,0.022125,9.595953177740265e-18,3.838381271096106e-17,True,nnaa
csuite_mixed_confounding,200,0.0135,0.0103749999999999,0.0167499999999999,1.9894844929198458e-13,5.968453478759536e-13,True,nnaa
csuite_mixed_confounding,500,0.0092499999999999,0.006375,0.012,1.3832727019008915e-10,4.1498181057026746e-10,True,nnaa
csuite_mixed_simpson,20,0.0181875,0.0126249999999999,0.024,1.3497208375826927e-11,6.748604187913464e-11,True,nnaa
csuite_mixed_simpson,50,0.00925,0.005375,0.0129999999999999,4.995003459167763e-08,2.827741142996791e-07,True,nnaa
csuite_mixed_simpson,100,0.0099999999999999,0.006125,0.0136249999999999,2.8846571819611382e-09,1.4423285909805691e-08,True,nnaa
csuite_mixed_simpson,200,0.0021249999999999,-0.0012499999999999,0.0053749999999999,0.1347344328187092,0.2694688656374185,False,nnaa
csuite_mixed_simpson,500,0.0015,-0.0013749999999999,0.0043749999999999,0.222232074886131,0.4444641497722621,False,nnaa
csuite_nonlin_simpson,20,0.0057500000000001,0.00175,0.0096249999999999,0.0004800656727045,0.0024003283635229,True,nnaa
csuite_nonlin_simpson,50,0.012625,0.009,0.0163749999999999,2.041144640769973e-13,1.2246867844619838e-12,True,nnaa
csuite_nonlin_simpson,100,0.0133749999999999,0.0092499999999999,0.0174999999999999,1.898520651406574e-12,9.49260325703287e-12,True,nnaa
csuite_nonlin_simpson,200,0.0105,0.007125,0.0142499999999998,5.6983146529609286e-12,2.8491573264804648e-11,True,nnaa
csuite_nonlin_simpson,500,0.006625,0.0034999999999999,0.00975,9.189332267850384e-07,5.370157172983945e-06,True,nnaa
csuite_symprod_simpson,20,0.013875,0.0086249999999999,0.0192499999999999,1.0861984586457579e-09,6.517190751874547e-09,True,nnaa
csuite_symprod_simpson,50,0.0061249999999999,0.0021249999999999,0.0101249999999999,0.0003289508164779,0.0013158032659116,True,nnaa
csuite_symprod_simpson,100,0.002875,-0.0005,0.0065,0.0340266733531045,0.136106693412418,False,nnaa
csuite_symprod_simpson,200,0.0018749999999999,-0.00125,0.005,0.1201542990601952,0.4806171962407811,False,nnaa
csuite_symprod_simpson,500,0.0003749999999999,-0.0026249999999999,0.0032499999999999,0.804473920366434,1.0,False,nnaa
csuite_weak_arrows,20,0.003,-0.0007500000000001,0.00675,0.0526812393203241,0.2107249572812966,False,nnaa
csuite_weak_arrows,50,0.008,0.0046249999999999,0.011375,4.318744646791451e-08,2.1593723233957257e-07,True,nnaa
csuite_weak_arrows,100,0.0044999999999999,0.0013749999999998,0.007625,0.0006683283487446,0.0026733133949787,True,nnaa
csuite_weak_arrows,200,0.0044999999999999,0.001625,0.007375,0.0004414401182661,0.0016996155392458,True,nnaa
csuite_weak_arrows,500,0.0016249999999999,-0.001625,0.0047499999999998,0.2375725614945234,0.4652823764663079,False,nnaa
custom_scm_noise1e-2,20,0.0138749999999999,0.009375,0.0182499999999999,2.0176065521096484e-11,1.210563931265789e-10,True,nnaa
custom_scm_noise1e-2,50,0.003875,0.000875,0.006875,0.0012365151584375,0.0049460606337503,True,nnaa
custom_scm_noise1e-2,100,0.0016249999999999,-0.0015,0.004625,0.1606628067329412,0.4925417752438348,False,nnaa
custom_scm_noise1e-2,200,0.0007500000000001,-0.0014999999999999,0.0031249999999999,0.393816520581744,1.0,False,nnaa
custom_scm_noise1e-2,500,-0.0002499999999999,-0.0025000000000001,0.002125,0.7938458738008608,1.0,False,nnaa
simglucose,20,0.00175,-0.00225,0.0058749999999999,0.3622088835627159,0.3622088835627159,False,nnaa
simglucose,50,0.0130624999999999,0.00975,0.016125,4.78171082049148e-11,4.78171082049148e-11,True,nnaa
simglucose,100,0.017625,0.015,0.02025,6.3668399989971305e-15,6.3668399989971305e-15,True,nnaa
simglucose,200,0.0306875,0.02725,0.0344999999999999,9.04145171412122e-18,9.04145171412122e-18,True,nnaa
simglucose,500,0.0391249999999999,0.035375,0.042625,9.040453871366809e-18,9.040453871366809e-18,True,nnaa
