dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,is_significant,metric
csuite_large_backdoor,20,0.014125,0.0094999999999999,0.018625,9.217326339416498e-12,4.6086631697082486e-11,True,nnaa
csuite_large_backdoor,50,0.0111249999999999,0.007125,0.0151249999999999,7.439458507389674e-10,3.7197292536948372e-09,True,nnaa
csuite_large_backdoor,100,0.0067499999999999,0.0034999999999999,0.009875,1.0205745365524317e-06,4.082298146209726e-06,True,nnaa
csuite_large_backdoor,200,0.0038749999999999,0.0005,0.0072499999999999,0.0042039381309202,0.016815752523681,True,nnaa
csuite_large_backdoor,500,2.5587171270657905e-17,-0.002625,0.0028749999999999,0.9821692362438816,0.9821692362438816,False,nnaa
csuite_mixed_confounding,20,0.034625,0.03,0.0400000000000001,4.3963717880562196e-18,2.6378230728337316e-17,True,nnaa
csuite_mixed_confounding,50,0.019375,0.015875,0.023,1.0098458905675527e-16,4.039383562270211e-16,True,nnaa
csuite_mixed_confounding,100,0.0086249999999999,0.005125,0.011875,6.35431035806277e-08,1.906293107418831e-07,True,nnaa
csuite_mixed_confounding,200,0.005625,0.0031250000000001,0.00825,1.867332915125918e-06,3.734665830251836e-06,True,nnaa
csuite_mixed_confounding,500,0.001875,-0.0007499999999999,0.00475,0.1016990958594192,0.2033981917188385,False,nnaa
csuite_mixed_simpson,20,0.0024999999999999,-0.00075,0.0056249999999999,0.0611808945512277,0.1835426836536831,False,nnaa
csuite_mixed_simpson,50,0.0007499999999999,-0.0026249999999999,0.003875,0.6024283525931371,1.0,False,nnaa
csuite_mixed_simpson,100,0.00075,-0.0018749999999999,0.003375,0.501450085049314,0.951121274320352,False,nnaa
csuite_mixed_simpson,200,0.0025,-0.0003749999999998,0.005375,0.0305618064673614,0.0916854194020844,False,nnaa
csuite_mixed_simpson,500,0.0036249999999999,0.000875,0.0064999999999999,0.0015325333758022,0.0061301335032091,True,nnaa
csuite_nonlin_simpson,20,0.003,0.0002499999999999,0.0058749999999999,0.0113300649979274,0.0339901949937822,True,nnaa
csuite_nonlin_simpson,50,-0.000125,-0.0026249999999999,0.0021249999999999,0.9123865075432114,1.0,False,nnaa
csuite_nonlin_simpson,100,0.001375,-0.00075,0.0034999999999999,0.1429905620518879,0.2859811241037758,False,nnaa
csuite_nonlin_simpson,200,0.0006249999999999,-0.0016249999999999,0.0028749999999999,0.5763418764501611,1.0,False,nnaa
csuite_nonlin_simpson,500,-0.0011249999999998,-0.003125,0.001125,0.2888110751445586,0.5776221502891172,False,nnaa
csuite_symprod_simpson,20,-0.0002499999999999,-0.004,0.00325,0.8743263776049599,1.0,False,nnaa
csuite_symprod_simpson,50,0.001,-0.0017500000000001,0.004125,0.3778074399305074,0.8408963928120993,False,nnaa
csuite_symprod_simpson,100,0.001,-0.0023749999999998,0.0042499999999999,0.4660439985225769,0.6346210157258283,False,nnaa
csuite_symprod_simpson,200,0.0014999999999999,-0.0025,0.005375,0.3778123738051212,1.0,False,nnaa
csuite_symprod_simpson,500,0.000625,-0.0022499999999999,0.00325,0.545079571179434,1.0,False,nnaa
csuite_weak_arrows,20,0.0147499999999999,0.0108749999999999,0.0187500000000001,1.2876440756478051e-14,6.438220378239025e-14,True,nnaa
csuite_weak_arrows,50,0.00625,0.0035,0.0093749999999999,4.0523883697520513e-07,1.6209553479008203e-06,True,nnaa
csuite_weak_arrows,100,0.0073749999999999,0.0043749999999998,0.010375,1.0040749522744677e-07,5.020374761372339e-07,True,nnaa
csuite_weak_arrows,200,0.00275,0.000125,0.0057499999999999,0.0188544287920814,0.0377088575841629,True,nnaa
csuite_weak_arrows,500,0.0013750000000001,-0.0012499999999999,0.0042499999999999,0.1550941254887693,0.4652823764663079,False,nnaa
custom_scm_noise1e-2,20,-0.0039374999999999,-0.0072499999999999,-0.00075,0.006331888951003,0.012663777902006,True,nnaa
custom_scm_noise1e-2,50,0.000625,-0.0025000000000001,0.00375,0.6623501055762251,0.6623501055762251,False,nnaa
custom_scm_noise1e-2,100,0.0001249999999999,-0.0031249999999999,0.003375,0.9301315274374008,0.9301315274374008,False,nnaa
custom_scm_noise1e-2,200,0.0009999999999999,-0.0017499999999999,0.0035,0.3985960931010889,1.0,False,nnaa
custom_scm_noise1e-2,500,0.0013750000000001,-0.000875,0.004,0.103877162137097,0.5193858106854852,False,nnaa
