algorithm,column_order,actual_column_order,graph_structure,graph_nodes,graph_edges,undirected_edges,train_size,seed,repetition,categorical_cols,correlation_matrix_difference,k_marginal_tvd,nnaa,nnaa_train,nnaa_raw_original
vanilla,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0",no_graph,0,0,0,20,0,1,,1.8578069744006596,0.3487777777777778,0.22650000000000003,0.359167,0.7265
vanilla,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0",no_graph,0,0,0,20,1,2,,0.902566095588736,0.3200416666666666,0.1519999999999999,0.406667,0.6519999999999999
vanilla,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0",no_graph,0,0,0,20,2,3,,1.0795967595663307,0.3713194444444445,0.18700000000000006,0.409167,0.687
vanilla,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0",no_graph,0,0,0,20,3,4,,1.4266517179468765,0.3438055555555556,0.14725,0.3525,0.64725
vanilla,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0",no_graph,0,0,0,20,4,5,,1.7963585791234329,0.3095138888888888,0.15600000000000003,0.399167,0.656
vanilla,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0",no_graph,0,0,0,20,5,6,,1.4174113185085522,0.3145694444444444,0.16025,0.4075,0.66025
vanilla,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0",no_graph,0,0,0,20,6,7,,1.4354873882475188,0.3163194444444444,0.14050000000000007,0.4375,0.6405000000000001
vanilla,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0",no_graph,0,0,0,20,7,8,,2.2505387335386997,0.3324583333333333,0.13524999999999998,0.404167,0.63525
vanilla,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0",no_graph,0,0,0,20,8,9,,1.379413797204875,0.3164861111111112,0.16274999999999995,0.359167,0.66275
vanilla,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0",no_graph,0,0,0,20,9,10,,1.2154230714674277,0.3120138888888888,0.12824999999999998,0.4325,0.62825
