dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,comparison,is_significant
custom_scm_noise1e-2,20,0.0174166666666666,0.0110416666666666,0.0235833333333333,2.038204743774057e-09,8.152818975096231e-09,k_marginal_tvd,vanilla_vs_dag,True
custom_scm_noise1e-2,50,0.0069583333333334,0.0039583333333333,0.0102499999999999,8.38410289924689e-08,3.353641159698756e-07,k_marginal_tvd,vanilla_vs_dag,True
custom_scm_noise1e-2,100,0.0032083333333332,0.0002916666666666,0.0060833333333332,0.0058544219842768,0.0234176879371073,k_marginal_tvd,vanilla_vs_dag,True
custom_scm_noise1e-2,200,0.0036666666666666,0.001375,0.0057916666666667,0.0001410507671173,0.0005642030684692,k_marginal_tvd,vanilla_vs_dag,True
custom_scm_noise1e-2,500,0.0026666666666666,4.166666666670371e-05,0.0050416666666667,0.0150596845486261,0.0451790536458785,k_marginal_tvd,vanilla_vs_dag,True
custom_scm_noise1e-2,20,0.017625,0.0113749999999999,0.0243333333333333,4.5040692166900385e-10,2.252034608345019e-09,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
custom_scm_noise1e-2,50,0.0073333333333332,0.0040833333333333,0.0106666666666667,4.9470442511348166e-08,2.720336220000364e-07,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
custom_scm_noise1e-2,100,0.0033124999999999,0.0003333333333333,0.0062916666666666,0.0042964371873852,0.0214821859369263,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
custom_scm_noise1e-2,200,0.0041458333333333,0.0017083333333333,0.0066249999999999,3.082759069813824e-05,0.0001541379534906,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
custom_scm_noise1e-2,500,0.0032083333333334,0.0003333333333334,0.0059583333333333,0.0039384455457844,0.0196922277289222,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
