dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,comparison,is_significant
custom_scm_noise1e-2,20,0.0138749999999999,0.009375,0.0182499999999999,2.0176065521096484e-11,1.210563931265789e-10,nnaa,original_vs_topological,True
custom_scm_noise1e-2,50,0.003875,0.000875,0.006875,0.0012365151584375,0.0049460606337503,nnaa,original_vs_topological,True
custom_scm_noise1e-2,100,0.0016249999999999,-0.0015,0.004625,0.1606628067329412,0.4925417752438348,nnaa,original_vs_topological,False
custom_scm_noise1e-2,200,0.0007500000000001,-0.0014999999999999,0.0031249999999999,0.393816520581744,1.0,nnaa,original_vs_topological,False
custom_scm_noise1e-2,500,-0.0002499999999999,-0.0025000000000001,0.002125,0.7938458738008608,1.0,nnaa,original_vs_topological,False
custom_scm_noise1e-2,20,0.0074999999999999,0.0034999999999999,0.01175,2.3995997099106233e-05,7.19879912973187e-05,nnaa,original_vs_worst,True
custom_scm_noise1e-2,50,0.0027499999999999,-0.00025,0.0058749999999998,0.0453753343081882,0.0907506686163764,nnaa,original_vs_worst,False
custom_scm_noise1e-2,100,0.0019999999999999,-0.00125,0.00525,0.1197432092154869,0.4925417752438348,nnaa,original_vs_worst,False
custom_scm_noise1e-2,200,0.0007499999999999,-0.002,0.00325,0.5102534483724386,1.0,nnaa,original_vs_worst,False
custom_scm_noise1e-2,500,-0.0001249999999999,-0.002875,0.002625,0.939702475171424,1.0,nnaa,original_vs_worst,False
