dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,is_significant
custom_scm_noise1e-2,20,0.0174166666666666,0.0110416666666666,0.0235833333333333,2.038204743774057e-09,8.152818975096231e-09,k_marginal_tvd,True
custom_scm_noise1e-2,50,0.0069583333333334,0.0039583333333333,0.0102499999999999,8.38410289924689e-08,3.353641159698756e-07,k_marginal_tvd,True
custom_scm_noise1e-2,100,0.0032083333333332,0.0002916666666666,0.0060833333333332,0.0058544219842768,0.0234176879371073,k_marginal_tvd,True
custom_scm_noise1e-2,200,0.0036666666666666,0.001375,0.0057916666666667,0.0001410507671173,0.0005642030684692,k_marginal_tvd,True
custom_scm_noise1e-2,500,0.0026666666666666,4.166666666670371e-05,0.0050416666666667,0.0150596845486261,0.0451790536458785,k_marginal_tvd,True
custom_scm_noise1e-2,20,0.0095000000000001,0.005125,0.01425,2.016066979771366e-06,8.064267919085464e-06,nnaa,True
custom_scm_noise1e-2,50,0.004875,0.001125,0.00825,0.0009349456216653,0.0046747281083268,nnaa,True
custom_scm_noise1e-2,100,0.002125,-0.0015,0.0058749999999999,0.0985083550487669,0.4925417752438348,nnaa,False
custom_scm_noise1e-2,200,0.0022499999999999,-0.0006249999999999,0.0047499999999999,0.0486210580377516,0.2431052901887583,nnaa,False
custom_scm_noise1e-2,500,0.0011874999999999,-0.0012499999999999,0.0034999999999999,0.2039147747418791,0.8156590989675165,nnaa,False
