dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,is_significant
custom_scm_noise1e-2,20,0.004,0.0007916666666665,0.0071666666666666,0.0038323451440732,0.0114970354322196,k_marginal_tvd,True
custom_scm_noise1e-2,50,0.0014999999999999,-0.0004999999999999,0.0036666666666666,0.0590731265329734,0.1673228793276725,k_marginal_tvd,False
custom_scm_noise1e-2,100,0.0011041666666666,-0.0011666666666666,0.0034166666666666,0.2362091981362328,0.4724183962724657,k_marginal_tvd,False
custom_scm_noise1e-2,200,0.0007916666666667,-0.0009166666666666,0.0024166666666666,0.2719613583986485,0.5439227167972971,k_marginal_tvd,False
custom_scm_noise1e-2,500,0.0013333333333333,-0.0009583333333333,0.0036249999999999,0.2157855954441691,0.2494545889048505,k_marginal_tvd,False
custom_scm_noise1e-2,20,-0.0039374999999999,-0.0072499999999999,-0.00075,0.006331888951003,0.012663777902006,nnaa,True
custom_scm_noise1e-2,50,0.000625,-0.0025000000000001,0.00375,0.6623501055762251,0.6623501055762251,nnaa,False
custom_scm_noise1e-2,100,0.0001249999999999,-0.0031249999999999,0.003375,0.9301315274374008,0.9301315274374008,nnaa,False
custom_scm_noise1e-2,200,0.0009999999999999,-0.0017499999999999,0.0035,0.3985960931010889,1.0,nnaa,False
custom_scm_noise1e-2,500,0.0013750000000001,-0.000875,0.004,0.103877162137097,0.5193858106854852,nnaa,False
