algorithm,column_order,actual_column_order,graph_structure,graph_nodes,graph_edges,undirected_edges,train_size,seed,repetition,categorical_cols,correlation_matrix_difference,k_marginal_tvd,nnaa,nnaa_raw_original
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,0,1,,0.6725801048264279,0.2921666666666667,0.07674999999999998,0.57675
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,1,2,,0.2714356080314628,0.2324166666666666,0.012750000000000039,0.51275
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,2,3,,0.4994724594030761,0.2700833333333334,0.03574999999999995,0.53575
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,3,4,,0.253884563994034,0.3727500000000001,0.1107499999999999,0.6107499999999999
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,4,5,,0.6461478496311402,0.28825,0.04849999999999999,0.5485
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,5,6,,0.1445217113266901,0.2793333333333334,0.06400000000000006,0.5640000000000001
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,6,7,,0.5138478034139964,0.2661666666666667,0.03425,0.53425
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,7,8,,0.3871432219154315,0.2963333333333333,0.0685,0.5685
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,8,9,,0.9381127888436728,0.34225,0.11024999999999996,0.61025
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,9,10,,0.2595976521932817,0.2846666666666667,0.07550000000000001,0.5755
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,10,11,,0.2792198139783257,0.2733333333333333,0.07574999999999998,0.57575
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,11,12,,1.0738348742461596,0.3095833333333333,0.07424999999999993,0.5742499999999999
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,12,13,,0.5973125457480039,0.38425,0.14375000000000004,0.64375
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,13,14,,0.5935369851184937,0.256,0.03300000000000003,0.533
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,14,15,,0.3600722101951614,0.2645,0.043749999999999956,0.54375
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,15,16,,0.2851799372530273,0.2791666666666667,0.0442499999999999,0.5442499999999999
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,16,17,,0.256043758643992,0.23925,0.03400000000000003,0.534
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,17,18,,0.7513457982872467,0.3208333333333333,0.08424999999999994,0.5842499999999999
