train_size,median,ci_lower,ci_upper,n_seeds,dataset,metric,metric_title,dataset_label
20,0.16663548606888046,0.1328710016854585,0.19996717736700287,100,csuite_large_backdoor,correlation_matrix_difference,Correlation Matrix Difference,csuite large backdoor
50,0.1562925216891008,0.13508308270737457,0.17713911893560627,100,csuite_large_backdoor,correlation_matrix_difference,Correlation Matrix Difference,csuite large backdoor
100,0.12267859291762673,0.10604868021061614,0.14359467519818708,100,csuite_large_backdoor,correlation_matrix_difference,Correlation Matrix Difference,csuite large backdoor
200,0.11162618733852947,0.09143849784813646,0.12721416122999515,100,csuite_large_backdoor,correlation_matrix_difference,Correlation Matrix Difference,csuite large backdoor
500,0.1005297450830474,0.08488855485317567,0.11314066622097418,100,csuite_large_backdoor,correlation_matrix_difference,Correlation Matrix Difference,csuite large backdoor
20,0.008250000000000118,0.007242881944444514,0.009055902777777734,100,csuite_large_backdoor,k_marginal_tvd,k-Marginal Total Variation Distance,csuite large backdoor
50,0.006298611111111158,0.005339756944444539,0.007361111111111096,100,csuite_large_backdoor,k_marginal_tvd,k-Marginal Total Variation Distance,csuite large backdoor
100,0.0056597222222222465,0.004826388888888866,0.006708333333333344,100,csuite_large_backdoor,k_marginal_tvd,k-Marginal Total Variation Distance,csuite large backdoor
200,0.00488194444444448,0.004250000000000198,0.0054652777777777495,100,csuite_large_backdoor,k_marginal_tvd,k-Marginal Total Variation Distance,csuite large backdoor
500,0.004729166666666604,0.004110937500000008,0.005444444444444502,100,csuite_large_backdoor,k_marginal_tvd,k-Marginal Total Variation Distance,csuite large backdoor
20,0.02112499999999995,0.017000000000000015,0.023500000000000076,100,csuite_large_backdoor,nnaa,Nearest-Neighbor Adversarial Accuracy,csuite large backdoor
50,0.016749999999999987,0.014249999999999985,0.019749999999999934,100,csuite_large_backdoor,nnaa,Nearest-Neighbor Adversarial Accuracy,csuite large backdoor
100,0.01700000000000007,0.015249999999999986,0.019878124999999972,100,csuite_large_backdoor,nnaa,Nearest-Neighbor Adversarial Accuracy,csuite large backdoor
200,0.014124999999999943,0.011749999999999983,0.016874999999999973,100,csuite_large_backdoor,nnaa,Nearest-Neighbor Adversarial Accuracy,csuite large backdoor
500,0.013375000000000026,0.01200000000000001,0.014374999999999971,100,csuite_large_backdoor,nnaa,Nearest-Neighbor Adversarial Accuracy,csuite large backdoor
