train_size,median,ci_lower,ci_upper,n_seeds,dataset,metric,metric_title,dataset_label
20,0.0880600520330348,0.07725523248217225,0.09965111795643435,100,csuite_mixed_confounding,correlation_matrix_difference,Correlation Matrix Difference,csuite mixed confounding
50,0.14281030642135367,0.11610977914204346,0.1582930616619349,100,csuite_mixed_confounding,correlation_matrix_difference,Correlation Matrix Difference,csuite mixed confounding
100,0.17724683306279518,0.16082197259265066,0.18781231483417693,100,csuite_mixed_confounding,correlation_matrix_difference,Correlation Matrix Difference,csuite mixed confounding
200,0.09019005530222732,0.08310222287139313,0.09991440655870437,100,csuite_mixed_confounding,correlation_matrix_difference,Correlation Matrix Difference,csuite mixed confounding
500,0.09432382723915411,0.07773295378155885,0.11678512992337528,100,csuite_mixed_confounding,correlation_matrix_difference,Correlation Matrix Difference,csuite mixed confounding
20,0.007746212121212043,0.006026515151515144,0.009018939393939301,100,csuite_mixed_confounding,k_marginal_tvd,k-Marginal Total Variation Distance,csuite mixed confounding
50,0.00638257575757574,0.005803030303030199,0.0075051136363636145,100,csuite_mixed_confounding,k_marginal_tvd,k-Marginal Total Variation Distance,csuite mixed confounding
100,0.00642803030303031,0.005689393939393911,0.007587594696969834,100,csuite_mixed_confounding,k_marginal_tvd,k-Marginal Total Variation Distance,csuite mixed confounding
200,0.005386363636363703,0.004609848484848564,0.006064393939393953,100,csuite_mixed_confounding,k_marginal_tvd,k-Marginal Total Variation Distance,csuite mixed confounding
500,0.004912878787878799,0.003920454545454491,0.005409090909090891,100,csuite_mixed_confounding,k_marginal_tvd,k-Marginal Total Variation Distance,csuite mixed confounding
20,0.017125,0.01550000000000007,0.021250000000000102,100,csuite_mixed_confounding,nnaa,Nearest-Neighbor Adversarial Accuracy,csuite mixed confounding
50,0.028125000000000067,0.023499999999999965,0.03125,100,csuite_mixed_confounding,nnaa,Nearest-Neighbor Adversarial Accuracy,csuite mixed confounding
100,0.027625000000000066,0.02474999999999994,0.030999999999999917,100,csuite_mixed_confounding,nnaa,Nearest-Neighbor Adversarial Accuracy,csuite mixed confounding
200,0.019374999999999976,0.01749687499999996,0.022249999999999992,100,csuite_mixed_confounding,nnaa,Nearest-Neighbor Adversarial Accuracy,csuite mixed confounding
500,0.014749999999999985,0.013250000000000095,0.018000000000000016,100,csuite_mixed_confounding,nnaa,Nearest-Neighbor Adversarial Accuracy,csuite mixed confounding
