train_size,median,ci_lower,ci_upper,n_seeds,dataset,metric,metric_title,dataset_label
20,0.1348434736039114,0.0973096109583281,0.16644556019392232,100,csuite_nonlin_simpson,correlation_matrix_difference,Correlation Matrix Difference,csuite nonlin simpson
50,0.08372928236418956,0.06535903037814152,0.0922120207526046,100,csuite_nonlin_simpson,correlation_matrix_difference,Correlation Matrix Difference,csuite nonlin simpson
100,0.07186868709676986,0.06322695337113719,0.09016835243803029,100,csuite_nonlin_simpson,correlation_matrix_difference,Correlation Matrix Difference,csuite nonlin simpson
200,0.06596387407041354,0.052967667576904194,0.07508963555672254,100,csuite_nonlin_simpson,correlation_matrix_difference,Correlation Matrix Difference,csuite nonlin simpson
500,0.05445996649649065,0.047803790660696455,0.06351899793318765,100,csuite_nonlin_simpson,correlation_matrix_difference,Correlation Matrix Difference,csuite nonlin simpson
20,0.015624999999999972,0.01404062499999998,0.018083333333333312,100,csuite_nonlin_simpson,k_marginal_tvd,k-Marginal Total Variation Distance,csuite nonlin simpson
50,0.018375000000000072,0.01616666666666669,0.021083333333333287,100,csuite_nonlin_simpson,k_marginal_tvd,k-Marginal Total Variation Distance,csuite nonlin simpson
100,0.018166666666666748,0.016083333333333283,0.019750000000000018,100,csuite_nonlin_simpson,k_marginal_tvd,k-Marginal Total Variation Distance,csuite nonlin simpson
200,0.012875000000000067,0.011624999999999996,0.014750000000000013,100,csuite_nonlin_simpson,k_marginal_tvd,k-Marginal Total Variation Distance,csuite nonlin simpson
500,0.008791666666666711,0.007333333333333303,0.009916666666666685,100,csuite_nonlin_simpson,k_marginal_tvd,k-Marginal Total Variation Distance,csuite nonlin simpson
20,0.018000000000000016,0.016250000000000098,0.019750000000000045,100,csuite_nonlin_simpson,nnaa,Nearest-Neighbor Adversarial Accuracy,csuite nonlin simpson
50,0.020750000000000046,0.018121874999999947,0.024249999999999994,100,csuite_nonlin_simpson,nnaa,Nearest-Neighbor Adversarial Accuracy,csuite nonlin simpson
100,0.020999999999999908,0.017749999999999932,0.02425000000000005,100,csuite_nonlin_simpson,nnaa,Nearest-Neighbor Adversarial Accuracy,csuite nonlin simpson
200,0.01824999999999999,0.01574999999999993,0.021750000000000047,100,csuite_nonlin_simpson,nnaa,Nearest-Neighbor Adversarial Accuracy,csuite nonlin simpson
500,0.016124999999999945,0.013621875000000054,0.017749999999999932,100,csuite_nonlin_simpson,nnaa,Nearest-Neighbor Adversarial Accuracy,csuite nonlin simpson
