train_size,median,ci_lower,ci_upper,n_seeds,dataset,metric,metric_title,dataset_label
20,0.13375335504424604,0.11565859512343729,0.16653585147067995,100,csuite_symprod_simpson,correlation_matrix_difference,Correlation Matrix Difference,csuite symprod simpson
50,0.10906113899598635,0.09532192842368076,0.13377818523307788,100,csuite_symprod_simpson,correlation_matrix_difference,Correlation Matrix Difference,csuite symprod simpson
100,0.09010862493891789,0.07912027418245385,0.11108611823270029,100,csuite_symprod_simpson,correlation_matrix_difference,Correlation Matrix Difference,csuite symprod simpson
200,0.07248820486385305,0.0618269089774055,0.08773689128534208,100,csuite_symprod_simpson,correlation_matrix_difference,Correlation Matrix Difference,csuite symprod simpson
500,0.06516770606082459,0.051374919551210325,0.0788173691973631,100,csuite_symprod_simpson,correlation_matrix_difference,Correlation Matrix Difference,csuite symprod simpson
20,0.03316666666666665,0.02857812499999999,0.036166666666666625,100,csuite_symprod_simpson,k_marginal_tvd,k-Marginal Total Variation Distance,csuite symprod simpson
50,0.02400000000000005,0.021750000000000103,0.02766666666666659,100,csuite_symprod_simpson,k_marginal_tvd,k-Marginal Total Variation Distance,csuite symprod simpson
100,0.01908333333333334,0.015583333333333282,0.020671875000000024,100,csuite_symprod_simpson,k_marginal_tvd,k-Marginal Total Variation Distance,csuite symprod simpson
200,0.011041666666666658,0.009958333333333305,0.012292708333333366,100,csuite_symprod_simpson,k_marginal_tvd,k-Marginal Total Variation Distance,csuite symprod simpson
500,0.009624999999999953,0.008166666666666683,0.01083333333333325,100,csuite_symprod_simpson,k_marginal_tvd,k-Marginal Total Variation Distance,csuite symprod simpson
20,0.028374999999999928,0.02574999999999994,0.031750000000000056,100,csuite_symprod_simpson,nnaa,Nearest-Neighbor Adversarial Accuracy,csuite symprod simpson
50,0.02400000000000002,0.02162500000000006,0.026249999999999996,100,csuite_symprod_simpson,nnaa,Nearest-Neighbor Adversarial Accuracy,csuite symprod simpson
100,0.020125000000000004,0.018250000000000096,0.022749999999999937,100,csuite_symprod_simpson,nnaa,Nearest-Neighbor Adversarial Accuracy,csuite symprod simpson
200,0.016125000000000056,0.01375000000000004,0.018500000000000072,100,csuite_symprod_simpson,nnaa,Nearest-Neighbor Adversarial Accuracy,csuite symprod simpson
500,0.015249999999999986,0.01200000000000001,0.016999999999999987,100,csuite_symprod_simpson,nnaa,Nearest-Neighbor Adversarial Accuracy,csuite symprod simpson
