train_size,median,ci_lower,ci_upper,n_seeds,dataset,metric,metric_title,dataset_label
20,0.19931530154117472,0.1641657028015445,0.22052127306290203,100,csuite_weak_arrows,correlation_matrix_difference,Correlation Matrix Difference,csuite weak arrows
50,0.2057833192606407,0.1723033978118959,0.25346576382734515,100,csuite_weak_arrows,correlation_matrix_difference,Correlation Matrix Difference,csuite weak arrows
100,0.166910889604083,0.15588740680396268,0.20019829419248664,100,csuite_weak_arrows,correlation_matrix_difference,Correlation Matrix Difference,csuite weak arrows
200,0.11796432908185156,0.08958684408469819,0.1425428196119603,100,csuite_weak_arrows,correlation_matrix_difference,Correlation Matrix Difference,csuite weak arrows
500,0.10545983721501484,0.09519862199328519,0.11568390469908994,100,csuite_weak_arrows,correlation_matrix_difference,Correlation Matrix Difference,csuite weak arrows
20,0.009006944444444415,0.007847222222222394,0.009805555555555456,100,csuite_weak_arrows,k_marginal_tvd,k-Marginal Total Variation Distance,csuite weak arrows
50,0.006770833333333309,0.005930208333333274,0.0070138888888888196,100,csuite_weak_arrows,k_marginal_tvd,k-Marginal Total Variation Distance,csuite weak arrows
100,0.00461111111111101,0.004062499999999997,0.005090277777777652,100,csuite_weak_arrows,k_marginal_tvd,k-Marginal Total Variation Distance,csuite weak arrows
200,0.0037083333333332996,0.0031111111111112033,0.004673611111111184,100,csuite_weak_arrows,k_marginal_tvd,k-Marginal Total Variation Distance,csuite weak arrows
500,0.004027777777777894,0.0033748263888888526,0.004423611111111156,100,csuite_weak_arrows,k_marginal_tvd,k-Marginal Total Variation Distance,csuite weak arrows
20,0.016875000000000084,0.015249999999999986,0.01937812500000008,100,csuite_weak_arrows,nnaa,Nearest-Neighbor Adversarial Accuracy,csuite weak arrows
50,0.015249999999999986,0.013875000000000026,0.018000000000000016,100,csuite_weak_arrows,nnaa,Nearest-Neighbor Adversarial Accuracy,csuite weak arrows
100,0.015249999999999986,0.012496874999999958,0.017000000000000015,100,csuite_weak_arrows,nnaa,Nearest-Neighbor Adversarial Accuracy,csuite weak arrows
200,0.015625,0.013500000000000068,0.016749999999999987,100,csuite_weak_arrows,nnaa,Nearest-Neighbor Adversarial Accuracy,csuite weak arrows
500,0.014000000000000012,0.01200000000000001,0.016249999999999987,100,csuite_weak_arrows,nnaa,Nearest-Neighbor Adversarial Accuracy,csuite weak arrows
