algorithm,column_order,train_size,n_rows,n_unique_seeds
cpdag_discovered,original,20,100,100
cpdag_discovered,original,50,100,100
cpdag_discovered,original,100,100,100
cpdag_discovered,original,200,100,100
cpdag_discovered,original,500,100,100
cpdag_minimal,original,20,100,100
cpdag_minimal,original,50,100,100
cpdag_minimal,original,100,100,100
cpdag_minimal,original,200,100,100
cpdag_minimal,original,500,100,100
dag,topological,20,100,100
dag,topological,50,100,100
dag,topological,100,100,100
dag,topological,200,100,100
dag,topological,500,100,100
vanilla,original,20,100,100
vanilla,original,50,100,100
vanilla,original,100,100,100
vanilla,original,200,100,100
vanilla,original,500,100,100
vanilla,reverse_topological,20,100,100
vanilla,reverse_topological,50,100,100
vanilla,reverse_topological,100,100,100
vanilla,reverse_topological,200,100,100
vanilla,reverse_topological,500,100,100
vanilla,topological,20,100,100
vanilla,topological,50,100,100
vanilla,topological,100,100,100
vanilla,topological,200,100,100
vanilla,topological,500,100,100
