algorithm,column_order,train_size,seed,corr_X0_X3,corr_X0_X2,synthetic_npz,graph_structure
vanilla,original,20,0,-0.2733275592327118,-0.2726762592792511,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm/synthetic/synthetic_vanilla_original_ts20_s0.npz,no_graph
vanilla,original,20,1,0.11417093873023987,0.10855649411678314,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm/synthetic/synthetic_vanilla_original_ts20_s1.npz,no_graph
vanilla,original,20,2,-0.22436536848545074,-0.21358907222747803,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm/synthetic/synthetic_vanilla_original_ts20_s2.npz,no_graph
vanilla,original,20,3,0.06316354870796204,0.128174290060997,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm/synthetic/synthetic_vanilla_original_ts20_s3.npz,no_graph
vanilla,original,20,4,-0.03775735944509506,0.0017002065433189273,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm/synthetic/synthetic_vanilla_original_ts20_s4.npz,no_graph
vanilla,original,20,5,-0.18038888275623322,-0.15544959902763367,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm/synthetic/synthetic_vanilla_original_ts20_s5.npz,no_graph
vanilla,original,20,6,-0.24700365960597992,-0.24662111699581146,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm/synthetic/synthetic_vanilla_original_ts20_s6.npz,no_graph
vanilla,original,20,7,0.1839587539434433,0.1748328059911728,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm/synthetic/synthetic_vanilla_original_ts20_s7.npz,no_graph
vanilla,original,20,8,-0.3885485529899597,-0.39039337635040283,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm/synthetic/synthetic_vanilla_original_ts20_s8.npz,no_graph
vanilla,original,20,9,0.03865138813853264,0.03167421743273735,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm/synthetic/synthetic_vanilla_original_ts20_s9.npz,no_graph
vanilla,original,20,10,0.15180733799934387,0.131831094622612,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm/synthetic/synthetic_vanilla_original_ts20_s10.npz,no_graph
vanilla,original,20,11,-0.4532550275325775,-0.45775309205055237,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm/synthetic/synthetic_vanilla_original_ts20_s11.npz,no_graph
vanilla,original,20,12,-0.06161244213581085,-0.062470849603414536,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm/synthetic/synthetic_vanilla_original_ts20_s12.npz,no_graph
