algorithm,column_order,train_size,n_reps,mean_corr_X0_X3,std_corr_X0_X3,mean_corr_X0_X2,std_corr_X0_X2
cpdag_discovered,original,20,100,-0.14051204546645749,0.21159304327849612,-0.1411398161633406,0.21046264011800306
cpdag_discovered,original,50,100,-0.0009835047787055374,0.1782864077179096,-0.0022216240549460054,0.17987065467292002
cpdag_discovered,original,100,100,-0.028518422099296004,0.14037641843781795,-0.028982728202827275,0.14111690787853098
cpdag_discovered,original,200,100,-0.0014976645167917013,0.1518955892317807,-0.004602751501370222,0.14726154456395923
cpdag_discovered,original,500,100,-0.01321400301763788,0.09567547704269369,-0.012471463956171647,0.09980203465269363
cpdag_minimal,original,20,100,-0.01786193869163981,0.10906242568439957,-0.01783467436907813,0.1097799221760273
cpdag_minimal,original,50,100,0.0059923403640277685,0.07650595719410261,0.005285285600548377,0.0755028203507188
cpdag_minimal,original,100,100,-0.016804884209268494,0.0625088265325852,-0.017490895985756653,0.06376574085084004
cpdag_minimal,original,200,100,-0.006113007037783973,0.07692599465184059,-0.0119933138450142,0.04223735242363509
cpdag_minimal,original,500,100,-0.003383883499773219,0.025284758305891004,-0.0034808666101889684,0.025241484682022655
dag,topological,20,100,0.0038655581249622626,0.021293362120118543,0.003525301745376055,0.020879771249567115
dag,topological,50,100,6.170966225909069e-06,0.023135024067252853,5.648347600072157e-05,0.023522521669524687
dag,topological,100,100,0.00038800552487373353,0.01964535680308644,0.00040536073060138734,0.019674289529592538
dag,topological,200,100,-0.0012696221745864022,0.02524034338423377,-0.0011009939920040778,0.02535285977738757
dag,topological,500,100,0.0007774369295657379,0.022799162190373083,0.0008554270341119264,0.02294506069117927
vanilla,original,20,100,-0.14893342878029217,0.20277877421813684,-0.14965252508060076,0.20152766186305837
vanilla,original,50,100,-0.02305025707464665,0.14277664939675355,-0.024696528133936226,0.14305665455885766
vanilla,original,100,100,-0.04233077820623293,0.1137249723432612,-0.04289208628702909,0.11391639665082592
vanilla,original,200,100,-0.028590025333687662,0.1038713091991407,-0.035265477776993064,0.08011918554634821
vanilla,original,500,100,-0.027965182478073985,0.04272564740562271,-0.02809483129181899,0.04263878540096116
vanilla,reverse_topological,20,100,-0.12671510235522873,0.19514466472317063,-0.12348639805335551,0.19712229162743491
vanilla,reverse_topological,50,100,-0.030167950502363965,0.147968507768155,-0.030895266758743673,0.14575897024449888
vanilla,reverse_topological,100,100,-0.04652957039885223,0.1012128727965882,-0.04492641318589449,0.10101539825273247
vanilla,reverse_topological,200,100,-0.03602753303362988,0.08204873419708478,-0.027689645113423467,0.11217557122683956
vanilla,reverse_topological,500,100,-0.032869111006730234,0.04021092301658724,-0.03177137256599963,0.04007750153716155
vanilla,topological,20,100,-0.017809465003665537,0.10980634107659099,-0.017875637026736512,0.10889386221365449
vanilla,topological,50,100,0.005275648942988482,0.07545870075013175,0.0058716063725296405,0.0758451745797872
vanilla,topological,100,100,-0.017480603004041768,0.06373681124918272,-0.01719499708939111,0.06342881401236275
vanilla,topological,200,100,-0.011989793034736067,0.042238042901057475,-0.01205355253223388,0.04235834487331617
vanilla,topological,500,100,-0.0034696679224725815,0.02524003206993644,-0.003455683519132435,0.02523775870542883
