algorithm,column_order,train_size,mean_corr_X0_X3_old,std_corr_X0_X3_old,mean_corr_X0_X2_old,std_corr_X0_X2_old,n_reps,mean_corr_X0_X3_new,std_corr_X0_X3_new,mean_corr_X0_X2_new,std_corr_X0_X2_new,mean_corr_X0_X3_delta,mean_corr_X0_X3_changed_3dp,std_corr_X0_X3_delta,std_corr_X0_X3_changed_3dp,mean_corr_X0_X2_delta,mean_corr_X0_X2_changed_3dp,std_corr_X0_X2_delta,std_corr_X0_X2_changed_3dp
cpdag_discovered,original,20,-0.14995784,0.20236763,-0.15064412,0.20114265,100,-0.1405120454664574,0.2115930432784961,-0.1411398161633406,0.210462640118003,0.009445794533542606,True,0.009225413278496103,True,0.0095043038366594,True,0.009319990118002996,True
cpdag_discovered,original,50,-0.024431353,0.14255987,-0.02614779,0.14284803,100,-0.0009835047787055,0.1782864077179096,-0.002221624054946,0.17987065467292,0.0234478482212945,True,0.035726537717909596,True,0.023926165945054,True,0.03702262467292,True
cpdag_discovered,original,100,-0.04262192,0.11324322,-0.043392215,0.113609456,100,-0.028518422099296,0.1403764184378179,-0.0289827282028272,0.1411169078785309,0.014103497900704,True,0.02713319843781789,True,0.014409486797172799,True,0.027507451878530903,True
cpdag_discovered,original,200,-0.028367503,0.10417319,-0.034969006,0.080617756,100,-0.0014976645167917,0.1518955892317807,-0.0046027515013702,0.1472615445639592,0.0268698384832083,True,0.047722399231780704,True,0.030366254498629796,True,0.06664378856395921,True
cpdag_discovered,original,500,-0.02801265,0.04282321,-0.028099764,0.042730954,100,-0.0132140030176378,0.0956754770426936,-0.0124714639561716,0.0998020346526936,0.0147986469823622,True,0.05285226704269359,True,0.015628300043828397,True,0.057071080652693604,True
cpdag_minimal,original,20,-0.017861938,0.109062426,-0.017834675,0.10977992,100,-0.0178619386916398,0.1090624256843995,-0.0178346743690781,0.1097799221760273,-6.916397975176292e-10,False,-3.156005040638732e-10,False,6.309219015288026e-10,False,2.176027302791539e-09,False
cpdag_minimal,original,50,0.0059923395,0.07650596,0.0052852845,0.07550282,100,0.0059923403640277,0.0765059571941026,0.0052852856005483,0.0755028203507188,8.640277000815377e-10,False,-2.8058974033129402e-09,False,1.1005483000620098e-09,False,3.5071880122306e-10,False
cpdag_minimal,original,100,-0.016804881,0.06250883,-0.0174909,0.06376574,100,-0.0168048842092684,0.0625088265325852,-0.0174908959857566,0.06376574085084,-3.209268399639864e-09,False,-3.4674147997293403e-09,False,4.014243399491635e-09,False,8.508399956808077e-10,False
cpdag_minimal,original,200,-0.006113007,0.07692599,-0.011993314,0.042237353,100,-0.0061130070377839,0.0769259946518405,-0.0119933138450142,0.042237352423635,-3.7783900140586635e-11,False,4.6518404961393145e-09,False,1.5498580023531883e-10,False,-5.763649973955509e-10,False
cpdag_minimal,original,500,-0.0033838833,0.025284758,-0.0034808668,0.025241485,100,-0.0033838834997732,0.025284758305891,-0.0034808666101889,0.0252414846820226,-1.9977320015254763e-10,False,3.0589100002975655e-10,False,1.8981109999732793e-10,False,-3.179774013539749e-10,False
dag,topological,20,0.0038655584,0.021293363,0.0035253016,0.020879772,100,0.0038655581249622,0.0212933621201185,0.003525301745376,0.0208797712495671,-2.7503779982673837e-10,False,-8.798814975230496e-10,False,1.4537599986666483e-10,False,-7.504328998486631e-10,False
dag,topological,50,6.170664e-06,0.023135023,5.648343e-05,0.023522522,100,6.170966225909069e-06,0.0231350240672528,5.648347600072157e-05,0.0235225216695246,3.0222590906936957e-10,False,1.0672528000243986e-09,False,4.6000721569579295e-11,False,-3.3047540051733826e-10,False
dag,topological,100,0.00038800575,0.019645358,0.00040536106,0.01967429,100,0.0003880055248737,0.0196453568030864,0.0004053607306013,0.0196742895295925,-2.2512630003463166e-10,False,-1.1969136029521543e-09,False,-3.293986999938943e-10,False,-4.704075011463527e-10,False
dag,topological,200,-0.0012696215,0.025240343,-0.0011009932,0.02535286,100,-0.0012696221745864,0.0252403433842337,-0.001100993992004,0.0253528597773875,-6.745863999780416e-10,False,3.842337004122953e-10,False,-7.920039999265854e-10,False,-2.2261250134936184e-10,False
dag,topological,500,0.0007774372,0.022799162,0.0008554273,0.02294506,100,0.0007774369295657,0.022799162190373,0.0008554270341119,0.0229450606911792,-2.704343000621903e-10,False,1.9037299861524026e-10,False,-2.6588809994877727e-10,False,6.911792006791817e-10,False
vanilla,original,20,-0.14893343,0.20277877,-0.14965253,0.20152766,100,-0.1489334287802921,0.2027787742181368,-0.1496525250806007,0.2015276618630583,1.2197079179987469e-09,False,4.218136812061957e-09,False,4.919399304581518e-09,False,1.8630582909739957e-09,False
vanilla,original,50,-0.02305026,0.14277665,-0.024696527,0.14305666,100,-0.0230502570746466,0.1427766493967535,-0.0246965281339362,0.1430566545588576,2.9253534004902715e-09,False,-6.032465083016803e-10,False,-1.1339362018802923e-09,False,-5.441142397755172e-09,False
vanilla,original,100,-0.042330775,0.11372498,-0.042892084,0.1139164,100,-0.0423307782062329,0.1137249723432612,-0.042892086287029,0.1139163966508259,-3.206232897234873e-09,False,-7.656738798544893e-09,False,-2.287029003678054e-09,False,-3.349174104716468e-09,False
vanilla,original,200,-0.02859003,0.1038713,-0.03526548,0.080119185,100,-0.0285900253336876,0.1038713091991407,-0.035265477776993,0.0801191855463482,4.666312398982075e-09,False,9.199140699189812e-09,False,2.223007000701216e-09,False,5.463482027900923e-10,False
vanilla,original,500,-0.02796518,0.042725645,-0.02809483,0.042638786,100,-0.0279651824780739,0.0427256474056227,-0.0280948312918189,0.0426387854009611,-2.4780739023289033e-09,False,2.4056227010404996e-09,False,-1.2918188983801482e-09,False,-5.990388948773351e-10,False
vanilla,topological,20,-0.017809464,0.109806344,-0.017875636,0.108893864,100,-0.0178094650036655,0.1098063410765909,-0.0178756370267365,0.1088938622136544,-1.0036654979339588e-09,False,-2.923409098132268e-09,False,-1.0267365013749696e-09,False,-1.7863456130973177e-09,False
vanilla,topological,50,0.0052756476,0.0754587,0.005871606,0.075845174,100,0.0052756489429884,0.0754587007501317,0.0058716063725296,0.0758451745797872,1.3429884001756043e-09,False,7.501316928726354e-10,False,3.7252960004979796e-10,False,5.797872043578067e-10,False
vanilla,topological,100,-0.017480604,0.06373681,-0.017194998,0.06342881,100,-0.0174806030040417,0.0637368112491827,-0.0171949970893911,0.0634288140123627,9.959583019414353e-10,False,1.2491827017235835e-09,False,9.106089007837603e-10,False,4.012362692096261e-09,False
vanilla,topological,200,-0.011989795,0.042238045,-0.012053552,0.042358343,100,-0.011989793034736,0.0422380429010574,-0.0120535525322338,0.0423583448733161,1.965263998413014e-09,False,-2.0989426030570968e-09,False,-5.322338004348781e-10,False,1.873316099465505e-09,False
vanilla,topological,500,-0.003469668,0.025240032,-0.0034556838,0.025237758,100,-0.0034696679224725,0.0252400320699364,-0.0034556835191324,0.0252377587054288,7.752750004474951e-11,False,6.99364004208558e-11,False,2.808676000110033e-10,False,7.054288021779431e-10,False
