algorithm,column_order,train_size,seed,directed_edges_from_graph_structure
dag,topological,20,0,3
dag,topological,20,1,3
dag,topological,20,2,3
dag,topological,20,3,3
dag,topological,20,4,3
dag,topological,20,5,3
dag,topological,20,6,3
dag,topological,20,7,3
dag,topological,20,8,3
dag,topological,20,9,3
dag,topological,20,10,3
dag,topological,20,11,3
dag,topological,20,12,3
dag,topological,20,13,3
dag,topological,20,14,3
dag,topological,20,15,3
dag,topological,20,16,3
dag,topological,20,17,3
dag,topological,20,18,3
dag,topological,20,19,3
dag,topological,20,20,3
dag,topological,20,21,3
dag,topological,20,22,3
dag,topological,20,23,3
dag,topological,20,24,3
dag,topological,20,25,3
dag,topological,20,26,3
dag,topological,20,27,3
dag,topological,20,28,3
dag,topological,20,29,3
dag,topological,20,31,3
dag,topological,20,32,3
dag,topological,20,33,3
dag,topological,20,34,3
dag,topological,20,35,3
dag,topological,20,36,3
dag,topological,20,37,3
dag,topological,20,38,3
dag,topological,20,39,3
dag,topological,20,40,3
dag,topological,20,41,3
dag,topological,20,42,3
dag,topological,20,43,3
dag,topological,20,44,3
dag,topological,20,45,3
dag,topological,20,46,3
dag,topological,20,47,3
dag,topological,20,48,3
dag,topological,20,49,3
dag,topological,20,50,3
dag,topological,20,51,3
dag,topological,20,52,3
dag,topological,20,53,3
dag,topological,20,54,3
dag,topological,20,55,3
dag,topological,20,56,3
dag,topological,20,57,3
dag,topological,20,58,3
dag,topological,20,59,3
dag,topological,20,60,3
dag,topological,20,61,3
dag,topological,20,62,3
dag,topological,20,63,3
dag,topological,20,64,3
dag,topological,20,65,3
dag,topological,20,66,3
dag,topological,20,67,3
dag,topological,20,68,3
dag,topological,20,69,3
dag,topological,20,70,3
dag,topological,20,71,3
dag,topological,20,72,3
dag,topological,20,73,3
dag,topological,20,74,3
dag,topological,20,75,3
dag,topological,20,76,3
dag,topological,20,77,3
dag,topological,20,78,3
dag,topological,20,79,3
dag,topological,20,80,3
dag,topological,20,81,3
dag,topological,20,82,3
dag,topological,20,83,3
dag,topological,20,84,3
dag,topological,20,85,3
dag,topological,20,86,3
dag,topological,20,87,3
dag,topological,20,88,3
dag,topological,20,89,3
dag,topological,20,90,3
dag,topological,20,91,3
dag,topological,20,92,3
dag,topological,20,93,3
dag,topological,20,94,3
dag,topological,20,96,3
dag,topological,20,97,3
dag,topological,20,98,3
dag,topological,20,99,3
dag,topological,20,100,3
dag,topological,20,101,3
cpdag_minimal,original,20,0,2
cpdag_minimal,original,20,1,2
cpdag_minimal,original,20,2,2
cpdag_minimal,original,20,3,2
cpdag_minimal,original,20,4,2
cpdag_minimal,original,20,5,2
cpdag_minimal,original,20,6,2
cpdag_minimal,original,20,7,2
cpdag_minimal,original,20,8,2
cpdag_minimal,original,20,9,2
cpdag_minimal,original,20,10,2
cpdag_minimal,original,20,11,2
cpdag_minimal,original,20,12,2
cpdag_minimal,original,20,13,2
cpdag_minimal,original,20,14,2
cpdag_minimal,original,20,15,2
cpdag_minimal,original,20,16,2
cpdag_minimal,original,20,17,2
cpdag_minimal,original,20,18,2
cpdag_minimal,original,20,19,2
cpdag_minimal,original,20,20,2
cpdag_minimal,original,20,21,2
cpdag_minimal,original,20,22,2
cpdag_minimal,original,20,23,2
cpdag_minimal,original,20,24,2
cpdag_minimal,original,20,25,2
cpdag_minimal,original,20,26,2
cpdag_minimal,original,20,27,2
cpdag_minimal,original,20,28,2
cpdag_minimal,original,20,29,2
cpdag_minimal,original,20,31,2
cpdag_minimal,original,20,32,2
cpdag_minimal,original,20,33,2
cpdag_minimal,original,20,34,2
cpdag_minimal,original,20,35,2
cpdag_minimal,original,20,36,2
cpdag_minimal,original,20,37,2
cpdag_minimal,original,20,38,2
cpdag_minimal,original,20,39,2
cpdag_minimal,original,20,40,2
cpdag_minimal,original,20,41,2
cpdag_minimal,original,20,42,2
cpdag_minimal,original,20,43,2
cpdag_minimal,original,20,44,2
cpdag_minimal,original,20,45,2
cpdag_minimal,original,20,46,2
cpdag_minimal,original,20,47,2
cpdag_minimal,original,20,48,2
cpdag_minimal,original,20,49,2
cpdag_minimal,original,20,50,2
cpdag_minimal,original,20,51,2
cpdag_minimal,original,20,52,2
cpdag_minimal,original,20,53,2
cpdag_minimal,original,20,54,2
cpdag_minimal,original,20,55,2
cpdag_minimal,original,20,56,2
cpdag_minimal,original,20,57,2
cpdag_minimal,original,20,58,2
cpdag_minimal,original,20,59,2
cpdag_minimal,original,20,60,2
cpdag_minimal,original,20,61,2
cpdag_minimal,original,20,62,2
cpdag_minimal,original,20,63,2
cpdag_minimal,original,20,64,2
cpdag_minimal,original,20,65,2
cpdag_minimal,original,20,66,2
cpdag_minimal,original,20,67,2
cpdag_minimal,original,20,68,2
cpdag_minimal,original,20,69,2
cpdag_minimal,original,20,70,2
cpdag_minimal,original,20,71,2
cpdag_minimal,original,20,72,2
cpdag_minimal,original,20,73,2
cpdag_minimal,original,20,74,2
cpdag_minimal,original,20,75,2
cpdag_minimal,original,20,76,2
cpdag_minimal,original,20,77,2
cpdag_minimal,original,20,78,2
cpdag_minimal,original,20,79,2
cpdag_minimal,original,20,80,2
cpdag_minimal,original,20,81,2
cpdag_minimal,original,20,82,2
cpdag_minimal,original,20,83,2
cpdag_minimal,original,20,84,2
cpdag_minimal,original,20,85,2
cpdag_minimal,original,20,86,2
cpdag_minimal,original,20,87,2
cpdag_minimal,original,20,88,2
cpdag_minimal,original,20,89,2
cpdag_minimal,original,20,90,2
cpdag_minimal,original,20,91,2
cpdag_minimal,original,20,92,2
cpdag_minimal,original,20,93,2
cpdag_minimal,original,20,94,2
cpdag_minimal,original,20,96,2
cpdag_minimal,original,20,97,2
cpdag_minimal,original,20,98,2
cpdag_minimal,original,20,99,2
cpdag_minimal,original,20,100,2
cpdag_minimal,original,20,101,2
cpdag_discovered,original,20,0,0
cpdag_discovered,original,20,1,0
cpdag_discovered,original,20,2,0
cpdag_discovered,original,20,3,0
cpdag_discovered,original,20,4,0
cpdag_discovered,original,20,5,0
cpdag_discovered,original,20,6,0
cpdag_discovered,original,20,7,0
cpdag_discovered,original,20,8,0
cpdag_discovered,original,20,9,0
cpdag_discovered,original,20,10,0
cpdag_discovered,original,20,11,0
cpdag_discovered,original,20,12,0
cpdag_discovered,original,20,13,0
