algorithm,column_order,train_size,seed,corr_X0_X3,corr_X0_X2,synthetic_npz,graph_structure
vanilla,original,20,0,-0.28061920404434204,-0.28115975856781006,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm_noise1e-2/synthetic/synthetic_vanilla_original_ts20_s0.npz,no_graph
vanilla,original,20,1,0.11342816054821014,0.10428021848201752,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm_noise1e-2/synthetic/synthetic_vanilla_original_ts20_s1.npz,no_graph
vanilla,original,20,2,-0.23219992220401764,-0.22370748221874237,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm_noise1e-2/synthetic/synthetic_vanilla_original_ts20_s2.npz,no_graph
vanilla,original,20,3,0.0548257902264595,0.11137605458498001,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm_noise1e-2/synthetic/synthetic_vanilla_original_ts20_s3.npz,no_graph
vanilla,original,20,4,-0.055174048990011215,0.005949284415692091,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm_noise1e-2/synthetic/synthetic_vanilla_original_ts20_s4.npz,no_graph
vanilla,original,20,5,-0.1599910408258438,-0.15497389435768127,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm_noise1e-2/synthetic/synthetic_vanilla_original_ts20_s5.npz,no_graph
vanilla,original,20,6,-0.24818015098571777,-0.24461428821086884,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm_noise1e-2/synthetic/synthetic_vanilla_original_ts20_s6.npz,no_graph
vanilla,original,20,7,0.192367285490036,0.17968949675559998,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm_noise1e-2/synthetic/synthetic_vanilla_original_ts20_s7.npz,no_graph
vanilla,original,20,8,-0.4081721901893616,-0.4071510434150696,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm_noise1e-2/synthetic/synthetic_vanilla_original_ts20_s8.npz,no_graph
vanilla,original,20,9,0.027831343933939934,0.027478015050292015,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm_noise1e-2/synthetic/synthetic_vanilla_original_ts20_s9.npz,no_graph
vanilla,original,20,10,0.1611715406179428,0.14282333850860596,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm_noise1e-2/synthetic/synthetic_vanilla_original_ts20_s10.npz,no_graph
vanilla,original,20,11,-0.4557279944419861,-0.4559391140937805,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm_noise1e-2/synthetic/synthetic_vanilla_original_ts20_s11.npz,no_graph
vanilla,original,20,12,-0.06171178072690964,-0.05602803826332092,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm_noise1e-2/synthetic/synthetic_vanilla_original_ts20_s12.npz,no_graph
vanilla,original,20,13,-0.2350921779870987,-0.23554183542728424,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm_noise1e-2/synthetic/synthetic_vanilla_original_ts20_s13.npz,no_graph
vanilla,original,20,14,-0.14083103835582733,-0.1757941097021103,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm_noise1e-2/synthetic/synthetic_vanilla_original_ts20_s14.npz,no_graph
vanilla,original,20,15,0.14237244427204132,0.13694950938224792,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm_noise1e-2/synthetic/synthetic_vanilla_original_ts20_s15.npz,no_graph
vanilla,original,20,16,-0.07409916818141937,-0.07179255783557892,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm_noise1e-2/synthetic/synthetic_vanilla_original_ts20_s16.npz,no_graph
vanilla,original,20,17,-0.33493974804878235,-0.34495389461517334,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm_noise1e-2/synthetic/synthetic_vanilla_original_ts20_s17.npz,no_graph
vanilla,original,20,18,-0.03616637364029884,0.001540493220090866,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm_noise1e-2/synthetic/synthetic_vanilla_original_ts20_s18.npz,no_graph
vanilla,original,20,19,0.15962205827236176,0.15340352058410645,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm_noise1e-2/synthetic/synthetic_vanilla_original_ts20_s19.npz,no_graph
vanilla,original,20,20,-0.0926913246512413,-0.15218809247016907,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm_noise1e-2/synthetic/synthetic_vanilla_original_ts20_s20.npz,no_graph
vanilla,original,20,21,-0.28759604692459106,-0.23391972482204437,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm_noise1e-2/synthetic/synthetic_vanilla_original_ts20_s21.npz,no_graph
vanilla,original,20,22,-0.0002657331933733076,-0.007900259457528591,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm_noise1e-2/synthetic/synthetic_vanilla_original_ts20_s22.npz,no_graph
vanilla,original,20,23,0.026462020352482796,0.025118622928857803,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm_noise1e-2/synthetic/synthetic_vanilla_original_ts20_s23.npz,no_graph
vanilla,original,20,24,-0.09417911618947983,-0.2824501693248749,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm_noise1e-2/synthetic/synthetic_vanilla_original_ts20_s24.npz,no_graph
vanilla,original,20,25,0.06373897194862366,0.07162663340568542,<work_root>/data/cleaned_npz_archive/comparison_current_cleaned_20260429/datasets/custom_scm_noise1e-2/synthetic/synthetic_vanilla_original_ts20_s25.npz,no_graph
