algorithm,column_order,train_size,n_reps,mean_corr_X0_X3,std_corr_X0_X3,mean_corr_X0_X2,std_corr_X0_X2
cpdag_discovered,original,20,100,-0.13608108562330018,0.21460295750697803,-0.13384817464160734,0.21576824746790566
cpdag_discovered,original,50,100,0.0050693821301683786,0.1936516160979856,0.005017626699991524,0.19349639022341134
cpdag_discovered,original,100,100,-0.022481326858978717,0.1431875160929366,-0.022280116472393273,0.14458555236129614
cpdag_discovered,original,200,100,0.01947181735886261,0.17785703522083815,0.01651076099835336,0.17544411279354016
cpdag_discovered,original,500,100,0.016027981612132862,0.14572166257569502,0.019180273903766646,0.15490267465736685
cpdag_minimal,original,20,100,0.0027943433175096287,0.02256482421890413,0.00380834361363668,0.021309864187853668
cpdag_minimal,original,50,100,-0.0011863954216823913,0.023886880985956493,-3.2027640263549986e-05,0.02318842832036351
cpdag_minimal,original,100,100,-0.0015539765551511665,0.024672314931086927,0.0003934860505978577,0.019647303855455454
cpdag_minimal,original,200,100,-0.003312034527189098,0.028973351949603772,-0.001625842619978357,0.025375498303991335
cpdag_minimal,original,500,100,0.0002431016694754362,0.022886082522972338,0.0004875139618161484,0.022931612404157302
dag,topological,20,100,0.0038354707520920784,0.021296064121786574,0.0033395890990504996,0.020974802152202668
dag,topological,50,100,-2.5676410150481388e-05,0.023168159512966375,-5.147266634594416e-05,0.023652579932789096
dag,topological,100,100,0.00038800552487373353,0.01964535680308644,0.0005253275099676103,0.019634948388022065
dag,topological,200,100,-0.0016116953636810649,0.02537203310488241,-0.001396397342614364,0.025549327140676332
dag,topological,500,100,0.0004830736916483147,0.022934251233083257,0.000528387390622811,0.02296720658938414
vanilla,original,20,100,-0.14676179577509174,0.20528173351565082,-0.14455708628403954,0.20647714218927207
vanilla,original,50,100,-0.02558529355097562,0.14439236955615295,-0.025549649908207357,0.14357920823797107
vanilla,original,100,100,-0.042569450389128176,0.11337316388014092,-0.04250313533470035,0.11347389915509172
vanilla,original,200,100,-0.02934356550918892,0.09850461941873824,-0.03437826228328049,0.07993698473559212
vanilla,original,500,100,-0.027457975026918574,0.042717754968815344,-0.027226160814752803,0.04239889945583883
vanilla,reverse_topological,20,100,-0.12147427419200539,0.20178189910590988,-0.11858427744125948,0.20393760509446412
vanilla,reverse_topological,50,100,-0.03267394087219145,0.14832811575099272,-0.03402381064603105,0.14560534306515138
vanilla,reverse_topological,100,100,-0.04852341991034336,0.10199861336167006,-0.047444573015673085,0.10181221810893562
vanilla,reverse_topological,200,100,-0.03536435527727008,0.08240855724535988,-0.028044455309864134,0.10863864686240002
vanilla,reverse_topological,500,100,-0.03294663952663541,0.038947507888021954,-0.03208414696273394,0.038848555131790516
vanilla,topological,20,100,-0.014591710248496384,0.11576835864606573,-0.014097812219988555,0.11508866856278668
vanilla,topological,50,100,0.005166231904950109,0.07548783324655196,0.0059215240276535045,0.07598105550269985
vanilla,topological,100,100,-0.017480603004041768,0.06373681124918272,-0.017229215447441673,0.06335167383012523
vanilla,topological,200,100,-0.012027332114521415,0.042247999589222304,-0.01185923110722797,0.04231313463698467
vanilla,topological,500,100,-0.003575122760375962,0.02526053635304529,-0.0032495641795685514,0.025077324136319485
