algorithm,column_order,train_size,n_samples,mean_synthetic_corr_X0_X3,mean_synthetic_corr_X0_X2,std_synthetic_corr_X0_X3,std_synthetic_corr_X0_X2,mean_test_corr_X0_X3,mean_test_corr_X0_X2,mean_abs_diff_corr_X0_X3,mean_abs_diff_corr_X0_X2,max_abs_diff_corr_X0_X3,max_abs_diff_corr_X0_X2
cpdag_discovered,original,20,100,-0.14995784,-0.15064412,0.20236763,0.20114265,0.021689465843427843,0.02169014682988854,0.2154919885680625,0.2151861526949083,0.7108573230135329,0.7213382886908505
cpdag_discovered,original,50,100,-0.024431353,-0.02614779,0.14255987,0.14284803,0.021689465843427843,0.02169014682988854,0.11891503099591119,0.1206634320441518,0.4316125424730665,0.4288889037631008
cpdag_discovered,original,100,100,-0.04262192,-0.043392215,0.11324322,0.113609456,0.021689465843427843,0.02169014682988854,0.09988928937246029,0.10049576203746717,0.32164823135017223,0.32180597057561605
cpdag_discovered,original,200,100,-0.028367503,-0.034969006,0.10417319,0.080617756,0.021689465843427843,0.02169014682988854,0.08504840319089604,0.07932044415993081,0.6015070168149583,0.2444346415064785
cpdag_discovered,original,500,100,-0.02801265,-0.028099764,0.04282321,0.042730954,0.021689465843427843,0.02169014682988854,0.05533040768847744,0.05538229357690324,0.1729967208731062,0.1732850836775753
cpdag_minimal,original,20,100,-0.017861938,-0.017834675,0.109062426,0.10977992,0.021689465843427843,0.02169014682988854,0.07783260643407423,0.07808343380240988,0.47840776165603466,0.4842615889571163
cpdag_minimal,original,50,100,0.0059923395,0.0052852845,0.07650596,0.07550282,0.021689465843427843,0.02169014682988854,0.05345892829095809,0.053334287039362584,0.32937522848724193,0.32987715473394125
cpdag_minimal,original,100,100,-0.016804881,-0.0174909,0.06250883,0.06376574,0.021689465843427843,0.02169014682988854,0.05036010711964231,0.051052419694861635,0.2673960538732893,0.2659727798960659
cpdag_minimal,original,200,100,-0.006113007,-0.011993314,0.07692599,0.042237353,0.021689465843427843,0.02169014682988854,0.0452882419404919,0.03929042824056884,0.6107671348226182,0.1632295416853878
cpdag_minimal,original,500,100,-0.0033838833,-0.0034808668,0.025284758,0.025241485,0.021689465843427843,0.02169014682988854,0.0286546348843381,0.02864507381577751,0.10388129075645275,0.10427168181161613
