dataset,dataset_display,is_noise_robustness,train_size,outcome_units,intervention_variable,target_variable,intervention_values,ate_test,abs_ate_test,baseline_condition,baseline_label,baseline_median_abs_error,baseline_median_abs_error_ci_low,baseline_median_abs_error_ci_high,baseline_median_relative_error_percent,comparator_condition,comparator_label,comparator_median_abs_error,comparator_median_abs_error_ci_low,comparator_median_abs_error_ci_high,comparator_median_relative_error_percent,relative_reduction_from_median_errors_percent,paired_n_seeds,paired_median_abs_error_reduction,paired_hl_abs_error_reduction,paired_median_relative_reduction_percent,paired_median_relative_reduction_percent_ci_low,paired_median_relative_reduction_percent_ci_high
csuite_large_backdoor,CSuite large backdoor,False,20,native outcome units,x7_0,x8_0,"0.5,2.5",-0.5931084840636468,0.5931084840636468,vanilla_original,Vanilla original,0.40241991123964543,0.3341783671717858,0.4634699164967751,67.84929267618799,dag_topological,DAG-aware,0.32817822090198756,0.263277897153399,0.3933250992636895,55.33190465486084,18.44881136943697,100,0.020746368914842606,0.03362412750720974,6.959680143767697,1.3529459638165218,13.204689367815902
csuite_large_backdoor,CSuite large backdoor,False,50,native outcome units,x7_0,x8_0,"0.5,2.5",-0.5931084840636468,0.5931084840636468,vanilla_original,Vanilla original,0.2706594704728341,0.2135348231453681,0.3542496501546121,45.634058143702006,dag_topological,DAG-aware,0.22127343109657524,0.18458200386574025,0.27959270170738454,37.30741290034055,18.2465587810332,100,0.048787280917167636,0.0432988665997982,15.294346463221139,7.087687844814165,20.909368598058443
csuite_large_backdoor,CSuite large backdoor,False,100,native outcome units,x7_0,x8_0,"0.5,2.5",-0.5931084840636468,0.5931084840636468,vanilla_original,Vanilla original,0.1395266442637658,0.10762503743171689,0.1673293500285363,23.52464144633499,dag_topological,DAG-aware,0.1111707477908349,0.07823657103965515,0.1413933634757995,18.743746005647274,20.322925863053058,100,0.022623708929517296,0.0300480127334595,19.620340028697523,6.05258872508929,31.6291995135091
csuite_large_backdoor,CSuite large backdoor,False,200,native outcome units,x7_0,x8_0,"0.5,2.5",-0.5931084840636468,0.5931084840636468,vanilla_original,Vanilla original,0.0960738658905029,0.0802062242369866,0.1168048768382287,16.19836311095377,dag_topological,DAG-aware,0.0782410889010644,0.063944229398272,0.09502949425170655,13.191699495680844,18.561527449892388,100,0.005622148513793948,0.007246275203477126,7.440105686961209,-9.856291531128916,19.22688064550738
csuite_large_backdoor,CSuite large backdoor,False,500,native outcome units,x7_0,x8_0,"0.5,2.5",-0.5931084840636468,0.5931084840636468,vanilla_original,Vanilla original,0.0555847198624396,0.0438739745955681,0.0707326023917412,9.37176273075783,dag_topological,DAG-aware,0.0532791525978827,0.0434423983097076,0.0626991689205169,8.983036666891664,4.147843634478485,100,-0.002017676830291749,0.004431818382989178,-5.343420883365969,-23.2336686463959,19.142155830621334
csuite_large_backdoor,CSuite large backdoor,False,1000,native outcome units,x7_0,x8_0,"0.5,2.5",-0.5931084840636468,0.5931084840636468,vanilla_original,Vanilla original,0.04053300619125365,0.0326939909796929,0.0476565062999725,6.83399534492311,dag_topological,DAG-aware,0.0300875990729546,0.0255110175270819,0.041354843888781,5.0728660744846,25.77012686651649,100,0.007993331636884201,0.008698289053689225,23.730746853215866,7.577850184408757,36.111066397970006
csuite_mixed_confounding,CSuite mixed confounding,False,20,native outcome units,x0_0,x1_0,"0,1",1.025041472490877,1.025041472490877,vanilla_original,Vanilla original,0.38922543483600025,0.2818313952051103,0.4540564760931766,37.97167678398148,dag_topological,DAG-aware,0.47917545991763477,0.4112452979646623,0.5584274347387255,46.74693393168045,-23.11000696024269,100,-0.05708587169647217,-0.06304860860109329,-15.260090720472785,-26.907219402466097,-9.735955860178272
csuite_mixed_confounding,CSuite mixed confounding,False,50,native outcome units,x0_0,x1_0,"0,1",1.025041472490877,1.025041472490877,vanilla_original,Vanilla original,0.17324393987655634,0.13732588291168205,0.2169939577579498,16.90116395540262,dag_topological,DAG-aware,0.10540536046028134,0.0899137143529951,0.1363359208665788,10.283033739517254,39.157836900161044,100,0.02732352572306999,0.037046059966087334,20.47155294922419,10.760826368862142,30.43950775745116
csuite_mixed_confounding,CSuite mixed confounding,False,100,native outcome units,x0_0,x1_0,"0,1",1.025041472490877,1.025041472490877,vanilla_original,Vanilla original,0.12889293986186384,0.0984109755121172,0.1547650579847395,12.574412189260086,dag_topological,DAG-aware,0.0873484130464494,0.057492673397064153,0.1132749204076826,8.521451608605705,32.23180948462982,100,0.02633459525927905,0.028594484714791223,22.477014793865713,8.333593515800162,37.10277565454729
csuite_mixed_confounding,CSuite mixed confounding,False,200,native outcome units,x0_0,x1_0,"0,1",1.025041472490877,1.025041472490877,vanilla_original,Vanilla original,0.09257513284683225,0.0765602588653564,0.11568884891644116,9.031354860391385,dag_topological,DAG-aware,0.05539406495913865,0.0398056988157331,0.0733102675043047,5.40408036608798,40.16312668890312,100,0.024921529643237652,0.03568118235655127,35.33554656609144,22.980171941193518,46.414313946646665
csuite_mixed_confounding,CSuite mixed confounding,False,500,native outcome units,x0_0,x1_0,"0,1",1.025041472490877,1.025041472490877,vanilla_original,Vanilla original,0.08939586919918649,0.07094864887371649,0.1005177382864057,8.721195346560195,dag_topological,DAG-aware,0.045341771420091354,0.0371066216863691,0.0583778504766523,4.423408480235414,49.279791307735316,100,0.030261069536209106,0.0336732749380171,40.72720644049421,21.065790961860806,48.97977011130112
csuite_mixed_confounding,CSuite mixed confounding,False,1000,native outcome units,x0_0,x1_0,"0,1",1.025041472490877,1.025041472490877,vanilla_original,Vanilla original,0.07008920950070015,0.06286870283260935,0.0878276343904436,6.8376949988551745,dag_topological,DAG-aware,0.05273938179016105,0.041000950757414,0.060918234709650076,5.145097364890324,24.753921230008714,100,0.020640909671783444,0.023059720011427975,30.84269335802582,15.739596133346954,47.47821653536004
csuite_mixed_simpson,CSuite mixed Simpson,False,20,native outcome units,x0_0,x1_0,"0,1",0.7273756874501704,0.7273756874501704,vanilla_original,Vanilla original,0.4912360993921756,0.4344585984945297,0.6011087311208247,67.53540266299157,dag_topological,DAG-aware,0.13325935602188105,0.1130519807338714,0.1532739413678645,18.320567805754454,72.87264592590657,100,0.3486776798963547,0.3475883677601814,72.03007009523273,67.98468440909451,76.57712234878272
csuite_mixed_simpson,CSuite mixed Simpson,False,50,native outcome units,x0_0,x1_0,"0,1",0.7273756874501704,0.7273756874501704,vanilla_original,Vanilla original,0.4451749635636806,0.2933805572092534,0.5227536720931529,61.20289298151413,dag_topological,DAG-aware,0.07422301301360121,0.0518060935437678,0.088558942079544,10.204219675501037,83.32722657639215,100,0.339093416929245,0.32990524294972423,80.79193790780067,74.3482750975583,88.48563124998718
csuite_mixed_simpson,CSuite mixed Simpson,False,100,native outcome units,x0_0,x1_0,"0,1",0.7273756874501704,0.7273756874501704,vanilla_original,Vanilla original,0.1922419382035731,0.15778434148430825,0.2350046051442622,26.429524868707254,dag_topological,DAG-aware,0.06769171357154846,0.0520161701142787,0.0761720252931117,9.306293121900055,64.78826930060035,100,0.12797364592552185,0.144761690288782,68.691395073475,57.479998746865135,78.46206540622133
csuite_mixed_simpson,CSuite mixed Simpson,False,200,native outcome units,x0_0,x1_0,"0,1",0.7273756874501704,0.7273756874501704,vanilla_original,Vanilla original,0.0939889239370823,0.07214993238449094,0.1042687892913818,12.921647720528345,dag_topological,DAG-aware,0.04960873723030085,0.0357184993326664,0.0636864317357539,6.82023582671635,47.218528362437965,100,0.0363166630268097,0.05113016068935397,49.09192045207367,27.312660141088386,69.241558800256
csuite_mixed_simpson,CSuite mixed Simpson,False,500,native outcome units,x0_0,x1_0,"0,1",0.7273756874501704,0.7273756874501704,vanilla_original,Vanilla original,0.0705268395841121,0.053297550767660046,0.0988861931264399,9.696067768135784,dag_topological,DAG-aware,0.049605549663305146,0.0372362745702266,0.0659229172170161,6.819797598294549,29.664295244444766,100,0.022808343172073402,0.024182824999094077,40.60917935579455,1.4859451606981764,53.15976386320119
