algorithm,column_order,actual_column_order,graph_structure,graph_nodes,graph_edges,undirected_edges,train_size,seed,repetition,categorical_cols,ate_difference,ate_relative_error,ate_synthetic,ate_test,dataset_name,intervention_values,intervention_variable,n_synthetic_samples,n_test_samples,synthetic_data_path,target_variable,test_dataset_path,train_dataset_path
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0",no_graph,0,0,0,20,0,1,,0.5534410416226602,0.9331194149016256,-0.0396674424409866,-0.5931084840636468,csuite_large_backdoor,"0.5,2.5",x7_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s0.npz,x8_0,datasets/global_test_set.npz,datasets/train_ts20_s0.npz
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0",no_graph,0,0,0,20,1,2,,0.4568136245865607,0.7702024787383412,-1.0499221086502075,-0.5931084840636468,csuite_large_backdoor,"0.5,2.5",x7_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s1.npz,x8_0,datasets/global_test_set.npz,datasets/train_ts20_s1.npz
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0",no_graph,0,0,0,20,2,3,,0.4769979207854485,0.8042338519883011,-0.1161105632781982,-0.5931084840636468,csuite_large_backdoor,"0.5,2.5",x7_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s2.npz,x8_0,datasets/global_test_set.npz,datasets/train_ts20_s2.npz
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0",no_graph,0,0,0,20,3,4,,0.1246436745781683,0.2101532483976284,-0.7177521586418152,-0.5931084840636468,csuite_large_backdoor,"0.5,2.5",x7_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s3.npz,x8_0,datasets/global_test_set.npz,datasets/train_ts20_s3.npz
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0",no_graph,0,0,0,20,5,6,,0.0159681527953362,0.0269228197275672,-0.5771403312683105,-0.5931084840636468,csuite_large_backdoor,"0.5,2.5",x7_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s5.npz,x8_0,datasets/global_test_set.npz,datasets/train_ts20_s5.npz
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0",no_graph,0,0,0,20,6,7,,0.5392916104834294,0.9092630184422682,-0.0538168735802173,-0.5931084840636468,csuite_large_backdoor,"0.5,2.5",x7_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s6.npz,x8_0,datasets/global_test_set.npz,datasets/train_ts20_s6.npz
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0",no_graph,0,0,0,20,7,8,,0.4049418359141564,0.6827449729596212,-0.1881666481494903,-0.5931084840636468,csuite_large_backdoor,"0.5,2.5",x7_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s7.npz,x8_0,datasets/global_test_set.npz,datasets/train_ts20_s7.npz
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0",no_graph,0,0,0,20,8,9,,0.2097737877707696,0.3536853601107123,-0.3833346962928772,-0.5931084840636468,csuite_large_backdoor,"0.5,2.5",x7_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s8.npz,x8_0,datasets/global_test_set.npz,datasets/train_ts20_s8.npz
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0",no_graph,0,0,0,20,9,10,,0.0969727546829962,0.1634991865545293,-0.6900812387466431,-0.5931084840636468,csuite_large_backdoor,"0.5,2.5",x7_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s9.npz,x8_0,datasets/global_test_set.npz,datasets/train_ts20_s9.npz
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0",no_graph,0,0,0,20,10,11,,0.569959452833631,0.96096998803421,-1.1630679368972778,-0.5931084840636468,csuite_large_backdoor,"0.5,2.5",x7_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s10.npz,x8_0,datasets/global_test_set.npz,datasets/train_ts20_s10.npz
