algorithm,column_order,actual_column_order,graph_structure,graph_nodes,graph_edges,undirected_edges,train_size,seed,repetition,categorical_cols,ate_difference,ate_relative_error,ate_synthetic,ate_test,dataset_name,intervention_values,intervention_variable,n_synthetic_samples,n_test_samples,synthetic_data_path,target_variable,test_dataset_path,train_dataset_path
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0,x9_0,x10_0,x11_0",no_graph,0,0,0,20,0,1,x0_0;x2_0;x4_0;x5_0;x7_0,0.5117462988458574,0.4992444818864751,0.5132951736450195,1.025041472490877,csuite_mixed_confounding,"0,1",x0_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s0.npz,x1_0,datasets/global_test_set.npz,datasets/train_ts20_s0.npz
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0,x9_0,x10_0,x11_0",no_graph,0,0,0,20,1,2,x0_0;x2_0;x4_0;x5_0;x7_0,0.8971766118444502,0.8752588416391467,1.9222180843353271,1.025041472490877,csuite_mixed_confounding,"0,1",x0_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s1.npz,x1_0,datasets/global_test_set.npz,datasets/train_ts20_s1.npz
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0,x9_0,x10_0,x11_0",no_graph,0,0,0,20,2,3,x0_0;x2_0;x4_0;x5_0;x7_0,0.256057393129915,0.2498019836287102,0.7689840793609619,1.025041472490877,csuite_mixed_confounding,"0,1",x0_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s2.npz,x1_0,datasets/global_test_set.npz,datasets/train_ts20_s2.npz
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0,x9_0,x10_0,x11_0",no_graph,0,0,0,20,3,4,x0_0;x2_0;x4_0;x5_0;x7_0,0.610241245802492,0.5953332252202344,0.414800226688385,1.025041472490877,csuite_mixed_confounding,"0,1",x0_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s3.npz,x1_0,datasets/global_test_set.npz,datasets/train_ts20_s3.npz
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0,x9_0,x10_0,x11_0",no_graph,0,0,0,20,4,5,x0_0;x2_0;x4_0;x5_0;x7_0,0.0056800727285444,0.0055413101625456,1.0307215452194214,1.025041472490877,csuite_mixed_confounding,"0,1",x0_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s4.npz,x1_0,datasets/global_test_set.npz,datasets/train_ts20_s4.npz
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0,x9_0,x10_0,x11_0",no_graph,0,0,0,20,5,6,x0_0;x2_0;x4_0;x5_0;x7_0,0.419895124014467,0.4096372052089865,0.6051463484764099,1.025041472490877,csuite_mixed_confounding,"0,1",x0_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s5.npz,x1_0,datasets/global_test_set.npz,datasets/train_ts20_s5.npz
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0,x9_0,x10_0,x11_0",no_graph,0,0,0,20,6,7,x0_0;x2_0;x4_0;x5_0;x7_0,0.7640793438516558,0.7454131021595872,0.2609621286392212,1.025041472490877,csuite_mixed_confounding,"0,1",x0_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s6.npz,x1_0,datasets/global_test_set.npz,datasets/train_ts20_s6.npz
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0,x9_0,x10_0,x11_0",no_graph,0,0,0,20,7,8,x0_0;x2_0;x4_0;x5_0;x7_0,0.1640262718759477,0.1600191565687188,0.8610152006149292,1.025041472490877,csuite_mixed_confounding,"0,1",x0_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s7.npz,x1_0,datasets/global_test_set.npz,datasets/train_ts20_s7.npz
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0,x9_0,x10_0,x11_0",no_graph,0,0,0,20,8,9,x0_0;x2_0;x4_0;x5_0;x7_0,0.4324104670919477,0.4218468020041953,1.4574519395828247,1.025041472490877,csuite_mixed_confounding,"0,1",x0_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s8.npz,x1_0,datasets/global_test_set.npz,datasets/train_ts20_s8.npz
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0,x9_0,x10_0,x11_0",no_graph,0,0,0,20,9,10,x0_0;x2_0;x4_0;x5_0;x7_0,0.663401794012636,0.6471950763129151,0.3616396784782409,1.025041472490877,csuite_mixed_confounding,"0,1",x0_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s9.npz,x1_0,datasets/global_test_set.npz,datasets/train_ts20_s9.npz
