algorithm,column_order,actual_column_order,graph_structure,graph_nodes,graph_edges,undirected_edges,train_size,seed,repetition,categorical_cols,ate_difference,ate_relative_error,ate_synthetic,ate_test,dataset_name,intervention_values,intervention_variable,n_synthetic_samples,n_test_samples,target_variable
vanilla,original,"x0_0,x1_0,x2_0,x3_0",no_graph,0,0,0,20,0,1,x0_0;x2_0,0.5679244411885738,0.7807855706305553,0.1594512462615966,0.7273756874501704,csuite_mixed_simpson,"0,1",x0_0,2000,2000,x1_0
vanilla,original,"x0_0,x1_0,x2_0,x3_0",no_graph,0,0,0,20,1,2,x0_0;x2_0,0.790198044270277,1.0863685134161296,-0.0628223568201065,0.7273756874501704,csuite_mixed_simpson,"0,1",x0_0,2000,2000,x1_0
vanilla,original,"x0_0,x1_0,x2_0,x3_0",no_graph,0,0,0,20,2,3,x0_0;x2_0,0.4652568412721156,0.6396376030976269,0.2621188461780548,0.7273756874501704,csuite_mixed_simpson,"0,1",x0_0,2000,2000,x1_0
vanilla,original,"x0_0,x1_0,x2_0,x3_0",no_graph,0,0,0,20,3,4,x0_0;x2_0,0.4903421265780925,0.6741249880058493,0.2370335608720779,0.7273756874501704,csuite_mixed_simpson,"0,1",x0_0,2000,2000,x1_0
vanilla,original,"x0_0,x1_0,x2_0,x3_0",no_graph,0,0,0,20,4,5,x0_0;x2_0,0.8517821418344975,1.1710346613597111,1.579157829284668,0.7273756874501704,csuite_mixed_simpson,"0,1",x0_0,2000,2000,x1_0
vanilla,original,"x0_0,x1_0,x2_0,x3_0",no_graph,0,0,0,20,5,6,x0_0;x2_0,0.3481008423268794,0.4785709067994198,0.379274845123291,0.7273756874501704,csuite_mixed_simpson,"0,1",x0_0,2000,2000,x1_0
vanilla,original,"x0_0,x1_0,x2_0,x3_0",no_graph,0,0,0,20,6,7,x0_0;x2_0,0.477298320621252,0.6561922935511227,0.2500773668289184,0.7273756874501704,csuite_mixed_simpson,"0,1",x0_0,2000,2000,x1_0
vanilla,original,"x0_0,x1_0,x2_0,x3_0",no_graph,0,0,0,20,7,8,x0_0;x2_0,0.2834805262982844,0.3897305494111728,0.443895161151886,0.7273756874501704,csuite_mixed_simpson,"0,1",x0_0,2000,2000,x1_0
vanilla,original,"x0_0,x1_0,x2_0,x3_0",no_graph,0,0,0,20,8,9,x0_0;x2_0,0.1385611878931523,0.1904946649768859,0.8659368753433228,0.7273756874501704,csuite_mixed_simpson,"0,1",x0_0,2000,2000,x1_0
vanilla,original,"x0_0,x1_0,x2_0,x3_0",no_graph,0,0,0,20,9,10,x0_0;x2_0,0.6571894002854823,0.9035075156131112,0.0701862871646881,0.7273756874501704,csuite_mixed_simpson,"0,1",x0_0,2000,2000,x1_0
vanilla,original,"x0_0,x1_0,x2_0,x3_0",no_graph,0,0,0,20,10,11,x0_0;x2_0,0.7585871604979038,1.0429097007038353,-0.0312114730477333,0.7273756874501704,csuite_mixed_simpson,"0,1",x0_0,2000,2000,x1_0
vanilla,original,"x0_0,x1_0,x2_0,x3_0",no_graph,0,0,0,20,11,12,x0_0;x2_0,0.7444068802297115,1.023414575264736,-0.017031192779541,0.7273756874501704,csuite_mixed_simpson,"0,1",x0_0,2000,2000,x1_0
vanilla,original,"x0_0,x1_0,x2_0,x3_0",no_graph,0,0,0,20,12,13,x0_0;x2_0,0.3315375758111476,0.4557996390742163,0.3958381116390228,0.7273756874501704,csuite_mixed_simpson,"0,1",x0_0,2000,2000,x1_0
vanilla,original,"x0_0,x1_0,x2_0,x3_0",no_graph,0,0,0,20,13,14,x0_0;x2_0,0.8062071366012096,1.1083778994970044,-0.0788314491510391,0.7273756874501704,csuite_mixed_simpson,"0,1",x0_0,2000,2000,x1_0
vanilla,original,"x0_0,x1_0,x2_0,x3_0",no_graph,0,0,0,20,14,15,x0_0;x2_0,0.488612116664648,0.6717465610893419,0.2387635707855224,0.7273756874501704,csuite_mixed_simpson,"0,1",x0_0,2000,2000,x1_0
vanilla,original,"x0_0,x1_0,x2_0,x3_0",no_graph,0,0,0,20,15,16,x0_0;x2_0,0.3102933751642704,0.4265929979760664,1.037669062614441,0.7273756874501704,csuite_mixed_simpson,"0,1",x0_0,2000,2000,x1_0
vanilla,original,"x0_0,x1_0,x2_0,x3_0",no_graph,0,0,0,20,16,17,x0_0;x2_0,0.2936411487162114,0.4036994276583207,1.0210168361663818,0.7273756874501704,csuite_mixed_simpson,"0,1",x0_0,2000,2000,x1_0
vanilla,original,"x0_0,x1_0,x2_0,x3_0",no_graph,0,0,0,20,17,18,x0_0;x2_0,0.4556899977624415,0.6264850552812284,0.2716856896877289,0.7273756874501704,csuite_mixed_simpson,"0,1",x0_0,2000,2000,x1_0
vanilla,original,"x0_0,x1_0,x2_0,x3_0",no_graph,0,0,0,20,18,19,x0_0;x2_0,1.1240690337717534,1.5453761421586678,1.851444721221924,0.7273756874501704,csuite_mixed_simpson,"0,1",x0_0,2000,2000,x1_0
vanilla,original,"x0_0,x1_0,x2_0,x3_0",no_graph,0,0,0,20,19,20,x0_0;x2_0,1.8374626053273675,2.5261534541642825,-1.1100869178771973,0.7273756874501704,csuite_mixed_simpson,"0,1",x0_0,2000,2000,x1_0
vanilla,original,"x0_0,x1_0,x2_0,x3_0",no_graph,0,0,0,20,20,21,x0_0;x2_0,0.7436446560323238,1.0223666653461907,-0.0162689685821533,0.7273756874501704,csuite_mixed_simpson,"0,1",x0_0,2000,2000,x1_0
vanilla,original,"x0_0,x1_0,x2_0,x3_0",no_graph,0,0,0,20,21,22,x0_0;x2_0,0.3928226543366908,0.54005469403815,0.3345530331134796,0.7273756874501704,csuite_mixed_simpson,"0,1",x0_0,2000,2000,x1_0
vanilla,original,"x0_0,x1_0,x2_0,x3_0",no_graph,0,0,0,20,22,23,x0_0;x2_0,0.7318451119363307,1.006144588777538,-0.0044694244861602,0.7273756874501704,csuite_mixed_simpson,"0,1",x0_0,2000,2000,x1_0
vanilla,original,"x0_0,x1_0,x2_0,x3_0",no_graph,0,0,0,20,23,24,x0_0;x2_0,0.6011087311208247,0.8264075105782309,0.1262669563293457,0.7273756874501704,csuite_mixed_simpson,"0,1",x0_0,2000,2000,x1_0
